,IOC,Breeding Range,Order,Family,Hungarian
8739,Cyornis unicolor,OR,PASSERIFORMES,Muscicapidae,Pale Blue Flycatcher
8740,Cyornis glaucicomans,OR,PASSERIFORMES,Muscicapidae,Chinese Blue Flycatcher
8741,Cyornis rubeculoides,OR,PASSERIFORMES,Muscicapidae,Blue-throated Blue Flycatcher
8742,Cyornis hainanus,OR,PASSERIFORMES,Muscicapidae,Hainan Blue Flycatcher
8743,Cyornis superbus,OR,PASSERIFORMES,Muscicapidae,Bornean Blue Flycatcher
8744,Cyornis turcosus,OR,PASSERIFORMES,Muscicapidae,Malaysian Blue Flycatcher
8745,Cyornis lemprieri,OR,PASSERIFORMES,Muscicapidae,Palawan Blue Flycatcher
8746,Cyornis caerulatus,OR,PASSERIFORMES,Muscicapidae,Sunda Blue Flycatcher
8747,Cyornis herioti,OR,PASSERIFORMES,Muscicapidae,Blue-breasted Blue Flycatcher
8748,Cyornis camarinensis,OR,PASSERIFORMES,Muscicapidae,Rufous-breasted Blue Flycatcher
8749,Cyornis ruficauda,OR,PASSERIFORMES,Muscicapidae,Philippine Jungle Flycatcher
8750,Cyornis ocularis,OR,PASSERIFORMES,Muscicapidae,Sulu Jungle Flycatcher
8751,Cyornis ruficrissa,OR,PASSERIFORMES,Muscicapidae,Crocker Jungle Flycatcher
8752,Cyornis pallidipes,OR,PASSERIFORMES,Muscicapidae,White-bellied Blue Flycatcher
8753,Cyornis brunneatus,OR,PASSERIFORMES,Muscicapidae,Brown-chested Jungle Flycatcher
8754,Cyornis nicobaricus,OR,PASSERIFORMES,Muscicapidae,Nicobar Jungle Flycatcher
8755,Cyornis umbratilis,OR,PASSERIFORMES,Muscicapidae,Grey-chested Jungle Flycatcher
8756,Cyornis magnirostris,OR,PASSERIFORMES,Muscicapidae,Large Blue Flycatcher
8757,Cyornis tickelliae,OR,PASSERIFORMES,Muscicapidae,Tickell's Blue Flycatcher
8758,Cyornis sumatrensis,OR,PASSERIFORMES,Muscicapidae,Indochinese Blue Flycatcher
8759,Cyornis whitei,OR,PASSERIFORMES,Muscicapidae,Hill Blue Flycatcher
8760,Cyornis rufigastra,OR,PASSERIFORMES,Muscicapidae,Mangrove Blue Flycatcher
8761,Cyornis omissus,AU,PASSERIFORMES,Muscicapidae,Sulawesi Blue Flycatcher
8762,Cyornis kalaoensis,AU,PASSERIFORMES,Muscicapidae,Kalao Blue Flycatcher
8763,Cyornis banyumas,OR,PASSERIFORMES,Muscicapidae,Javan Blue Flycatcher
8764,Cyornis montanus,OR,PASSERIFORMES,Muscicapidae,Dayak Blue Flycatcher
8765,Cyornis kadayangensis,OR,PASSERIFORMES,Muscicapidae,Meratus Blue Flycatcher
8766,Cyornis poliogenys,OR,PASSERIFORMES,Muscicapidae,Pale-chinned Blue Flycatcher
8767,Cyornis olivaceus,OR,PASSERIFORMES,Muscicapidae,Fulvous-chested Jungle Flycatcher
8768,Cyornis pelingensis,AU,PASSERIFORMES,Muscicapidae,Banggai Jungle Flycatcher
8769,Cyornis colonus,AU,PASSERIFORMES,Muscicapidae,Sula Jungle Flycatcher
8770,Cyornis ruckii,OR,PASSERIFORMES,Muscicapidae,azúrkék légykapó
8771,Erithacus rubecula,PAL,PASSERIFORMES,Muscicapidae,vörösbegy
8772,Swynnertonia swynnertoni,AF,PASSERIFORMES,Muscicapidae,csillagoscsuk
8773,Pogonocichla stellata,AF,PASSERIFORMES,Muscicapidae,White-starred Robin
8774,Stiphrornis erythrothorax,AF,PASSERIFORMES,Muscicapidae,erdei csuk
8775,Cossyphicula roberti,AF,PASSERIFORMES,Muscicapidae,fehérhasú rozsdásrigó
8776,Cossyphicula isabellae,AF,PASSERIFORMES,Muscicapidae,kameruni rozsdásrigó
8777,Chamaetylas poliophrys,AF,PASSERIFORMES,Muscicapidae,Red-throated Alethe
8778,Chamaetylas poliocephala,AF,PASSERIFORMES,Muscicapidae,Brown-chested Alethe
8779,Chamaetylas fuelleborni,AF,PASSERIFORMES,Muscicapidae,White-chested Alethe
8780,Chamaetylas choloensis,AF,PASSERIFORMES,Muscicapidae,Thyolo Alethe
8781,Cossypha albicapillus,AF,PASSERIFORMES,Muscicapidae,pikkelyesfejű rozsdásrigó
8782,Cossypha heuglini,AF,PASSERIFORMES,Muscicapidae,szemsávos rozsdásrigó
8783,Cossypha dichroa,AF,PASSERIFORMES,Muscicapidae,pettyes rozsdásrigó
8784,Cossypha semirufa,AF,PASSERIFORMES,Muscicapidae,barnahátú rozsdásrigó
8785,Cossypha niveicapilla,AF,PASSERIFORMES,Muscicapidae,fehérkontyos rozsdásrigó
8786,Cossypha natalensis,AF,PASSERIFORMES,Muscicapidae,natali rozsdásrigó
8787,Cossypha heinrichi,AF,PASSERIFORMES,Muscicapidae,fehérfejű rozsdásrigó
8788,Cossypha cyanocampter,AF,PASSERIFORMES,Muscicapidae,kékvállú rozsdásrigó
8789,Cichladusa arquata,AF,PASSERIFORMES,Muscicapidae,Morgan-pálmarigó
8790,Cichladusa ruficauda,AF,PASSERIFORMES,Muscicapidae,szürkemellű pálmarigó
8791,Cichladusa guttata,AF,PASSERIFORMES,Muscicapidae,pettyes pálmarigó
8792,Xenocopsychus ansorgei,AF,PASSERIFORMES,Muscicapidae,tükröscsuk
8793,Dessonornis humeralis,AF,PASSERIFORMES,Muscicapidae,fehértorkú rozsdásrigó
8794,Dessonornis caffer,AF,PASSERIFORMES,Muscicapidae,fokföldi rozsdásrigó
8795,Dessonornis archeri,AF,PASSERIFORMES,Muscicapidae,ruwenzori rozsdásrigó
8796,Dessonornis anomalus,AF,PASSERIFORMES,Muscicapidae,olajzöldszárnyú rozsdásrigó
8797,Sheppardia montana,AF,PASSERIFORMES,Muscicapidae,Usambara Akalat
8798,Sheppardia lowei,AF,PASSERIFORMES,Muscicapidae,Iringa Akalat
8799,Sheppardia aurantiithorax,AF,PASSERIFORMES,Muscicapidae,Rubeho Akalat
8800,Sheppardia gunningi,AF,PASSERIFORMES,Muscicapidae,East Coast Akalat
8801,Sheppardia sharpei,AF,PASSERIFORMES,Muscicapidae,Sharpe's Akalat
8802,Sheppardia bocagei,AF,PASSERIFORMES,Muscicapidae,Bocage's Akalat
8803,Sheppardia poensis,AF,PASSERIFORMES,Muscicapidae,Short-tailed Akalat
8804,Sheppardia cyornithopsis,AF,PASSERIFORMES,Muscicapidae,Lowland Akalat
8805,Sheppardia aequatorialis,AF,PASSERIFORMES,Muscicapidae,Equatorial Akalat
8806,Sheppardia gabela,AF,PASSERIFORMES,Muscicapidae,Gabela Akalat
8807,Sheppardia polioptera,AF,PASSERIFORMES,Muscicapidae,Grey-winged Robin-Chat
8808,Irania gutturalis,PAL,PASSERIFORMES,Muscicapidae,fehértorkú fülemüle
8809,Luscinia luscinia,PAL,PASSERIFORMES,Muscicapidae,nagy fülemüle
8810,Luscinia megarhynchos,PAL,PASSERIFORMES,Muscicapidae,fülemüle
8811,Luscinia svecica,PAL,PASSERIFORMES,Muscicapidae,kékbegy
8812,Luscinia phaenicuroides,OR,PASSERIFORMES,Muscicapidae,rövidszárnyú rozsdafarkú
8813,Myiomela leucura,OR,PASSERIFORMES,Muscicapidae,kék tükrösfarkú
8814,Myiomela sumatrana,OR,PASSERIFORMES,Muscicapidae,Sumatran Blue Robin
8815,Myiomela diana,OR,PASSERIFORMES,Muscicapidae,gyémánt tükrösfarkú
8816,Calliope obscura,PAL,PASSERIFORMES,Muscicapidae,feketetorkú fülemüle
8817,Calliope pectardens,PAL,PASSERIFORMES,Muscicapidae,tűztorkú fülemüle
8818,Calliope calliope,PAL,PASSERIFORMES,Muscicapidae,rubinbegy
8819,Calliope pectoralis,OR,PASSERIFORMES,Muscicapidae,fehérfarkú rubinbegy
8820,Calliope tschebaiewi,OR,PASSERIFORMES,Muscicapidae,Chinese Rubythroat
8821,Enicurus scouleri,OR,PASSERIFORMES,Muscicapidae,csutkafarkú rigó
8822,Enicurus immaculatus,OR,PASSERIFORMES,Muscicapidae,feketehátú villásrigó
8823,Enicurus schistaceus,OR,PASSERIFORMES,Muscicapidae,szürkehátú villásrigó
8824,Enicurus maculatus,OR,PASSERIFORMES,Muscicapidae,foltos villásrigó
8825,Enicurus leschenaulti,OR,PASSERIFORMES,Muscicapidae,fehérfejű villásrigó
8826,Enicurus borneensis,OR,PASSERIFORMES,Muscicapidae,Bornean Forktail
8827,Enicurus ruficapillus,OR,PASSERIFORMES,Muscicapidae,rozsdásfejű villásrigó
8828,Enicurus velatus,OR,PASSERIFORMES,Muscicapidae,törpevillásrigó
8829,Cinclidium frontale,OR,PASSERIFORMES,Muscicapidae,kormos azúrcsuk
8830,Myophonus insularis,OR,PASSERIFORMES,Muscicapidae,tajvani fütyülőrigó
8831,Myophonus melanurus,OR,PASSERIFORMES,Muscicapidae,fényes fütyülőrigó
8832,Myophonus castaneus,OR,PASSERIFORMES,Muscicapidae,Brown-winged Whistling Thrush
8833,Myophonus caeruleus,OR,PASSERIFORMES,Muscicapidae,vízi fütyülőrigó
8834,Myophonus glaucinus,OR,PASSERIFORMES,Muscicapidae,szunda fütyülőrigó
8835,Myophonus borneensis,OR,PASSERIFORMES,Muscicapidae,Bornean Whistling Thrush
8836,Myophonus robinsoni,OR,PASSERIFORMES,Muscicapidae,maláj fütyülőrigó
8837,Myophonus horsfieldii,OR,PASSERIFORMES,Muscicapidae,malabári fütyülőrigó
8838,Myophonus blighi,OR,PASSERIFORMES,Muscicapidae,ceyloni fütyülőrigó
8839,Heinrichia calligyna,AU,PASSERIFORMES,Muscicapidae,bársonyos rigó
8840,Vauriella gularis,OR,PASSERIFORMES,Muscicapidae,Eyebrowed Jungle Flycatcher
8841,Vauriella albigularis,OR,PASSERIFORMES,Muscicapidae,White-throated Jungle Flycatcher
8842,Vauriella insignis,OR,PASSERIFORMES,Muscicapidae,White-browed Jungle Flycatcher
8843,Vauriella goodfellowi,OR,PASSERIFORMES,Muscicapidae,Slaty-backed Jungle Flycatcher
8844,Leonardina woodi,OR,PASSERIFORMES,Muscicapidae,Bagobo Babbler
8845,Brachypteryx cruralis,OR,PASSERIFORMES,Muscicapidae,Himalayan Shortwing
8846,Brachypteryx sinensis,OR,PASSERIFORMES,Muscicapidae,Chinese Shortwing
8847,Brachypteryx goodfellowi,OR,PASSERIFORMES,Muscicapidae,Taiwan Shortwing
8848,Brachypteryx hyperythra,OR,PASSERIFORMES,Muscicapidae,roszdás rövidszárnyúrigó
8849,Brachypteryx leucophris,"OR, AU",PASSERIFORMES,Muscicapidae,törpe-rövidszárnyúrigó
8850,Brachypteryx poliogyna,OR,PASSERIFORMES,Muscicapidae,Philippine Shortwing
8851,Brachypteryx erythrogyna,OR,PASSERIFORMES,Muscicapidae,Bornean Shortwing
8852,Brachypteryx saturata,OR,PASSERIFORMES,Muscicapidae,Sumatran Shortwing
8853,Brachypteryx montana,OR,PASSERIFORMES,Muscicapidae,hegyi rövidszárnyúrigó
8854,Brachypteryx floris,OR,PASSERIFORMES,Muscicapidae,Flores Shortwing
8855,Larvivora cyane,PAL,PASSERIFORMES,Muscicapidae,kék fülemüle
8856,Larvivora brunnea,OR,PASSERIFORMES,Muscicapidae,narancsszínű fülemüle
8857,Larvivora akahige,PAL,PASSERIFORMES,Muscicapidae,rozsdástorkú vörösbegy
8858,Larvivora tanensis,PAL,PASSERIFORMES,Muscicapidae,Izu Robin
8859,Larvivora komadori,PAL,PASSERIFORMES,Muscicapidae,bársonyostorkú vörösbegy
8860,Larvivora namiyei,PAL,PASSERIFORMES,Muscicapidae,Okinawa Robin
8861,Larvivora sibilans,PAL,PASSERIFORMES,Muscicapidae,rőtfarkú fülemüle
8862,Larvivora ruficeps,PAL,PASSERIFORMES,Muscicapidae,vörösfejű vörösbegy
8863,Ficedula zanthopygia,PAL,PASSERIFORMES,Muscicapidae,Yellow-rumped Flycatcher
8864,Ficedula elisae,PAL,PASSERIFORMES,Muscicapidae,Green-backed Flycatcher
8865,Ficedula narcissina,PAL,PASSERIFORMES,Muscicapidae,Narcissus Flycatcher
8866,Ficedula owstoni,PAL,PASSERIFORMES,Muscicapidae,Ryukyu Flycatcher
8867,Ficedula tricolor,OR,PASSERIFORMES,Muscicapidae,Slaty-blue Flycatcher
8868,Ficedula hyperythra,"OR, AU",PASSERIFORMES,Muscicapidae,Snowy-browed Flycatcher
8869,Ficedula mugimaki,PAL,PASSERIFORMES,Muscicapidae,mugikami légykapó
8870,Ficedula erithacus,OR,PASSERIFORMES,Muscicapidae,Slaty-backed Flycatcher
8871,Ficedula hodgsoni,OR,PASSERIFORMES,Muscicapidae,Pygmy Flycatcher
8872,Ficedula strophiata,OR,PASSERIFORMES,Muscicapidae,fahéjtorkú légykapó
8873,Ficedula sapphira,OR,PASSERIFORMES,Muscicapidae,Sapphire Flycatcher
8874,Ficedula superciliaris,OR,PASSERIFORMES,Muscicapidae,Ultramarine Flycatcher
8875,Ficedula westermanni,"OR, AU",PASSERIFORMES,Muscicapidae,Little Pied Flycatcher
8876,Ficedula ruficauda,PAL,PASSERIFORMES,Muscicapidae,Rusty-tailed Flycatcher
8877,Ficedula subrubra,OR,PASSERIFORMES,Muscicapidae,Kashmir Flycatcher
8878,Ficedula parva,PAL,PASSERIFORMES,Muscicapidae,kis légykapó
8879,Ficedula albicilla,PAL,PASSERIFORMES,Muscicapidae,szibériai légykapó
8880,Ficedula semitorquata,PAL,PASSERIFORMES,Muscicapidae,félörvös légykapó
8881,Ficedula speculigera,AF,PASSERIFORMES,Muscicapidae,atlaszlégykapó
8882,Ficedula hypoleuca,PAL,PASSERIFORMES,Muscicapidae,kormos légykapó
8883,Ficedula albicollis,PAL,PASSERIFORMES,Muscicapidae,örvös légykapó
8884,Ficedula nigrorufa,OR,PASSERIFORMES,Muscicapidae,Black-and-orange Flycatcher
8885,Ficedula riedeli,AU,PASSERIFORMES,Muscicapidae,Tanimbar Flycatcher
8886,Ficedula dumetoria,OR,PASSERIFORMES,Muscicapidae,Rufous-chested Flycatcher
8887,Ficedula disposita,OR,PASSERIFORMES,Muscicapidae,Furtive Flycatcher
8888,Ficedula platenae,OR,PASSERIFORMES,Muscicapidae,Palawan Flycatcher
8889,Ficedula rufigula,AU,PASSERIFORMES,Muscicapidae,Rufous-throated Flycatcher
8890,Ficedula buruensis,AU,PASSERIFORMES,Muscicapidae,Cinnamon-chested Flycatcher
8891,Ficedula harterti,AU,PASSERIFORMES,Muscicapidae,Sumba Flycatcher
8892,Ficedula timorensis,AU,PASSERIFORMES,Muscicapidae,Black-banded Flycatcher
8893,Ficedula basilanica,OR,PASSERIFORMES,Muscicapidae,Little Slaty Flycatcher
8894,Ficedula luzoniensis,OR,PASSERIFORMES,Muscicapidae,Bundok Flycatcher
8895,Ficedula crypta,OR,PASSERIFORMES,Muscicapidae,Cryptic Flycatcher
8896,Ficedula bonthaina,AU,PASSERIFORMES,Muscicapidae,Lompobattang Flycatcher
8897,Ficedula henrici,AU,PASSERIFORMES,Muscicapidae,Damar Flycatcher
8898,Tarsiger indicus,OR,PASSERIFORMES,Muscicapidae,fehérhasú kékfarkú
8899,Tarsiger chrysaeus,OR,PASSERIFORMES,Muscicapidae,arany kékfarkú
8900,Tarsiger johnstoniae,OR,PASSERIFORMES,Muscicapidae,tajvani kékfarkú
8901,Tarsiger hyperythrus,OR,PASSERIFORMES,Muscicapidae,vörösmellű kékfarkú
8902,Tarsiger cyanurus,PAL,PASSERIFORMES,Muscicapidae,kékfarkú
8903,Tarsiger rufilatus,OR,PASSERIFORMES,Muscicapidae,Himalayan Bluetail
8904,Heteroxenicus stellatus,OR,PASSERIFORMES,Muscicapidae,barnahátú rövidszárnyúrigó
8905,Phoenicurus erythronotus,PAL,PASSERIFORMES,Muscicapidae,vöröshátú rozsdafarkú
8906,Phoenicurus frontalis,OR,PASSERIFORMES,Muscicapidae,kékhomlokú rozsdafarkú
8907,Phoenicurus coeruleocephala,PAL,PASSERIFORMES,Muscicapidae,kékfejű rozsdafarkú
8908,Phoenicurus schisticeps,PAL,PASSERIFORMES,Muscicapidae,csillagos rozsdafarkú
8909,Phoenicurus fuliginosus,OR,PASSERIFORMES,Muscicapidae,tonkini vízirozsdafarkú
8910,Phoenicurus bicolor,OR,PASSERIFORMES,Muscicapidae,luzoni vízirozsdafarkú
8911,Phoenicurus leucocephalus,PAL,PASSERIFORMES,Muscicapidae,White-capped Redstart
8912,Phoenicurus alaschanicus,PAL,PASSERIFORMES,Muscicapidae,alaschani rozsdafarkú
8913,Phoenicurus ochruros,"PAL, OR",PASSERIFORMES,Muscicapidae,házi rozsdafarkú
8914,Phoenicurus phoenicurus,PAL,PASSERIFORMES,Muscicapidae,kerti rozsdafarkú
8915,Phoenicurus moussieri,AF,PASSERIFORMES,Muscicapidae,gyémántrozsdafarkú
8916,Phoenicurus auroreus,PAL,PASSERIFORMES,Muscicapidae,tükrös rozsdafarkú
8917,Phoenicurus hodgsoni,OR,PASSERIFORMES,Muscicapidae,mezei rozsdafarkú
8918,Phoenicurus erythrogastrus,PAL,PASSERIFORMES,Muscicapidae,hegyi rozsdafarkú
8919,Monticola cinclorhyncha,OR,PASSERIFORMES,Muscicapidae,himalájai kövirigó
8920,Monticola gularis,PAL,PASSERIFORMES,Muscicapidae,csillagos kövirigó
8921,Monticola rufiventris,OR,PASSERIFORMES,Muscicapidae,vörösmellű kövirigó
8922,Monticola brevipes,AF,PASSERIFORMES,Muscicapidae,rövidujjú kövirigó
8923,Monticola explorator,AF,PASSERIFORMES,Muscicapidae,hosszúujjú kövirigó
8924,Monticola erythronotus,AF,PASSERIFORMES,Muscicapidae,Amber Mountain Rock Thrush
8925,Monticola sharpei,AF,PASSERIFORMES,Muscicapidae,Sharpe-rigó
8926,Monticola imerina,AF,PASSERIFORMES,Muscicapidae,Dünen-rigó
8927,Monticola rufocinereus,AF,PASSERIFORMES,Muscicapidae,szurdoki kövirigó
8928,Monticola saxatilis,PAL,PASSERIFORMES,Muscicapidae,kövirigó
8929,Monticola solitarius,"PAL, OR",PASSERIFORMES,Muscicapidae,kék kövirigó
8930,Monticola semirufus,AF,PASSERIFORMES,Muscicapidae,tükrös szirticsuk
8931,Monticola rupestris,AF,PASSERIFORMES,Muscicapidae,szirti kövirigó
8932,Monticola angolensis,AF,PASSERIFORMES,Muscicapidae,Miombo-kövirigó
8933,Saxicola jerdoni,OR,PASSERIFORMES,Muscicapidae,Jerdon-csuk
8934,Saxicola ferreus,OR,PASSERIFORMES,Muscicapidae,szürke csuk
8935,Saxicola rubetra,PAL,PASSERIFORMES,Muscicapidae,rozsdás csuk
8936,Saxicola macrorhynchus,OR,PASSERIFORMES,Muscicapidae,sivatagi csuk
8937,Saxicola gutturalis,AU,PASSERIFORMES,Muscicapidae,timori csuk
8938,Saxicola caprata,"PAL, OR, AU",PASSERIFORMES,Muscicapidae,gyászos csuk
8939,Saxicola insignis,PAL,PASSERIFORMES,Muscicapidae,gyékénycsuk
8940,Saxicola leucurus,OR,PASSERIFORMES,Muscicapidae,fehérfarkú csuk
8941,Saxicola stejnegeri,PAL,PASSERIFORMES,Muscicapidae,Amur Stonechat
8942,Saxicola torquatus,AF,PASSERIFORMES,Muscicapidae,African Stonechat
8943,Saxicola sibilla,AF,PASSERIFORMES,Muscicapidae,Madagascar Stonechat
8944,Saxicola tectes,IO,PASSERIFORMES,Muscicapidae,réunioni csuk
8945,Saxicola maurus,PAL,PASSERIFORMES,Muscicapidae,keleti cigánycsuk
8946,Saxicola rubicola,PAL,PASSERIFORMES,Muscicapidae,cigánycsuk
8947,Saxicola dacotiae,AF,PASSERIFORMES,Muscicapidae,kanári csuk
8948,Campicoloides bifasciatus,AF,PASSERIFORMES,Muscicapidae,fakó csuk
8949,Emarginata schlegelii,AF,PASSERIFORMES,Muscicapidae,Karoo Chat
8950,Emarginata tractrac,AF,PASSERIFORMES,Muscicapidae,Tractrac Chat
8951,Emarginata sinuata,AF,PASSERIFORMES,Muscicapidae,Sickle-winged Chat
8952,Pinarochroa sordida,AF,PASSERIFORMES,Muscicapidae,Moorland Chat
8953,Thamnolaea cinnamomeiventris,AF,PASSERIFORMES,Muscicapidae,vöröshasú szirticsuk
8954,Thamnolaea coronata,AF,PASSERIFORMES,Muscicapidae,fehérfejű szirticsuk
8955,Myrmecocichla aethiops,AF,PASSERIFORMES,Muscicapidae,száheli hangyászcsuk
8956,Myrmecocichla tholloni,AF,PASSERIFORMES,Muscicapidae,kongói hangyászrigó
8957,Myrmecocichla formicivora,AF,PASSERIFORMES,Muscicapidae,termeszrigó
8958,Myrmecocichla monticola,AF,PASSERIFORMES,Muscicapidae,hegyi hantmadár
8959,Myrmecocichla nigra,AF,PASSERIFORMES,Muscicapidae,feketehasú hangyászrigó
8960,Myrmecocichla melaena,AF,PASSERIFORMES,Muscicapidae,egyszínű hangyászrigó
8961,Myrmecocichla collaris,AF,PASSERIFORMES,Muscicapidae,Ruaha Chat
8962,Myrmecocichla arnotti,AF,PASSERIFORMES,Muscicapidae,Arnot-hangyászrigó
8963,Oenanthe oenanthe,PAL,PASSERIFORMES,Muscicapidae,hantmadár
8964,Oenanthe seebohmi,AF,PASSERIFORMES,Muscicapidae,Atlas Wheatear
8965,Oenanthe pileata,AF,PASSERIFORMES,Muscicapidae,földi hantmadár
8966,Oenanthe bottae,PAL,PASSERIFORMES,Muscicapidae,barnamellű hantmadár
8967,Oenanthe frenata,AF,PASSERIFORMES,Muscicapidae,Rusty-breasted Wheatear
8968,Oenanthe isabellina,PAL,PASSERIFORMES,Muscicapidae,pusztai hantmadár
8969,Oenanthe heuglinii,AF,PASSERIFORMES,Muscicapidae,Heuglin's Wheatear
8970,Oenanthe monacha,PAL,PASSERIFORMES,Muscicapidae,csuklyás hantmadár
8971,Oenanthe deserti,PAL,PASSERIFORMES,Muscicapidae,sivatagi hantmadár
8972,Oenanthe hispanica,PAL,PASSERIFORMES,Muscicapidae,déli hantmadár
8973,Oenanthe pleschanka,PAL,PASSERIFORMES,Muscicapidae,apácahantmadár
8974,Oenanthe melanoleuca,PAL,PASSERIFORMES,Muscicapidae,Eastern Black-eared Wheatear
8975,Oenanthe cypriaca,PAL,PASSERIFORMES,Muscicapidae,ciprusi hantmadár
8976,Oenanthe albifrons,AF,PASSERIFORMES,Muscicapidae,fehérfejű hangyászrigó
8977,Oenanthe phillipsi,AF,PASSERIFORMES,Muscicapidae,szomáli hantmadár
8978,Oenanthe moesta,"PAL, AF",PASSERIFORMES,Muscicapidae,rozsdás hantmadár
8979,Oenanthe melanura,"PAL, AF",PASSERIFORMES,Muscicapidae,koromfarkú csuk
8980,Oenanthe familiaris,AF,PASSERIFORMES,Muscicapidae,Familiar Chat
8981,Oenanthe scotocerca,AF,PASSERIFORMES,Muscicapidae,Brown-tailed Rock Chat
8982,Oenanthe dubia,AF,PASSERIFORMES,Muscicapidae,Sombre Rock Chat
8983,Oenanthe fusca,OR,PASSERIFORMES,Muscicapidae,Brown Rock Chat
8984,Oenanthe picata,PAL,PASSERIFORMES,Muscicapidae,perzsa hantmadár
8985,Oenanthe finschii,PAL,PASSERIFORMES,Muscicapidae,türk hantmadár
8986,Oenanthe halophila,AF,PASSERIFORMES,Muscicapidae,Maghreb Wheatear
8987,Oenanthe lugens,"PAL, AF",PASSERIFORMES,Muscicapidae,gyászos hantmadár
8988,Oenanthe warriae,PAL,PASSERIFORMES,Muscicapidae,Basalt Wheatear
8989,Oenanthe xanthoprymna,PAL,PASSERIFORMES,Muscicapidae,kurd hantmadár
8990,Oenanthe chrysopygia,PAL,PASSERIFORMES,Muscicapidae,vörösfarkú hantmadár
8991,Oenanthe leucopyga,"AF, PAL",PASSERIFORMES,Muscicapidae,koronás hantmadár
8992,Oenanthe albonigra,PAL,PASSERIFORMES,Muscicapidae,feketefejű hantmadár
8993,Oenanthe leucura,PAL,PASSERIFORMES,Muscicapidae,kormos hantmadár
8994,Oenanthe lugentoides,PAL,PASSERIFORMES,Muscicapidae,Arabian Wheatear
8995,Oenanthe lugubris,AF,PASSERIFORMES,Muscicapidae,Abyssinian Wheatear
8996,Cinclus cinclus,PAL,PASSERIFORMES,Cinclidae,vízirigó
8997,Cinclus pallasii,PAL,PASSERIFORMES,Cinclidae,hegyi vízirigó
8998,Cinclus mexicanus,"NA, MA",PASSERIFORMES,Cinclidae,szürke vízirigó
8999,Cinclus leucocephalus,SA,PASSERIFORMES,Cinclidae,koronás vízirigó
9000,Cinclus schulzii,SA,PASSERIFORMES,Cinclidae,rozsdástorkú vízirigó
9001,Chloropsis flavipennis,OR,PASSERIFORMES,Chloropseidae,fülöp-szigeteki levélmadár
9002,Chloropsis palawanensis,OR,PASSERIFORMES,Chloropseidae,palawani levélmadár
9003,Chloropsis sonnerati,OR,PASSERIFORMES,Chloropseidae,vastagcsőrű levélmadár
9004,Chloropsis cyanopogon,OR,PASSERIFORMES,Chloropseidae,kékbajszú levélmadár
9005,Chloropsis moluccensis,OR,PASSERIFORMES,Chloropseidae,Blue-winged Leafbird
9006,Chloropsis cochinchinensis,OR,PASSERIFORMES,Chloropseidae,kékszárnyú levélmadár
9007,Chloropsis kinabaluensis,OR,PASSERIFORMES,Chloropseidae,Bornean Leafbird
9008,Chloropsis jerdoni,OR,PASSERIFORMES,Chloropseidae,Jerdon's Leafbird
9009,Chloropsis aurifrons,OR,PASSERIFORMES,Chloropseidae,aranyoshomlokú levélmadár
9010,Chloropsis media,OR,PASSERIFORMES,Chloropseidae,Sumatran Leafbird
9011,Chloropsis hardwickii,OR,PASSERIFORMES,Chloropseidae,sárgahasú levélmadár
9012,Chloropsis venusta,OR,PASSERIFORMES,Chloropseidae,kékhomlokú levélmadár
9013,Prionochilus olivaceus,OR,PASSERIFORMES,Dicaeidae,olívhátú virágjáró
9014,Prionochilus maculatus,OR,PASSERIFORMES,Dicaeidae,sárgabegyű virágjáró
9015,Prionochilus percussus,OR,PASSERIFORMES,Dicaeidae,Crimson-breasted Flowerpecker
9016,Prionochilus plateni,OR,PASSERIFORMES,Dicaeidae,Palawan Flowerpecker
9017,Prionochilus xanthopygius,OR,PASSERIFORMES,Dicaeidae,Yellow-rumped Flowerpecker
9018,Prionochilus thoracicus,OR,PASSERIFORMES,Dicaeidae,skarlátbegyű virágjáró
9019,Dicaeum dayakorum,OR,PASSERIFORMES,Dicaeidae,Spectacled Flowerpecker
9020,Dicaeum annae,AU,PASSERIFORMES,Dicaeidae,Golden-rumped Flowerpecker
9021,Dicaeum agile,OR,PASSERIFORMES,Dicaeidae,vastagcsőrű virágjáró
9022,Dicaeum aeruginosum,OR,PASSERIFORMES,Dicaeidae,csíkos virágjáró
9023,Dicaeum everetti,OR,PASSERIFORMES,Dicaeidae,Brown-backed Flowerpecker
9024,Dicaeum proprium,OR,PASSERIFORMES,Dicaeidae,Whiskered Flowerpecker
9025,Dicaeum chrysorrheum,OR,PASSERIFORMES,Dicaeidae,Yellow-vented Flowerpecker
9026,Dicaeum melanozanthum,OR,PASSERIFORMES,Dicaeidae,Yellow-bellied Flowerpecker
9027,Dicaeum vincens,OR,PASSERIFORMES,Dicaeidae,Legge's Flowerpecker
9028,Dicaeum aureolimbatum,AU,PASSERIFORMES,Dicaeidae,Yellow-sided Flowerpecker
9029,Dicaeum nigrilore,OR,PASSERIFORMES,Dicaeidae,Olive-capped Flowerpecker
9030,Dicaeum anthonyi,OR,PASSERIFORMES,Dicaeidae,Yellow-crowned Flowerpecker
9031,Dicaeum kampalili,OR,PASSERIFORMES,Dicaeidae,Flame-crowned Flowerpecker
9032,Dicaeum bicolor,OR,PASSERIFORMES,Dicaeidae,Bicolored Flowerpecker
9033,Dicaeum australe,OR,PASSERIFORMES,Dicaeidae,Red-keeled Flowerpecker
