,IOC,Breeding Range,Order,Family,Chinese (Traditional)
9660,Carpodacus davidianus,PAL,PASSERIFORMES,Fringillidae,紅眉朱雀
9661,Carpodacus waltoni,PAL,PASSERIFORMES,Fringillidae,曙紅朱雀
9662,Carpodacus rodochroa,"PAL, OR",PASSERIFORMES,Fringillidae,玫紅眉朱雀
9663,Carpodacus edwardsii,"PAL, OR",PASSERIFORMES,Fringillidae,棕朱雀
9664,Carpodacus rodopeplus,"PAL, OR",PASSERIFORMES,Fringillidae,點斑朱雀
9665,Carpodacus verreauxii,PAL,PASSERIFORMES,Fringillidae,夏普氏點斑朱雀
9666,Carpodacus vinaceus,"PAL, OR",PASSERIFORMES,Fringillidae,酒紅朱雀
9667,Carpodacus formosanus,OR,PASSERIFORMES,Fringillidae,臺灣朱雀
9668,Carpodacus synoicus,PAL,PASSERIFORMES,Fringillidae,西奈淡色朱雀
9669,Carpodacus stoliczkae,PAL,PASSERIFORMES,Fringillidae,淡色朱雀
9670,Carpodacus roborowskii,PAL,PASSERIFORMES,Fringillidae,藏朱雀
9671,Carpodacus sillemi,PAL,PASSERIFORMES,Fringillidae,山朱雀
9672,Carpodacus sibiricus,PAL,PASSERIFORMES,Fringillidae,長尾雀
9673,Carpodacus lepidus,PAL,PASSERIFORMES,Fringillidae,Chinese Long-tailed Rosefinch
9674,Carpodacus roseus,PAL,PASSERIFORMES,Fringillidae,北朱雀
9675,Carpodacus trifasciatus,PAL,PASSERIFORMES,Fringillidae,三斑翅朱雀
9676,Carpodacus thura,"PAL, OR",PASSERIFORMES,Fringillidae,白眉朱雀
9677,Carpodacus dubius,PAL,PASSERIFORMES,Fringillidae,中國白眉朱雀
9678,Carpodacus puniceus,"PAL, OR",PASSERIFORMES,Fringillidae,紅腰朱雀
9679,Carpodacus subhimachalus,"PAL, OR",PASSERIFORMES,Fringillidae,紅額松雀
9680,Paroreomyza maculata,PO,PASSERIFORMES,Fringillidae,歐胡島黃嘴管舌鳥
9681,Paroreomyza montana,PO,PASSERIFORMES,Fringillidae,茂伊島黃嘴管舌鳥
9682,Oreomystis bairdi,PO,PASSERIFORMES,Fringillidae,考艾管舌鳥
9683,Telespiza cantans,PO,PASSERIFORMES,Fringillidae,來珊擬管舌鳥
9684,Telespiza ultima,PO,PASSERIFORMES,Fringillidae,尼哈管舌鳥
9685,Loxioides bailleui,PO,PASSERIFORMES,Fringillidae,黃胸擬管舌鳥
9686,Drepanis coccinea,PO,PASSERIFORMES,Fringillidae,鐮嘴管舌鳥
9687,Palmeria dolei,PO,PASSERIFORMES,Fringillidae,冠旋蜜鳥
9688,Himatione sanguinea,PO,PASSERIFORMES,Fringillidae,白臀蜜鳥 1923滅絕
9689,Hemignathus hanapepe,PO,PASSERIFORMES,Fringillidae,考艾短嘴導顎雀
9690,Hemignathus affinis,PO,PASSERIFORMES,Fringillidae,茂伊短嘴導顎雀
9691,Hemignathus wilsoni,PO,PASSERIFORMES,Fringillidae,導顎雀
9692,Pseudonestor xanthophrys,PO,PASSERIFORMES,Fringillidae,茂伊島鸚嘴雀
9693,Magumma parva,PO,PASSERIFORMES,Fringillidae,小夏威夷綠雀
9694,Loxops mana,PO,PASSERIFORMES,Fringillidae,夏威夷管舌鳥
9695,Loxops caeruleirostris,PO,PASSERIFORMES,Fringillidae,亞奇奇猩紅管舌鳥
9696,Loxops coccineus,PO,PASSERIFORMES,Fringillidae,猩紅管舌鳥
9697,Loxops ochraceus,PO,PASSERIFORMES,Fringillidae,茂伊猩紅管舌鳥
9698,Chlorodrepanis virens,PO,PASSERIFORMES,Fringillidae,大綠雀1900滅絕
9699,Chlorodrepanis flava,PO,PASSERIFORMES,Fringillidae,歐胡島綠雀
9700,Chlorodrepanis stejnegeri,PO,PASSERIFORMES,Fringillidae,考艾綠雀
9701,Haemorhous mexicanus,"NA, MA",PASSERIFORMES,Fringillidae,美洲家朱雀
9702,Chloris chloris,PAL,PASSERIFORMES,Fringillidae,歐洲金翅雀
9703,Chloris sinica,"PAL, OR",PASSERIFORMES,Fringillidae,金翅雀〔東方金翅雀〕
9704,Chloris kittlitzi,PAL,PASSERIFORMES,Fringillidae,Bonin Greenfinch
9705,Chloris spinoides,OR,PASSERIFORMES,Fringillidae,高山金翅雀
9706,Chloris monguilloti,OR,PASSERIFORMES,Fringillidae,越南金翅雀
9707,Chloris ambigua,OR,PASSERIFORMES,Fringillidae,黑頭金翅雀
9708,Rhodospiza obsoleta,PAL,PASSERIFORMES,Fringillidae,巨嘴沙雀
9709,Rhynchostruthus socotranus,AF,PASSERIFORMES,Fringillidae,金翅臘嘴雀
9710,Rhynchostruthus percivali,PAL,PASSERIFORMES,Fringillidae,阿拉伯臘嘴雀
9711,Rhynchostruthus louisae,AF,PASSERIFORMES,Fringillidae,索馬利亞臘嘴雀
9712,Linurgus olivaceus,AF,PASSERIFORMES,Fringillidae,鸝雀
9713,Crithagra rufobrunnea,AF,PASSERIFORMES,Fringillidae,普林西比絲雀
9714,Crithagra concolor,AF,PASSERIFORMES,Fringillidae,聖多美臘嘴雀1900滅絕
9715,Crithagra citrinelloides,AF,PASSERIFORMES,Fringillidae,黃眼紋絲雀
9716,Crithagra frontalis,AF,PASSERIFORMES,Fringillidae,西方絲雀
9717,Crithagra hyposticta,AF,PASSERIFORMES,Fringillidae,南方絲雀
9718,Crithagra capistrata,AF,PASSERIFORMES,Fringillidae,黑臉絲雀
9719,Crithagra koliensis,AF,PASSERIFORMES,Fringillidae,烏干達絲雀
9720,Crithagra scotops,AF,PASSERIFORMES,Fringillidae,黃眉林絲雀
9721,Crithagra leucopygia,AF,PASSERIFORMES,Fringillidae,白腰絲雀
9722,Crithagra atrogularis,AF,PASSERIFORMES,Fringillidae,黑喉絲雀
9723,Crithagra xanthopygia,AF,PASSERIFORMES,Fringillidae,衣索比亞黃腰食籽雀
9724,Crithagra reichenowi,AF,PASSERIFORMES,Fringillidae,肯亞黃腰絲雀
9725,Crithagra rothschildi,PAL,PASSERIFORMES,Fringillidae,黃腰絲雀
9726,Crithagra flavigula,AF,PASSERIFORMES,Fringillidae,黃喉絲雀
9727,Crithagra xantholaema,AF,PASSERIFORMES,Fringillidae,薩瓦氏絲雀
9728,Crithagra citrinipectus,AF,PASSERIFORMES,Fringillidae,檸黃胸絲雀
9729,Crithagra mozambica,AF,PASSERIFORMES,Fringillidae,黃額絲雀
9730,Crithagra dorsostriata,AF,PASSERIFORMES,Fringillidae,白腹絲雀
9731,Crithagra ankoberensis,AF,PASSERIFORMES,Fringillidae,安可貝絲雀
9732,Crithagra menachensis,PAL,PASSERIFORMES,Fringillidae,葉門絲雀
9733,Crithagra totta,AF,PASSERIFORMES,Fringillidae,南非絲雀
9734,Crithagra symonsi,AF,PASSERIFORMES,Fringillidae,西蒙氏絲雀
9735,Crithagra donaldsoni,AF,PASSERIFORMES,Fringillidae,大嘴絲雀
9736,Crithagra buchanani,AF,PASSERIFORMES,Fringillidae,肯亞大嘴絲雀
9737,Crithagra flaviventris,AF,PASSERIFORMES,Fringillidae,黃絲雀
9738,Crithagra sulphurata,AF,PASSERIFORMES,Fringillidae,硫磺色絲雀
9739,Crithagra striatipectus,AF,PASSERIFORMES,Fringillidae,Stripe-breasted Seedeater
9740,Crithagra reichardi,AF,PASSERIFORMES,Fringillidae,理查紋頭絲雀
9741,Crithagra gularis,AF,PASSERIFORMES,Fringillidae,紋頭絲雀
9742,Crithagra canicapilla,AF,PASSERIFORMES,Fringillidae,西非紋頭絲雀
9743,Crithagra mennelli,AF,PASSERIFORMES,Fringillidae,黑耳絲雀
9744,Crithagra tristriata,AF,PASSERIFORMES,Fringillidae,褐腰絲雀
9745,Crithagra albogularis,AF,PASSERIFORMES,Fringillidae,白喉絲雀
9746,Crithagra burtoni,AF,PASSERIFORMES,Fringillidae,厚嘴絲雀
9747,Crithagra striolata,AF,PASSERIFORMES,Fringillidae,條紋絲雀
9748,Crithagra whytii,AF,PASSERIFORMES,Fringillidae,黃眉絲雀
9749,Crithagra melanochroa,AF,PASSERIFORMES,Fringillidae,坦尚尼亞絲雀〔基朋絲雀〕
9750,Crithagra leucoptera,AF,PASSERIFORMES,Fringillidae,白翅絲雀
9751,Linaria flavirostris,PAL,PASSERIFORMES,Fringillidae,黃嘴朱頂雀
9752,Linaria cannabina,PAL,PASSERIFORMES,Fringillidae,朱胸朱頂雀
9753,Linaria yemenensis,PAL,PASSERIFORMES,Fringillidae,葉門朱頂雀
9754,Linaria johannis,AF,PASSERIFORMES,Fringillidae,栗腰朱頂雀
9755,Acanthis flammea,"PAL, NA",PASSERIFORMES,Fringillidae,普通朱頂雀〔白腰朱頂雀〕
9756,Acanthis cabaret,PAL,PASSERIFORMES,Fringillidae,小朱頂雀
9757,Acanthis hornemanni,"PAL, NA",PASSERIFORMES,Fringillidae,極北朱頂雀
9758,Loxia pytyopsittacus,PAL,PASSERIFORMES,Fringillidae,鸚交嘴雀
9759,Loxia scotica,PAL,PASSERIFORMES,Fringillidae,蘇格蘭交嘴雀
9760,Loxia curvirostra,"PAL, OR, NA, MA",PASSERIFORMES,Fringillidae,紅交嘴雀
9761,Loxia leucoptera,"PAL, NA",PASSERIFORMES,Fringillidae,白翅交嘴雀
9762,Chrysocorythus estherae,"OR, AU",PASSERIFORMES,Fringillidae,馬來亞金絲雀
9763,Chrysocorythus mindanensis,OR,PASSERIFORMES,Fringillidae,Mindanao Serin
9764,Carduelis carduelis,PAL,PASSERIFORMES,Fringillidae,金絲雀
9765,Carduelis citrinella,PAL,PASSERIFORMES,Fringillidae,檸檬黃絲雀
9766,Carduelis corsicana,PAL,PASSERIFORMES,Fringillidae,地中海絲雀
9767,Serinus pusillus,PAL,PASSERIFORMES,Fringillidae,金額絲雀
9768,Serinus serinus,"PAL, AF",PASSERIFORMES,Fringillidae,金黃絲雀
9769,Serinus syriacus,"PAL, AF",PASSERIFORMES,Fringillidae,敘利亞絲雀
9770,Serinus canaria,AF,PASSERIFORMES,Fringillidae,加那利島絲雀
9771,Serinus canicollis,AF,PASSERIFORMES,Fringillidae,黃頂絲雀
9772,Serinus flavivertex,AF,PASSERIFORMES,Fringillidae,黃冠絲雀
9773,Serinus nigriceps,AF,PASSERIFORMES,Fringillidae,阿比西尼亞黑頭絲雀
9774,Serinus alario,AF,PASSERIFORMES,Fringillidae,黑頭絲雀
9775,Spinus thibetanus,OR,PASSERIFORMES,Fringillidae,藏黃雀
9776,Spinus lawrencei,"NA, MA",PASSERIFORMES,Fringillidae,加利福尼亞金翅雀
9777,Spinus tristis,"NA, MA",PASSERIFORMES,Fringillidae,北美金翅雀
9778,Spinus psaltria,"NA, MA, SA",PASSERIFORMES,Fringillidae,暗背金翅雀
9779,Spinus spinus,PAL,PASSERIFORMES,Fringillidae,黃雀
9780,Spinus pinus,"NA, MA",PASSERIFORMES,Fringillidae,松金翅雀
9781,Spinus atriceps,MA,PASSERIFORMES,Fringillidae,黑頂金翅雀
9782,Spinus notatus,MA,PASSERIFORMES,Fringillidae,黑頭橙胸金翅雀
9783,Spinus barbatus,SA,PASSERIFORMES,Fringillidae,黑頦金翅雀
9784,Spinus xanthogastrus,"MA, SA",PASSERIFORMES,Fringillidae,黃腹金翅雀
9785,Spinus olivaceus,SA,PASSERIFORMES,Fringillidae,橄綠金翅雀
9786,Spinus magellanicus,SA,PASSERIFORMES,Fringillidae,黑頭金翅雀
9787,Spinus siemiradzkii,SA,PASSERIFORMES,Fringillidae,番紅花金翅雀
9788,Spinus yarrellii,SA,PASSERIFORMES,Fringillidae,黃臉金翅雀
9789,Spinus cucullatus,SA,PASSERIFORMES,Fringillidae,黑頭紅金翅雀
9790,Spinus atratus,SA,PASSERIFORMES,Fringillidae,黑金翅雀
9791,Spinus uropygialis,SA,PASSERIFORMES,Fringillidae,黃腰金翅雀
9792,Spinus crassirostris,SA,PASSERIFORMES,Fringillidae,厚嘴金翅雀
9793,Spinus spinescens,SA,PASSERIFORMES,Fringillidae,南美金翅雀
9794,Chlorophonia elegantissima,MA,PASSERIFORMES,Fringillidae,藍腰歌雀
9795,Chlorophonia cyanocephala,SA,PASSERIFORMES,Fringillidae,金腰歌雀
9796,Chlorophonia cyanea,SA,PASSERIFORMES,Fringillidae,藍頸綠雀
9797,Chlorophonia pyrrhophrys,SA,PASSERIFORMES,Fringillidae,栗胸綠雀
9798,Chlorophonia flavirostris,SA,PASSERIFORMES,Fringillidae,黃領綠雀
9799,Chlorophonia occipitalis,MA,PASSERIFORMES,Fringillidae,藍冠綠雀
9800,Chlorophonia callophrys,MA,PASSERIFORMES,Fringillidae,金眉綠雀
9801,Euphonia saturata,SA,PASSERIFORMES,Fringillidae,橙頂歌雀
9802,Euphonia plumbea,SA,PASSERIFORMES,Fringillidae,鉛灰歌雀
9803,Euphonia chlorotica,SA,PASSERIFORMES,Fringillidae,紫喉歌雀
9804,Euphonia finschi,SA,PASSERIFORMES,Fringillidae,芬契氏歌雀
9805,Euphonia concinna,SA,PASSERIFORMES,Fringillidae,絨額歌雀
9806,Euphonia trinitatis,SA,PASSERIFORMES,Fringillidae,特立歌雀
9807,Euphonia godmani,MA,PASSERIFORMES,Fringillidae,West Mexican Euphonia
9808,Euphonia affinis,MA,PASSERIFORMES,Fringillidae,藪歌雀
9809,Euphonia luteicapilla,MA,PASSERIFORMES,Fringillidae,黃頂歌雀
9810,Euphonia chrysopasta,SA,PASSERIFORMES,Fringillidae,金腹歌雀
9811,Euphonia minuta,"MA, SA",PASSERIFORMES,Fringillidae,白臀歌雀
9812,Euphonia chalybea,SA,PASSERIFORMES,Fringillidae,綠喉歌雀
9813,Euphonia violacea,SA,PASSERIFORMES,Fringillidae,紫色歌雀
9814,Euphonia hirundinacea,MA,PASSERIFORMES,Fringillidae,黃喉歌雀
9815,Euphonia laniirostris,"MA, SA",PASSERIFORMES,Fringillidae,厚嘴歌雀
9816,Euphonia imitans,MA,PASSERIFORMES,Fringillidae,點冠歌雀
9817,Euphonia gouldi,MA,PASSERIFORMES,Fringillidae,橄綠背歌雀
9818,Euphonia fulvicrissa,"MA, SA",PASSERIFORMES,Fringillidae,黃臀歌雀
9819,Euphonia anneae,"MA, SA",PASSERIFORMES,Fringillidae,茶黃頂歌雀
9820,Euphonia xanthogaster,"MA, SA",PASSERIFORMES,Fringillidae,橙腹歌雀
9821,Euphonia mesochrysa,SA,PASSERIFORMES,Fringillidae,銅綠歌雀
9822,Euphonia cayennensis,SA,PASSERIFORMES,Fringillidae,金脇歌雀
9823,Euphonia rufiventris,SA,PASSERIFORMES,Fringillidae,棕腹歌雀
9824,Euphonia pectoralis,SA,PASSERIFORMES,Fringillidae,栗腹歌雀
9825,Calcarius lapponicus,"NA, PAL",PASSERIFORMES,Calcariidae,鐵爪鵐
9826,Plectrophenax nivalis,"NA, PAL",PASSERIFORMES,Calcariidae,雪鵐
9827,Rhodinocichla rosea,"MA, SA",PASSERIFORMES,Rhodinocichlidae,鶇形唐納雀
9828,Emberiza lathami,OR,PASSERIFORMES,Emberizidae,冠鵐〔鳳頭鵐〕
9829,Emberiza siemsseni,PAL,PASSERIFORMES,Emberizidae,藍鵐
9830,Emberiza calandra,PAL,PASSERIFORMES,Emberizidae,黍鵐
9831,Emberiza citrinella,PAL,PASSERIFORMES,Emberizidae,黃鵐
9832,Emberiza leucocephalos,PAL,PASSERIFORMES,Emberizidae,白頭鵐
9833,Emberiza cia,PAL,PASSERIFORMES,Emberizidae,灰眉岩鵐
9834,Emberiza godlewskii,PAL,PASSERIFORMES,Emberizidae,戈氏岩鵐
9835,Emberiza cioides,PAL,PASSERIFORMES,Emberizidae,草鵐〔三道眉草鵐〕
9836,Emberiza stewarti,OR,PASSERIFORMES,Emberizidae,白頂鵐
9837,Emberiza jankowskii,PAL,PASSERIFORMES,Emberizidae,栗斑腹鵐
9838,Emberiza buchanani,PAL,PASSERIFORMES,Emberizidae,灰頸鵐
9839,Emberiza cineracea,PAL,PASSERIFORMES,Emberizidae,灰頭鵐
9840,Emberiza hortulana,PAL,PASSERIFORMES,Emberizidae,圃鵐
9841,Emberiza caesia,PAL,PASSERIFORMES,Emberizidae,藍頭圃鵐
9842,Emberiza cirlus,"PAL, AF",PASSERIFORMES,Emberizidae,黃道眉鵐
9843,Emberiza striolata,"PAL, AF",PASSERIFORMES,Emberizidae,黑紋鵐
9844,Emberiza sahari,AF,PASSERIFORMES,Emberizidae,家黑紋鵐
9845,Emberiza impetuani,AF,PASSERIFORMES,Emberizidae,淡岩鵐
9846,Emberiza tahapisi,AF,PASSERIFORMES,Emberizidae,朱胸岩鵐
9847,Emberiza goslingi,AF,PASSERIFORMES,Emberizidae,葛氏朱胸岩鵐
9848,Emberiza socotrana,AF,PASSERIFORMES,Emberizidae,索科特拉山鵐
9849,Emberiza capensis,AF,PASSERIFORMES,Emberizidae,南非岩鵐
9850,Emberiza tristrami,PAL,PASSERIFORMES,Emberizidae,白眉鵐
9851,Emberiza fucata,PAL,PASSERIFORMES,Emberizidae,赤胸鵐〔栗耳鵐〕
9852,Emberiza pusilla,PAL,PASSERIFORMES,Emberizidae,小鵐
9853,Emberiza chrysophrys,PAL,PASSERIFORMES,Emberizidae,黃眉鵐
9854,Emberiza rustica,PAL,PASSERIFORMES,Emberizidae,田鵐
9855,Emberiza elegans,PAL,PASSERIFORMES,Emberizidae,黃喉鵐
9856,Emberiza aureola,PAL,PASSERIFORMES,Emberizidae,金鵐
9857,Emberiza poliopleura,AF,PASSERIFORMES,Emberizidae,索馬利金胸鵐
9858,Emberiza flaviventris,AF,PASSERIFORMES,Emberizidae,金胸鵐
9859,Emberiza affinis,AF,PASSERIFORMES,Emberizidae,黃胸鵐
9860,Emberiza cabanisi,AF,PASSERIFORMES,Emberizidae,白眉黃腹鵐
9861,Emberiza rutila,PAL,PASSERIFORMES,Emberizidae,鏽鵐〔栗鵐〕
9862,Emberiza koslowi,PAL,PASSERIFORMES,Emberizidae,藏鵐
9863,Emberiza melanocephala,PAL,PASSERIFORMES,Emberizidae,黑頭鵐
9864,Emberiza bruniceps,PAL,PASSERIFORMES,Emberizidae,褐頭鵐
9865,Emberiza sulphurata,PAL,PASSERIFORMES,Emberizidae,野鵐〔繡眼鵐〕
9866,Emberiza spodocephala,PAL,PASSERIFORMES,Emberizidae,黑臉鵐
9867,Emberiza personata,PAL,PASSERIFORMES,Emberizidae,Masked Bunting
9868,Emberiza variabilis,PAL,PASSERIFORMES,Emberizidae,灰鵐
9869,Emberiza pallasi,PAL,PASSERIFORMES,Emberizidae,葦鵐
9870,Emberiza yessoensis,PAL,PASSERIFORMES,Emberizidae,紅頸葦鵐
9871,Emberiza schoeniclus,PAL,PASSERIFORMES,Emberizidae,蘆鵐
9872,Oreothraupis arremonops,SA,PASSERIFORMES,Passerellidae,唐納山雀
9873,Chlorospingus flavigularis,"MA, SA",PASSERIFORMES,Passerellidae,黃喉灌叢唐納雀
9874,Chlorospingus parvirostris,SA,PASSERIFORMES,Passerellidae,短嘴灌叢唐納雀
9875,Chlorospingus canigularis,"MA, SA",PASSERIFORMES,Passerellidae,灰喉灌叢唐納雀
9876,Chlorospingus pileatus,MA,PASSERIFORMES,Passerellidae,烏頂灌叢唐納雀
9877,Chlorospingus flavopectus,"MA, SA",PASSERIFORMES,Passerellidae,普通灌叢唐納雀
9878,Chlorospingus tacarcunae,"MA, SA",PASSERIFORMES,Passerellidae,塔柯灌叢唐納雀
9879,Chlorospingus inornatus,MA,PASSERIFORMES,Passerellidae,巴拿馬灌叢唐納雀
9880,Chlorospingus semifuscus,SA,PASSERIFORMES,Passerellidae,烏灰灌叢唐納雀
9881,Rhynchospiza stolzmanni,SA,PASSERIFORMES,Passerellidae,屯貝斯猛雀鵐
9882,Rhynchospiza dabbenei,SA,PASSERIFORMES,Passerellidae,Yungas Sparrow
9883,Rhynchospiza strigiceps,SA,PASSERIFORMES,Passerellidae,紋頂猛雀鵐
9884,Peucaea carpalis,"NA, MA",PASSERIFORMES,Passerellidae,棕翅猛雀鵐
9885,Peucaea sumichrasti,MA,PASSERIFORMES,Passerellidae,桂紅尾猛雀鵐
9886,Peucaea ruficauda,MA,PASSERIFORMES,Passerellidae,紋頭猛雀鵐
9887,Peucaea humeralis,MA,PASSERIFORMES,Passerellidae,黑胸猛雀鵐
9888,Peucaea mystacalis,MA,PASSERIFORMES,Passerellidae,白髭猛雀鵐
9889,Peucaea botterii,"NA, MA",PASSERIFORMES,Passerellidae,博特利氏猛雀鵐
9890,Peucaea cassinii,"NA, MA",PASSERIFORMES,Passerellidae,卡辛氏猛雀鵐
9891,Ammodramus savannarum,"NA, MA",PASSERIFORMES,Passerellidae,黃胸草鵐
9892,Ammodramus humeralis,SA,PASSERIFORMES,Passerellidae,草地蠅鵐
9893,Ammodramus aurifrons,SA,PASSERIFORMES,Passerellidae,黃額蠅鵐
9894,Arremonops rufivirgatus,"NA, MA",PASSERIFORMES,Passerellidae,褐紋頭雀
9895,Arremonops chloronotus,MA,PASSERIFORMES,Passerellidae,綠背紋頭雀
9896,Arremonops conirostris,"MA, SA",PASSERIFORMES,Passerellidae,大黑紋頭雀
9897,Arremonops tocuyensis,SA,PASSERIFORMES,Passerellidae,小黑紋頭雀
9898,Amphispizopsis quinquestriata,MA,PASSERIFORMES,Passerellidae,五道紋猛雀鵐
9899,Amphispiza bilineata,"NA, MA",PASSERIFORMES,Passerellidae,黑喉漠鵐
9900,Spizella passerina,"NA, MA",PASSERIFORMES,Passerellidae,褐斑翅雀鵐
9901,Spizella atrogularis,"NA, MA",PASSERIFORMES,Passerellidae,黑頦雀鵐
9902,Spizella wortheni,MA,PASSERIFORMES,Passerellidae,伍爾森氏雀鵐
9903,Arremon basilicus,SA,PASSERIFORMES,Passerellidae,哥倫比亞藪雀
9904,Arremon perijanus,SA,PASSERIFORMES,Passerellidae,費普氏藪雀
9905,Arremon costaricensis,MA,PASSERIFORMES,Passerellidae,灰紋藪雀
9906,Arremon atricapillus,"MA, SA",PASSERIFORMES,Passerellidae,黑頭藪雀
9907,Arremon phaeopleurus,SA,PASSERIFORMES,Passerellidae,灰脇藪雀
9908,Arremon phygas,SA,PASSERIFORMES,Passerellidae,委內瑞拉藪雀
9909,Arremon assimilis,SA,PASSERIFORMES,Passerellidae,灰眉藪雀
9910,Arremon torquatus,SA,PASSERIFORMES,Passerellidae,紋頭藪雀
9911,Arremon aurantiirostris,"MA, SA",PASSERIFORMES,Passerellidae,橙嘴金肩雀
9912,Arremon abeillei,SA,PASSERIFORMES,Passerellidae,黑頂金肩雀
9913,Arremon schlegeli,SA,PASSERIFORMES,Passerellidae,金翅金肩雀
9914,Arremon taciturnus,SA,PASSERIFORMES,Passerellidae,白眉金肩雀
9915,Arremon franciscanus,SA,PASSERIFORMES,Passerellidae,聖佛蘭西斯科金肩雀
9916,Arremon semitorquatus,SA,PASSERIFORMES,Passerellidae,半領金肩雀
9917,Arremon dorbignii,SA,PASSERIFORMES,Passerellidae,Moss-backed Sparrow
9918,Arremon flavirostris,SA,PASSERIFORMES,Passerellidae,橙黃嘴金肩雀
9919,Arremon virenticeps,MA,PASSERIFORMES,Passerellidae,綠斑藪雀
9920,Arremon brunneinucha,"MA, SA",PASSERIFORMES,Passerellidae,栗頂藪雀
9921,Arremon crassirostris,MA,PASSERIFORMES,Passerellidae,污臉踝飾雀
9922,Arremon castaneiceps,SA,PASSERIFORMES,Passerellidae,栗頭踝飾雀
9923,Junco vulcani,MA,PASSERIFORMES,Passerellidae,黃眼燈草鵐
9924,Junco insularis,MA,PASSERIFORMES,Passerellidae,瓜達魯普草鵐
9925,Junco hyemalis,"NA, MA",PASSERIFORMES,Passerellidae,灰藍燈草鵐
9926,Junco phaeonotus,"NA, MA",PASSERIFORMES,Passerellidae,白腹燈草鵐
9927,Junco bairdi,MA,PASSERIFORMES,Passerellidae,Baird's Junco
9928,Zonotrichia capensis,"MA, SA",PASSERIFORMES,Passerellidae,紅領帶鵐
9929,Artemisiospiza belli,"NA, MA",PASSERIFORMES,Passerellidae,貝爾氏艾草猛雀鵐
9930,Oriturus superciliosus,MA,PASSERIFORMES,Passerellidae,紋雀鵐
9931,Passerculus sandwichensis,"NA, MA",PASSERIFORMES,Passerellidae,稀樹草鵐
9932,Xenospiza baileyi,MA,PASSERIFORMES,Passerellidae,異鵐
9933,Pezopetes capitalis,MA,PASSERIFORMES,Passerellidae,大腳雀
9934,Melozone kieneri,MA,PASSERIFORMES,Passerellidae,鏽頂地雀鵐
9935,Melozone fusca,"NA, MA",PASSERIFORMES,Passerellidae,棕喉鵖鵐
9936,Melozone albicollis,MA,PASSERIFORMES,Passerellidae,白喉鵖鵐
9937,Melozone aberti,"NA, MA",PASSERIFORMES,Passerellidae,紅腹鵖鵐
9938,Melozone crissalis,"NA, MA",PASSERIFORMES,Passerellidae,加利福尼亞鵖鵐
9939,Melozone leucotis,MA,PASSERIFORMES,Passerellidae,白耳地雀鵐
9940,Melozone biarcuata,MA,PASSERIFORMES,Passerellidae,恰帕斯地雀鵐
9941,Melozone cabanisi,MA,PASSERIFORMES,Passerellidae,卡巴尼氏地雀鵐
9942,Aimophila rufescens,MA,PASSERIFORMES,Passerellidae,鏽紅猛雀鵐
9943,Aimophila ruficeps,"NA, MA",PASSERIFORMES,Passerellidae,赤褐冠猛雀鵐
9944,Aimophila notosticta,MA,PASSERIFORMES,Passerellidae,瓦哈卡猛雀鵐
9945,Pipilo maculatus,"NA, MA",PASSERIFORMES,Passerellidae,斑點鵖鵐
9946,Pipilo ocai,MA,PASSERIFORMES,Passerellidae,領鵖鵐
9947,Atlapetes pileatus,MA,PASSERIFORMES,Passerellidae,棕頂藪雀
9948,Atlapetes albinucha,"MA, SA",PASSERIFORMES,Passerellidae,白頸藪雀
9949,Atlapetes tibialis,MA,PASSERIFORMES,Passerellidae,黃腿踝飾雀
9950,Atlapetes luteoviridis,MA,PASSERIFORMES,Passerellidae,黃綠踝飾雀
9951,Atlapetes albofrenatus,SA,PASSERIFORMES,Passerellidae,白髭藪雀
9952,Atlapetes meridae,SA,PASSERIFORMES,Passerellidae,梅里達藪雀
9953,Atlapetes personatus,SA,PASSERIFORMES,Passerellidae,栗頭藪雀
9954,Atlapetes melanocephalus,SA,PASSERIFORMES,Passerellidae,聖塔馬塔藪雀
9955,Atlapetes semirufus,SA,PASSERIFORMES,Passerellidae,赭胸藪雀
9956,Atlapetes flaviceps,SA,PASSERIFORMES,Passerellidae,橄綠頭藪雀
9957,Atlapetes fuscoolivaceus,SA,PASSERIFORMES,Passerellidae,烏頭藪雀
9958,Atlapetes leucopis,SA,PASSERIFORMES,Passerellidae,白邊藪雀
9959,Atlapetes albiceps,SA,PASSERIFORMES,Passerellidae,白頭藪雀
9960,Atlapetes rufigenis,SA,PASSERIFORMES,Passerellidae,棕耳藪雀
9961,Atlapetes crassus,SA,PASSERIFORMES,Passerellidae,喬科藪雀
9962,Atlapetes tricolor,SA,PASSERIFORMES,Passerellidae,三色藪雀
9963,Atlapetes schistaceus,SA,PASSERIFORMES,Passerellidae,灰藍藪雀
9964,Atlapetes pallidinucha,SA,PASSERIFORMES,Passerellidae,黃頸藪雀
9965,Atlapetes blancae,SA,PASSERIFORMES,Passerellidae,安條基亞藪雀
9966,Atlapetes latinuchus,SA,PASSERIFORMES,Passerellidae,棕頸藪雀
9967,Atlapetes nigrifrons,SA,PASSERIFORMES,Passerellidae,黑額藪雀
9968,Atlapetes leucopterus,SA,PASSERIFORMES,Passerellidae,白翅藪雀
9969,Atlapetes pallidiceps,SA,PASSERIFORMES,Passerellidae,淡頭藪雀
9970,Atlapetes seebohmi,SA,PASSERIFORMES,Passerellidae,棕冠藪雀
9971,Atlapetes nationi,SA,PASSERIFORMES,Passerellidae,鏽腹藪雀
