,IOC,Breeding Range,Order,Family,Turkish
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,Arjantin Dikkuyruğu
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,Avustralya Dikkuyruğu
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,Afrika Dikkuyruğu
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,Dikkuyruk
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,Misk Ördeği
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,Hindi Megapodu
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,İbikli Megapod
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,Küpeli Megapod
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,Al Gagalı Talegalo
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,Kara Gagalı Talegalo
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,Kolyeli Talegalo
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,Benekli Megapod
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,Maleo
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,Boyalı Megapod
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,Polinezya Megapodu
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,Mikronezya Megapodu
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,Nikobar Megapodu
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,Filipin Adaları Megapodu
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,Sula Megapodu
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,Tanimbar Megapodu
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,Dumanlı Megapod
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,Biak Megapodu
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,Melanezya Megapodu
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,Vanuatu Megapodu
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,Yeni Gine Megapodu
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,Reinwardt Megapodu
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,Kuzey Çaçalakası
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,Gri Başlı Çaçalaka
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,Kızıl Kanatlı Çaçalaka
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,Kırmızı Etekli Çaçalaka
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,Kızıl Başlı Çaçalaka
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,Kestane Karınlı Çaçalaka
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,Gri Göğüslü Çaçalaka
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,Çako Çaçalakası
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,Ak Karınlı Çaçalaka
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,Benekli Çaçalaka
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,Yazılı Çaçalaka
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,Pullu Çaçalaka
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,İncili Çaçalaka
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,Kuzeyli Küçük Çaçakala
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Güneyli Küçük Çaçakala
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,Sarı Kaşlı Çaçalaka
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,Ak Yüzlü Guan
247,Penelope barbata,SA,GALLIFORMES,Cracidae,Sakallı Guan
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,Orton Guanı
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,And Guanı
250,Penelope marail,SA,GALLIFORMES,Cracidae,Yeşil Guan
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,Kızıl Çizgili Guan
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,Kırmızı Yüzlü Guan
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,Tepeli Guan
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,Kauka Guanı
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,Ak Kanatlı Guan
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,Amazon Guanı
257,Penelope obscura,SA,GALLIFORMES,Cracidae,Kara Ayaklı Guan
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Yungas Guanı
259,Penelope pileata,SA,GALLIFORMES,Cracidae,Kızıl Boyunlu Guan
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,Kızıl Karınlı Guan
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,Ak Kaşlı Guan
262,Pipile pipile,SA,GALLIFORMES,Cracidae,Trinidad Islıkçı Guanı
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,Mavi Gerdanlı Islıkçı Guan
264,Pipile grayi,SA,GALLIFORMES,Cracidae,White-throated Piping Guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,Al Gerdanlı Islıkçı Guan
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,Maskeli Islıkçı Guan
267,Aburria aburri,SA,GALLIFORMES,Cracidae,Küpeli Guan
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,Kara Orak Kanatlı Guan
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,Kızıl Orak Kanatlı Guan
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,Kara Guan
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,Boynuzlu Guan
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,Gece Hokkosu
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,Al Kuyruklu Hokko
274,Mitu salvini,SA,GALLIFORMES,Cracidae,Ak Karınlı Hokko
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,Testere Gagalı Hokko
276,Mitu mitu,SA,GALLIFORMES,Cracidae,Kulaklı Hokko
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,Kuzey Boynuzlu Hokkosu
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,Bolivya Boynuzlu Hokkosu
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,Peru Boynuzlu Hokkosu
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,Kıvırcık Hokko
281,Crax alberti,SA,GALLIFORMES,Cracidae,Mavi İbikli Hokko
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,Sarı İbikli Hokko
283,Crax alector,SA,GALLIFORMES,Cracidae,Sarı Gagalı Hokko
284,Crax globulosa,SA,GALLIFORMES,Cracidae,Kırmızı İbikli Hokko
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,Gözlüklü Hokko
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,Blumenbach Hokkosu
