,IOC,Breeding Range,Order,Family,Indonesian
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,Spix's Guan
257,Penelope obscura,SA,GALLIFORMES,Cracidae,Dusky-legged Guan
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Yungas Guan
259,Penelope pileata,SA,GALLIFORMES,Cracidae,White-crested Guan
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,Chestnut-bellied Guan
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,White-browed Guan
262,Pipile pipile,SA,GALLIFORMES,Cracidae,Trinidad Piping Guan
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,Blue-throated Piping Guan
264,Pipile grayi,SA,GALLIFORMES,Cracidae,White-throated Piping Guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,Red-throated Piping Guan
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,Black-fronted Piping Guan
267,Aburria aburri,SA,GALLIFORMES,Cracidae,Wattled Guan
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,Black Guan
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,Sickle-winged Guan
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,Highland Guan
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,Horned Guan
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,Nocturnal Curassow
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,Crestless Curassow
274,Mitu salvini,SA,GALLIFORMES,Cracidae,Salvin's Curassow
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,Razor-billed Curassow
276,Mitu mitu,SA,GALLIFORMES,Cracidae,Alagoas Curassow
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,Helmeted Curassow
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,Horned Curassow
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,Sira Curassow
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,Great Curassow
281,Crax alberti,SA,GALLIFORMES,Cracidae,Blue-billed Curassow
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,Yellow-knobbed Curassow
283,Crax alector,SA,GALLIFORMES,Cracidae,Black Curassow
284,Crax globulosa,SA,GALLIFORMES,Cracidae,Wattled Curassow
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,Bare-faced Curassow
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,Red-billed Curassow
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,White-breasted Guineafowl
288,Agelastes niger,AF,GALLIFORMES,Numididae,Black Guineafowl
289,Numida meleagris,AF,GALLIFORMES,Numididae,Helmeted Guineafowl
290,Guttera plumifera,AF,GALLIFORMES,Numididae,Plumed Guineafowl
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Western Crested Guineafowl
292,Guttera pucherani,AF,GALLIFORMES,Numididae,Eastern Crested Guineafowl
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Southern Crested Guineafowl
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,Vulturine Guineafowl
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,Stone Partridge
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,Nahan's Partridge
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,Buffy-crowned Wood Partridge
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,Long-tailed Wood Partridge
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,Bearded Wood Partridge
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,Mountain Quail
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,Scaled Quail
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,Elegant Quail
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,California Quail
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,Gambel's Quail
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,Banded Quail
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,Northern Bobwhite
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,Yucatan Bobwhite
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,Spot-bellied Bobwhite
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,Crested Bobwhite
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,Marbled Wood Quail
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,Spot-winged Wood Quail
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,Black-eared Wood Quail
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,Rufous-fronted Wood Quail
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,Black-fronted Wood Quail
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,Chestnut Wood Quail
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,Dark-backed Wood Quail
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,Rufous-breasted Wood Quail
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,Tacarcuna Wood Quail
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,Gorgeted Wood Quail
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,Venezuelan Wood Quail
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,Black-breasted Wood Quail
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,Stripe-faced Wood Quail
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,Starred Wood Quail
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,Spotted Wood Quail
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,Singing Quail
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,Montezuma Quail
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,Ocellated Quail
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,Tawny-faced Quail
329,Xenoperdix udzungwensis,AF,GALLIFORMES,Phasianidae,Udzungwa Forest Partridge
