,IOC,Breeding Range,Order,Family,Italian
9943,Aimophila ruficeps,"NA, MA",PASSERIFORMES,Passerellidae,Passero caporossiccio
9944,Aimophila notosticta,MA,PASSERIFORMES,Passerellidae,Passero di Oaxaca
9945,Pipilo maculatus,"NA, MA",PASSERIFORMES,Passerellidae,Touì macchiato
9946,Pipilo ocai,MA,PASSERIFORMES,Passerellidae,Touì dal collare
9947,Atlapetes pileatus,MA,PASSERIFORMES,Passerellidae,Fringuello di macchia caporossiccio
9948,Atlapetes albinucha,"MA, SA",PASSERIFORMES,Passerellidae,Fringuello di macchia nucabianca
9949,Atlapetes tibialis,MA,PASSERIFORMES,Passerellidae,Fringuello zampegialle
9950,Atlapetes luteoviridis,MA,PASSERIFORMES,Passerellidae,Fringuello gialloverde
9951,Atlapetes albofrenatus,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia dai mustacchi
9952,Atlapetes meridae,SA,PASSERIFORMES,Passerellidae,Merida Brushfinch
9953,Atlapetes personatus,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia dei tepui
9954,Atlapetes melanocephalus,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia di Santa Marta
9955,Atlapetes semirufus,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia pettocra
9956,Atlapetes flaviceps,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia testaoliva
9957,Atlapetes fuscoolivaceus,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia testascura
9958,Atlapetes leucopis,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia occhibianchi
9959,Atlapetes albiceps,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia testabianca
9960,Atlapetes rufigenis,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia guancerossicce
9961,Atlapetes crassus,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia fosco
9962,Atlapetes tricolor,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia tricolore
9963,Atlapetes schistaceus,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia ardesia
9964,Atlapetes pallidinucha,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia nucachiara
9965,Atlapetes blancae,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia di Antioquia
9966,Atlapetes latinuchus,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia pettogiallo
9967,Atlapetes nigrifrons,SA,PASSERIFORMES,Passerellidae,Black-fronted Brushfinch
9968,Atlapetes leucopterus,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia alibianche
9969,Atlapetes pallidiceps,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia testachiara
9970,Atlapetes seebohmi,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia capobaio
9971,Atlapetes nationi,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia panciaruggine
9972,Atlapetes forbesi,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia dell'Apurimac
9973,Atlapetes melanopsis,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia occhineri
9974,Atlapetes terborghi,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia di Vilcabamba
9975,Atlapetes canigenis,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia di Cuzco
9976,Atlapetes melanolaemus,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia faccianera
9977,Atlapetes rufinucha,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia nucarossiccia
9978,Atlapetes fulviceps,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia testafulva
9979,Atlapetes citrinellus,SA,PASSERIFORMES,Passerellidae,Fringuello di macchia striegialle
9980,Zeledonia coronata,MA,PASSERIFORMES,Zeledoniidae,Zeledonia
9981,Icteria virens,"NA, MA",PASSERIFORMES,Icteriidae,Parula pettogiallo
9982,Xanthocephalus xanthocephalus,"NA, MA",PASSERIFORMES,Icteridae,Ittero testagialla
9983,Sturnella neglecta,"NA, MA",PASSERIFORMES,Icteridae,Sturnella occidentale
9984,Sturnella magna,"NA, MA, SA",PASSERIFORMES,Icteridae,Sturnella orientale
9985,Sturnella lilianae,"NA, MA",PASSERIFORMES,Icteridae,Chihuahuan Meadowlark
9986,Leistes militaris,"MA, SA",PASSERIFORMES,Icteridae,Ittero pettorosso
9987,Leistes superciliaris,SA,PASSERIFORMES,Icteridae,Ittero cigliabianche
9988,Leistes bellicosus,SA,PASSERIFORMES,Icteridae,Sturnella del Perù
9989,Leistes loyca,SA,PASSERIFORMES,Icteridae,Sturnella codalunga
9990,Leistes defilippii,SA,PASSERIFORMES,Icteridae,Sturnella della pampa
9991,Amblycercus holosericeus,"MA, SA",PASSERIFORMES,Icteridae,Cacicco beccogiallo
9992,Cassiculus melanicterus,MA,PASSERIFORMES,Icteridae,Cacicco aligialle
9993,Psarocolius wagleri,"MA, SA",PASSERIFORMES,Icteridae,Oropendola testacastana
9994,Psarocolius angustifrons,SA,PASSERIFORMES,Icteridae,Oropendola dorsorossiccio
9995,Psarocolius atrovirens,SA,PASSERIFORMES,Icteridae,Oropendola verdescuro
9996,Psarocolius decumanus,SA,PASSERIFORMES,Icteridae,Oropendola crestata
9997,Psarocolius viridis,SA,PASSERIFORMES,Icteridae,Oropendola verde
9998,Psarocolius bifasciatus,SA,PASSERIFORMES,Icteridae,Oropendola amazzonica
9999,Psarocolius montezuma,MA,PASSERIFORMES,Icteridae,Oropendola di Montezuma
10000,Psarocolius guatimozinus,"MA, SA",PASSERIFORMES,Icteridae,Oropendola gialla
10001,Psarocolius cassini,SA,PASSERIFORMES,Icteridae,Oropendola di Baudò
10002,Cacicus solitarius,SA,PASSERIFORMES,Icteridae,Cacicco solitario
10003,Cacicus chrysopterus,SA,PASSERIFORMES,Icteridae,Cacicco alidorate
10004,Cacicus koepckeae,SA,PASSERIFORMES,Icteridae,Cacicco di selva
10005,Cacicus sclateri,SA,PASSERIFORMES,Icteridae,Cacicco dell'Ecuador
10006,Cacicus cela,"MA, SA",PASSERIFORMES,Icteridae,Cacicco groppagialla
10007,Cacicus microrhynchus,"MA, SA",PASSERIFORMES,Icteridae,Scarlet-rumped Cacique
10008,Cacicus uropygialis,"MA, SA",PASSERIFORMES,Icteridae,Cacicco groppascarlatta
10009,Cacicus chrysonotus,SA,PASSERIFORMES,Icteridae,Cacicco montano
10010,Cacicus latirostris,SA,PASSERIFORMES,Icteridae,Oropendola codafasciata
10011,Cacicus oseryi,SA,PASSERIFORMES,Icteridae,Oropendola dal casco
10012,Cacicus haemorrhous,SA,PASSERIFORMES,Icteridae,Cacicco gropparossa
10013,Icterus parisorum,"NA, MA",PASSERIFORMES,Icteridae,Oriolo di Scott
10014,Icterus chrysater,"MA, SA",PASSERIFORMES,Icteridae,Oriolo dorsogiallo
10015,Icterus graduacauda,"NA, MA",PASSERIFORMES,Icteridae,Oriolo di Audubon
10016,Icterus auratus,MA,PASSERIFORMES,Icteridae,Oriolo arancio
10017,Icterus gularis,"NA, MA",PASSERIFORMES,Icteridae,Oriolo di Altamira
10018,Icterus nigrogularis,SA,PASSERIFORMES,Icteridae,Oriolo giallo
10019,Icterus pustulatus,MA,PASSERIFORMES,Icteridae,Oriolo dorsostriato
10020,Icterus abeillei,MA,PASSERIFORMES,Icteridae,Oriolo dorsonero
10021,Icterus mesomelas,"MA, SA",PASSERIFORMES,Icteridae,Oriolo codagialla
10022,Icterus pectoralis,MA,PASSERIFORMES,Icteridae,Oriolo pettomacchiato
10023,Icterus graceannae,SA,PASSERIFORMES,Icteridae,Oriolo alibianche
10024,Icterus jamacaii,SA,PASSERIFORMES,Icteridae,Trupiale del campo
10025,Icterus icterus,SA,PASSERIFORMES,Icteridae,Trupiale del Venezuela
10026,Icterus croconotus,SA,PASSERIFORMES,Icteridae,Trupiale dorsoarancio
10027,Icterus maculialatus,MA,PASSERIFORMES,Icteridae,Oriolo alibarrate
10028,Icterus wagleri,MA,PASSERIFORMES,Icteridae,Oriolo culnero
10029,Icterus cucullatus,"NA, MA",PASSERIFORMES,Icteridae,Oriolo dal bavaglio
10030,Icterus prosthemelas,MA,PASSERIFORMES,Icteridae,Oriolo cappuccino
10031,Icterus spurius,"NA, MA",PASSERIFORMES,Icteridae,Oriolo dei frutteti
10032,Icterus auricapillus,"MA, SA",PASSERIFORMES,Icteridae,Oriolo capoarancio
10033,Icterus pyrrhopterus,SA,PASSERIFORMES,Icteridae,Variable Oriole
10034,Icterus cayanensis,SA,PASSERIFORMES,Icteridae,Oriolo graduato
10035,Agelaius tricolor,"NA, MA",PASSERIFORMES,Icteridae,Ittero tricolore
10036,Agelaius phoeniceus,"NA, MA",PASSERIFORMES,Icteridae,Ittero alirosse
10037,Molothrus rufoaxillaris,SA,PASSERIFORMES,Icteridae,Vaccaro urlatore
10038,Molothrus oryzivorus,"MA, SA",PASSERIFORMES,Icteridae,Vaccaro gigante
10039,Molothrus bonariensis,"NA, SA",PASSERIFORMES,Icteridae,Vaccaro splendente
10040,Molothrus aeneus,"NA, MA",PASSERIFORMES,Icteridae,Vaccaro bronzeo
10041,Molothrus armenti,SA,PASSERIFORMES,Icteridae,Bronze-brown Cowbird
10042,Molothrus ater,"NA, MA",PASSERIFORMES,Icteridae,Molotro testabruna
10043,Dives warczewiczi,SA,PASSERIFORMES,Icteridae,Ittero di macchia
10044,Dives dives,MA,PASSERIFORMES,Icteridae,Ittero melodioso
10045,Quiscalus nicaraguensis,MA,PASSERIFORMES,Icteridae,Gracula del Nicaragua
10046,Quiscalus lugubris,"NA, SA",PASSERIFORMES,Icteridae,Gracula dei Caraibi
10047,Quiscalus mexicanus,"NA, MA, SA",PASSERIFORMES,Icteridae,Gracula codalunga
10048,Hypopyrrhus pyrohypogaster,SA,PASSERIFORMES,Icteridae,Gracula panciarossa
10049,Lampropsar tanagrinus,SA,PASSERIFORMES,Icteridae,Gracula vellutata
10050,Gymnomystax mexicanus,SA,PASSERIFORMES,Icteridae,Ittero oriolo
10051,Macroagelaius subalaris,SA,PASSERIFORMES,Icteridae,Gracula montana
10052,Macroagelaius imthurni,SA,PASSERIFORMES,Icteridae,Gracula ciuffidorati
10053,Curaeus curaeus,SA,PASSERIFORMES,Icteridae,Ittero australe
10054,Amblyramphus holosericeus,SA,PASSERIFORMES,Icteridae,Ittero testascarlatta
10055,Anumara forbesi,SA,PASSERIFORMES,Icteridae,Ittero di Forbes
10056,Gnorimopsar chopi,SA,PASSERIFORMES,Icteridae,Ittero chopi
10057,Oreopsar bolivianus,SA,PASSERIFORMES,Icteridae,Ittero della Bolivia
10058,Agelaioides badius,SA,PASSERIFORMES,Icteridae,Vaccaro alibaie
10059,Agelaioides fringillarius,SA,PASSERIFORMES,Icteridae,Pale Baywing
10060,Agelasticus thilius,SA,PASSERIFORMES,Icteridae,Ittero aligialle
10061,Agelasticus xanthophthalmus,SA,PASSERIFORMES,Icteridae,Ittero occhichiari
10062,Agelasticus cyanopus,SA,PASSERIFORMES,Icteridae,Ittero unicolore
10063,Chrysomus ruficapillus,SA,PASSERIFORMES,Icteridae,Ittero capocastano
10064,Chrysomus icterocephalus,SA,PASSERIFORMES,Icteridae,Ittero monaco
10065,Xanthopsar flavus,SA,PASSERIFORMES,Icteridae,Ittero zafferano
10066,Pseudoleistes virescens,SA,PASSERIFORMES,Icteridae,Ittero giallobruno
10067,Pseudoleistes guirahuro,SA,PASSERIFORMES,Icteridae,Ittero groppagialla
10068,Oreothlypis superciliosa,MA,PASSERIFORMES,Parulidae,Parula semilunare
10069,Oreothlypis gutturalis,MA,PASSERIFORMES,Parulidae,Parula golaflammea
10070,Leiothlypis luciae,"NA, MA",PASSERIFORMES,Parulidae,Parula di Lucy
10071,Geothlypis poliocephala,MA,PASSERIFORMES,Parulidae,Golagialla capogrigio
10072,Geothlypis aequinoctialis,SA,PASSERIFORMES,Parulidae,Golagialla mascherata
10073,Geothlypis chiriquensis,MA,PASSERIFORMES,Parulidae,Chiriqui Yellowthroat
10074,Geothlypis auricularis,SA,PASSERIFORMES,Parulidae,Black-lored Yellowthroat
10075,Geothlypis velata,SA,PASSERIFORMES,Parulidae,Southern Yellowthroat
10076,Geothlypis semiflava,"MA, SA",PASSERIFORMES,Parulidae,Golagialla capoliva
10077,Geothlypis speciosa,MA,PASSERIFORMES,Parulidae,Golagialla capinera
10078,Geothlypis beldingi,MA,PASSERIFORMES,Parulidae,Golagialla di Belding
10079,Geothlypis flavovelata,MA,PASSERIFORMES,Parulidae,Golagialla di Altamira
10080,Geothlypis trichas,"NA, MA",PASSERIFORMES,Parulidae,Parula golagialla
10081,Geothlypis nelsoni,MA,PASSERIFORMES,Parulidae,Golagialla monaca
10082,Setophaga pitiayumi,"MA, SA",PASSERIFORMES,Parulidae,Parula tropicale
10083,Setophaga aestiva,"NA, MA",PASSERIFORMES,Parulidae,Dendroica gialla
10084,Setophaga petechia,"NA, MA, SA",PASSERIFORMES,Parulidae,Parula gialla
10085,Setophaga auduboni,"NA, MA",PASSERIFORMES,Parulidae,Audubon's Warbler
10086,Setophaga goldmani,MA,PASSERIFORMES,Parulidae,Goldman's Warbler
10087,Myiothlypis luteoviridis,SA,PASSERIFORMES,Parulidae,Parula citrina
10088,Myiothlypis basilica,SA,PASSERIFORMES,Parulidae,Parula di Santa Marta
10089,Myiothlypis leucophrys,SA,PASSERIFORMES,Parulidae,Parula striebianche
10090,Myiothlypis flaveola,SA,PASSERIFORMES,Parulidae,Parula flava
10091,Myiothlypis leucoblephara,SA,PASSERIFORMES,Parulidae,Parula cigliabianche
10092,Myiothlypis signata,SA,PASSERIFORMES,Parulidae,Parula zampechiare
10093,Myiothlypis nigrocristata,SA,PASSERIFORMES,Parulidae,Parula crestanera
10094,Myiothlypis fulvicauda,"MA, SA",PASSERIFORMES,Parulidae,Parula groppacamoscio
10095,Myiothlypis rivularis,SA,PASSERIFORMES,Parulidae,Parula di fiume
10096,Myiothlypis bivittata,SA,PASSERIFORMES,Parulidae,Parula doppiabanda
10097,Myiothlypis roraimae,SA,PASSERIFORMES,Parulidae,Roraiman Warbler
10098,Myiothlypis chrysogaster,SA,PASSERIFORMES,Parulidae,Parula panciadorata
10099,Myiothlypis chlorophrys,SA,PASSERIFORMES,Parulidae,Parula del Chocò
10100,Myiothlypis conspicillata,SA,PASSERIFORMES,Parulidae,Parula dalle redini
10101,Myiothlypis cinereicollis,SA,PASSERIFORMES,Parulidae,Parula golagrigia
10102,Myiothlypis fraseri,SA,PASSERIFORMES,Parulidae,Parula grigiodorata
10103,Myiothlypis coronata,SA,PASSERIFORMES,Parulidae,Parula caporossastro
10104,Myiothlypis griseiceps,SA,PASSERIFORMES,Parulidae,Parula testagrigia
10105,Basileuterus lachrymosus,MA,PASSERIFORMES,Parulidae,Parula codaventaglio
10106,Basileuterus rufifrons,MA,PASSERIFORMES,Parulidae,Parula caporossiccio
10107,Basileuterus delattrii,"MA, SA",PASSERIFORMES,Parulidae,Chestnut-capped Warbler
10108,Basileuterus melanogenys,MA,PASSERIFORMES,Parulidae,Parula guancenere
10109,Basileuterus ignotus,"MA, SA",PASSERIFORMES,Parulidae,Parula del Pirre
10110,Basileuterus belli,MA,PASSERIFORMES,Parulidae,Parula cigliadorate
10111,Basileuterus culicivorus,"MA, SA",PASSERIFORMES,Parulidae,Parula capodorato
10112,Basileuterus melanotis,MA,PASSERIFORMES,Parulidae,Black-eared Warbler
10113,Basileuterus tacarcunae,"MA, SA",PASSERIFORMES,Parulidae,Tacarcuna Warbler
10114,Basileuterus trifasciatus,SA,PASSERIFORMES,Parulidae,Parula trebande
10115,Basileuterus punctipectus,SA,PASSERIFORMES,Parulidae,Yungas Warbler
10116,Basileuterus tristriatus,SA,PASSERIFORMES,Parulidae,Parula tristriata
10117,Cardellina rubrifrons,"NA, MA",PASSERIFORMES,Parulidae,Parula facciarossa
10118,Cardellina rubra,MA,PASSERIFORMES,Parulidae,Parula rossa
10119,Cardellina versicolor,MA,PASSERIFORMES,Parulidae,Parula testarosa
10120,Myioborus pictus,"NA, MA",PASSERIFORMES,Parulidae,Codirosso pittato
10121,Myioborus miniatus,"MA, SA",PASSERIFORMES,Parulidae,Codirosso golardesia
10122,Myioborus brunniceps,SA,PASSERIFORMES,Parulidae,Codirosso capobruno
10123,Myioborus flavivertex,SA,PASSERIFORMES,Parulidae,Codirosso capogiallo
10124,Myioborus albifrons,SA,PASSERIFORMES,Parulidae,Codirosso fontebianca
10125,Myioborus ornatus,SA,PASSERIFORMES,Parulidae,Codirosso frontedorata
10126,Myioborus melanocephalus,SA,PASSERIFORMES,Parulidae,Codirosso dagli occhiali
10127,Myioborus torquatus,MA,PASSERIFORMES,Parulidae,Codirosso dal collare
10128,Myioborus pariae,SA,PASSERIFORMES,Parulidae,Codirosso di Paria
10129,Myioborus albifacies,SA,PASSERIFORMES,Parulidae,Codirosso facciabianca
10130,Myioborus cardonai,SA,PASSERIFORMES,Parulidae,Codirosso pettozafferano
10131,Myioborus castaneocapilla,SA,PASSERIFORMES,Parulidae,Codirosso dei tepui
10132,Mitrospingus cassinii,"MA, SA",PASSERIFORMES,Mitrospingidae,Tanagra facciascura
10133,Mitrospingus oleagineus,SA,PASSERIFORMES,Mitrospingidae,Tanagra dorsoliva
10134,Orthogonys chloricterus,SA,PASSERIFORMES,Mitrospingidae,Tanagra verdeoliva
10135,Lamprospiza melanoleuca,SA,PASSERIFORMES,Mitrospingidae,Tanagra beccorosso
10136,Piranga bidentata,MA,PASSERIFORMES,Cardinalidae,Tanagra flammea
10137,Piranga lutea,"MA, SA",PASSERIFORMES,Cardinalidae,Tooth-billed Tanager
10138,Piranga flava,SA,PASSERIFORMES,Cardinalidae,Tanagra epatica
10139,Piranga hepatica,"NA, MA",PASSERIFORMES,Cardinalidae,Hepatic Tanager
10140,Piranga rubra,"NA, MA",PASSERIFORMES,Cardinalidae,Tangara estiva
10141,Piranga roseogularis,MA,PASSERIFORMES,Cardinalidae,Tanagra golarosa
10142,Piranga leucoptera,"MA, SA",PASSERIFORMES,Cardinalidae,Tanagra alibianche
10143,Piranga erythrocephala,MA,PASSERIFORMES,Cardinalidae,Tanagra testarossa
10144,Piranga rubriceps,SA,PASSERIFORMES,Cardinalidae,Tanagra cappuccio rosso
10145,Habia rubica,"MA, SA",PASSERIFORMES,Cardinalidae,Tanagra formichiera capirossa
10146,Habia fuscicauda,"MA, SA",PASSERIFORMES,Cardinalidae,Tanagra formichiera golarossa
10147,Habia atrimaxillaris,MA,PASSERIFORMES,Cardinalidae,Tanagra formichiera guancenere
10148,Habia gutturalis,SA,PASSERIFORMES,Cardinalidae,Tanagra formichiera fuligginosa
10149,Habia cristata,SA,PASSERIFORMES,Cardinalidae,Tanagra formichiera crestata
10150,Chlorothraupis carmioli,"MA, SA",PASSERIFORMES,Cardinalidae,Tanagra oliva
10151,Chlorothraupis frenata,SA,PASSERIFORMES,Cardinalidae,Yellow-lored Tanager
10152,Chlorothraupis olivacea,"MA, SA",PASSERIFORMES,Cardinalidae,Tanagra occhilimone
10153,Chlorothraupis stolzmanni,SA,PASSERIFORMES,Cardinalidae,Tanagra pettocra
10154,Pheucticus chrysopeplus,MA,PASSERIFORMES,Cardinalidae,Beccogrosso giallo
10155,Pheucticus tibialis,MA,PASSERIFORMES,Cardinalidae,Beccogrosso zampenere
10156,Pheucticus chrysogaster,SA,PASSERIFORMES,Cardinalidae,Beccogrosso panciagialla
10157,Pheucticus aureoventris,SA,PASSERIFORMES,Cardinalidae,Beccogrosso dorsonero
10158,Granatellus venustus,MA,PASSERIFORMES,Cardinalidae,Granatello pettorosso
10159,Granatellus sallaei,MA,PASSERIFORMES,Cardinalidae,Granatello golagrigia
10160,Granatellus pelzelni,SA,PASSERIFORMES,Cardinalidae,Granatello pettorosa
10161,Cardinalis cardinalis,"NA, MA",PASSERIFORMES,Cardinalidae,Cardinale settentrionale
10162,Cardinalis phoeniceus,SA,PASSERIFORMES,Cardinalidae,Cardinale vermiglio
10163,Cardinalis sinuatus,"NA, MA",PASSERIFORMES,Cardinalidae,Cardinale rosa
10164,Caryothraustes poliogaster,MA,PASSERIFORMES,Cardinalidae,Beccogrosso faccianera
10165,Caryothraustes canadensis,SA,PASSERIFORMES,Cardinalidae,Beccogrosso gialloverde
10166,Periporphyrus celaeno,MA,PASSERIFORMES,Cardinalidae,Beccogrosso collocremisi
10167,Periporphyrus erythromelas,SA,PASSERIFORMES,Cardinalidae,Beccogrosso rossonero
10168,Amaurospiza concolor,MA,PASSERIFORMES,Cardinalidae,Beccasemi blu
10169,Amaurospiza aequatorialis,SA,PASSERIFORMES,Cardinalidae,Ecuadorian Seedeater
10170,Amaurospiza moesta,SA,PASSERIFORMES,Cardinalidae,Beccasemi blunerastro
10171,Amaurospiza carrizalensis,SA,PASSERIFORMES,Cardinalidae,Beccasemi del carrizal
10172,Spiza americana,"NA, MA, SA",PASSERIFORMES,Cardinalidae,Spiza americana
10173,Cyanoloxia glaucocaerulea,SA,PASSERIFORMES,Cardinalidae,Beccogrosso glauco
10174,Cyanoloxia cyanoides,"MA, SA",PASSERIFORMES,Cardinalidae,Beccogrosso neroblu
10175,Cyanoloxia rothschildii,SA,PASSERIFORMES,Cardinalidae,Amazonian Grosbeak
10176,Cyanoloxia brissonii,SA,PASSERIFORMES,Cardinalidae,Beccogrosso oltremarino
10177,Cyanocompsa parellina,MA,PASSERIFORMES,Cardinalidae,Zigolo blu
10178,Passerina caerulea,"NA, MA",PASSERIFORMES,Cardinalidae,Beccogrosso azzurro
10179,Passerina amoena,"NA, MA",PASSERIFORMES,Cardinalidae,Zigolo lapislazzuli
10180,Passerina versicolor,"NA, MA",PASSERIFORMES,Cardinalidae,Zigolo vario
10181,Passerina ciris,"NA, MA",PASSERIFORMES,Cardinalidae,Zigolo pittato
10182,Passerina rositae,MA,PASSERIFORMES,Cardinalidae,Zigolo panciarosa
10183,Passerina leclancherii,MA,PASSERIFORMES,Cardinalidae,Zigolo pettoarancio
10184,Catamblyrhynchus diadema,SA,PASSERIFORMES,Thraupidae,Testacoronata
10185,Charitospiza eucosma,SA,PASSERIFORMES,Thraupidae,Fringuello crestacarbone
10186,Orchesticus abeillei,SA,PASSERIFORMES,Thraupidae,Tanagra bruna
10187,Parkerthraustes humeralis,SA,PASSERIFORMES,Thraupidae,Beccogrosso spallegialle
10188,Nemosia pileata,SA,PASSERIFORMES,Thraupidae,Tanagra monaca
10189,Nemosia rourei,SA,PASSERIFORMES,Thraupidae,Tanagra golaciliegia
10190,Cyanicterus cyanicterus,SA,PASSERIFORMES,Thraupidae,Tanagra dorsoblu
10191,Sericossypha albocristata,SA,PASSERIFORMES,Thraupidae,Tanagra capobianco
10192,Compsothraupis loricata,SA,PASSERIFORMES,Thraupidae,Tanagra golascarlatta
10193,Coryphaspiza melanotis,SA,PASSERIFORMES,Thraupidae,Fringuello faccianera
10194,Embernagra platensis,SA,PASSERIFORMES,Thraupidae,Fringuello della pampa maggiore
10195,Embernagra longicauda,SA,PASSERIFORMES,Thraupidae,Fringuello della pampa golachiara
10196,Emberizoides ypiranganus,SA,PASSERIFORMES,Thraupidae,Fringuello d'erba minore
10197,Emberizoides herbicola,"MA, SA",PASSERIFORMES,Thraupidae,Fringuello d'erba cuneato
10198,Emberizoides duidae,SA,PASSERIFORMES,Thraupidae,Fringuello d'erba del Duida
10199,Incaspiza pulchra,SA,PASSERIFORMES,Thraupidae,Fringuello inca maggiore
10200,Incaspiza personata,SA,PASSERIFORMES,Thraupidae,Fringuello inca dorsorossiccio
10201,Incaspiza ortizi,SA,PASSERIFORMES,Thraupidae,Fringuello inca aligrigie
10202,Incaspiza laeta,SA,PASSERIFORMES,Thraupidae,Fringuello inca dalle redini
10203,Incaspiza watkinsi,SA,PASSERIFORMES,Thraupidae,Fringuello inca minore
10204,Rhopospina fruticeti,SA,PASSERIFORMES,Thraupidae,Fringuello di sierra piangente
10205,Rhopospina caerulescens,SA,PASSERIFORMES,Thraupidae,Fringuello blu beccogiallo
10206,Rhopospina alaudina,SA,PASSERIFORMES,Thraupidae,Fringuello di sierra codafasciata
10207,Rhopospina carbonaria,SA,PASSERIFORMES,Thraupidae,Fringuello di sierra carbonello
10208,Chlorophanes spiza,"MA, SA",PASSERIFORMES,Thraupidae,Mielero verde
10209,Iridophanes pulcherrimus,SA,PASSERIFORMES,Thraupidae,Mielero collodorato
10210,Chrysothlypis salmoni,SA,PASSERIFORMES,Thraupidae,Tanagra biancorossa
10211,Chrysothlypis chrysomelas,MA,PASSERIFORMES,Thraupidae,Tanagra giallonera
10212,Heterospingus rubrifrons,MA,PASSERIFORMES,Thraupidae,Tanagra groppazolfo
10213,Heterospingus xanthopygius,"MA, SA",PASSERIFORMES,Thraupidae,Tanagra cigliascarlatte
10214,Hemithraupis flavicollis,"MA, SA",PASSERIFORMES,Thraupidae,Tanagra dorsogiallo
10215,Hemithraupis guira,SA,PASSERIFORMES,Thraupidae,Tanagra guira
10216,Hemithraupis ruficapilla,SA,PASSERIFORMES,Thraupidae,Tanagra testarossiccia
10217,Tersina viridis,"MA, SA",PASSERIFORMES,Thraupidae,Tanagra rondine
10218,Cyanerpes caeruleus,"MA, SA",PASSERIFORMES,Thraupidae,Mielero viola
10219,Cyanerpes cyaneus,"MA, SA",PASSERIFORMES,Thraupidae,Mielero zamperosse
10220,Cyanerpes nitidus,SA,PASSERIFORMES,Thraupidae,Mielero beccocorto
10221,Cyanerpes lucidus,"MA, SA",PASSERIFORMES,Thraupidae,Mielero splendente
10222,Dacnis berlepschi,SA,PASSERIFORMES,Thraupidae,Dacne pettoscarlatto
10223,Dacnis venusta,"MA, SA",PASSERIFORMES,Thraupidae,Dacne zampescarlatte
10224,Dacnis cayana,"MA, SA",PASSERIFORMES,Thraupidae,Dacne azzurra
10225,Dacnis flaviventer,SA,PASSERIFORMES,Thraupidae,Dacne panciagialla
10226,Dacnis hartlaubi,SA,PASSERIFORMES,Thraupidae,Tanagra dacne turchese
10227,Dacnis lineata,SA,PASSERIFORMES,Thraupidae,Dacne faccianera
10228,Dacnis egregia,SA,PASSERIFORMES,Thraupidae,Yellow-tufted Dacnis
10229,Dacnis viguieri,"MA, SA",PASSERIFORMES,Thraupidae,Dacne verde
10230,Dacnis nigripes,SA,PASSERIFORMES,Thraupidae,Dacne zampenere
10231,Dacnis albiventris,SA,PASSERIFORMES,Thraupidae,Dacne panciabianca
10232,Saltatricula multicolor,SA,PASSERIFORMES,Thraupidae,Fringuello multicolore
10233,Saltatricula atricollis,SA,PASSERIFORMES,Thraupidae,Saltatore golanera
10234,Saltator orenocensis,SA,PASSERIFORMES,Thraupidae,Saltatore dell'Orinoco
10235,Saltator similis,SA,PASSERIFORMES,Thraupidae,Saltatore aliverdi
10236,Saltator grandis,MA,PASSERIFORMES,Thraupidae,Cinnamon-bellied Saltator
10237,Saltator olivascens,SA,PASSERIFORMES,Thraupidae,Olive-grey Saltator
10238,Saltator coerulescens,SA,PASSERIFORMES,Thraupidae,Saltatore grigiastro
10239,Saltator striatipectus,"MA, SA",PASSERIFORMES,Thraupidae,Saltatore striato
10240,Saltator maximus,"MA, SA",PASSERIFORMES,Thraupidae,Saltatore golacamoscio
10241,Saltator atripennis,SA,PASSERIFORMES,Thraupidae,Saltatore alinere
10242,Saltator atriceps,MA,PASSERIFORMES,Thraupidae,Saltatore testanera
10243,Saltator nigriceps,SA,PASSERIFORMES,Thraupidae,Saltatore monaco
10244,Saltator fuliginosus,SA,PASSERIFORMES,Thraupidae,Beccogrosso golanera
10245,Saltator grossus,"MA, SA",PASSERIFORMES,Thraupidae,Beccogrosso ardesia
10246,Saltator cinctus,SA,PASSERIFORMES,Thraupidae,Saltatore mascherato
10247,Saltator maxillosus,SA,PASSERIFORMES,Thraupidae,Saltatore beccogrosso
