,IOC,Breeding Range,Order,Family,German
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,Buschtinamu
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,Graukehltinamu
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,Kerrtinamu
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,Rotbrusttinamu
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,Rosttinamu
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,Bartletttinamu
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,Kleinschnabeltinamu
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,Bindentinamu
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,Tataupatinamu
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,Rotflügeltinamu
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,Streifenhalstinamu
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,Taczanowskitinamu
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,Pisaccatinamu
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,Chiletinamu
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,Cordobatinamu
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,Andentinamu
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,Krummschnabeltinamu
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,Weißbauchtinamu
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,Wachteltinamu
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,Darwintinamu
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,Fleckentinamu
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,Pfauentinamu
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,Perltinamu
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,Schmucktinamu
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,Punatinamu
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,Patagonientinamu
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,Hornwehrvogel
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,Weißwangen-Wehrvogel
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,Halsband-Wehrvogel
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,Spaltfußgans
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,Witwenpfeifgans
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,Rotschnabel-Pfeifgans
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,Tüpfelpfeifgans
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,Gelbbrust-Pfeifgans
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,Gelbfuß-Pfeifgans
68,Dendrocygna arcuata,"OR, AU",ANSERIFORMES,Anatidae,Wanderpfeifgans
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,Javapfeifgans
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,Weißrücken-Pfeifgans
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,Hühnergans
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,Ringelgans
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,Rothalsgans
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,Hawaiigans
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,Weißwangengans
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,Streifengans
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,Kaisergans
78,Anser anser,PAL,ANSERIFORMES,Anatidae,Graugans
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,Schwanengans
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,Waldsaatgans
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,Kurzschnabelgans
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,Tundrasaatgans
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,Blässgans
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,Zwerggans
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,Coscorobaschwan
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,Schwarzschwan
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,Schwarzhalsschwan
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,Höckerschwan
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,Zwergschwan
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,Singschwan
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,Affengans
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,Saumschnabelente
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,Langflügel-Dampfschiffente
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,Magellan-Dampfschiffente
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,Falkland-Dampfschiffente
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,Weißkopf-Dampfschiffente
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,Sturzbachente
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,Sporngans
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,Höckerschnabelente
