,IOC,Breeding Range,Order,Family,Chinese
8700,Muscicapa muttui,OR,PASSERIFORMES,Muscicapidae,褐胸鹟
8701,Muscicapa randi,OR,PASSERIFORMES,Muscicapidae,灰胸鹟
8702,Muscicapa segregata,AU,PASSERIFORMES,Muscicapidae,松岛鹟
8703,Muscicapa dauurica,"PAL, OR",PASSERIFORMES,Muscicapidae,北灰鹟
8704,Muscicapa williamsoni,OR,PASSERIFORMES,Muscicapidae,褐纹鹟
8705,Muscicapa sodhii,AU,PASSERIFORMES,Muscicapidae,苏拉斑鹟
8706,Muscicapa sethsmithi,AF,PASSERIFORMES,Muscicapidae,黄脚鹟
8707,Muscicapa epulata,AF,PASSERIFORMES,Muscicapidae,小灰鹟
8708,Muscicapa adusta,AF,PASSERIFORMES,Muscicapidae,暗鹟
8709,Muscicapa striata,PAL,PASSERIFORMES,Muscicapidae,斑鹟
8710,Muscicapa tyrrhenica,PAL,PASSERIFORMES,Muscicapidae,地中海斑鹟
8711,Muscicapa gambagae,AF,PASSERIFORMES,Muscicapidae,褐背斑鹟
8712,Muscicapa cassini,AF,PASSERIFORMES,Muscicapidae,卡氏灰鹟
8713,Muscicapa aquatica,AF,PASSERIFORMES,Muscicapidae,泽鹟
8714,Leucoptilon concretum,OR,PASSERIFORMES,Muscicapidae,白尾蓝仙鹟
8715,Sholicola major,OR,PASSERIFORMES,Muscicapidae,棕胁蓝地鸲
8716,Sholicola albiventris,OR,PASSERIFORMES,Muscicapidae,白腹蓝地鸲
8717,Niltava davidi,OR,PASSERIFORMES,Muscicapidae,棕腹大仙鹟
8718,Niltava sundara,OR,PASSERIFORMES,Muscicapidae,棕腹仙鹟
8719,Niltava sumatrana,OR,PASSERIFORMES,Muscicapidae,苏门答腊仙鹟
8720,Niltava oatesi,OR,PASSERIFORMES,Muscicapidae,棕腹蓝仙鹟
8721,Niltava vivida,OR,PASSERIFORMES,Muscicapidae,台湾棕腹蓝仙鹟
8722,Niltava macgrigoriae,OR,PASSERIFORMES,Muscicapidae,小仙鹟
8723,Niltava grandis,OR,PASSERIFORMES,Muscicapidae,大仙鹟
8724,Cyanoptila cyanomelana,PAL,PASSERIFORMES,Muscicapidae,白腹蓝鹟
8725,Cyanoptila cumatilis,PAL,PASSERIFORMES,Muscicapidae,琉璃蓝鹟
8726,Eumyias albicaudatus,OR,PASSERIFORMES,Muscicapidae,印度仙鹟
8727,Eumyias indigo,OR,PASSERIFORMES,Muscicapidae,青仙鹟
8728,Eumyias thalassinus,OR,PASSERIFORMES,Muscicapidae,铜蓝鹟
8729,Eumyias additus,AU,PASSERIFORMES,Muscicapidae,布岛林鹟
8730,Eumyias panayensis,AU,PASSERIFORMES,Muscicapidae,岛仙鹟
8731,Eumyias sanfordi,AU,PASSERIFORMES,Muscicapidae,山氏仙鹟
8732,Eumyias hoevelli,AU,PASSERIFORMES,Muscicapidae,蓝额仙鹟
8733,Eumyias hyacinthinus,AU,PASSERIFORMES,Muscicapidae,蓝背仙鹟
8734,Eumyias oscillans,AU,PASSERIFORMES,Muscicapidae,褐背林鹟
8735,Eumyias stresemanni,AU,PASSERIFORMES,Muscicapidae,松巴林鹟
8736,Eumyias sordidus,OR,PASSERIFORMES,Muscicapidae,暗蓝仙鹟
8737,Anthipes monileger,OR,PASSERIFORMES,Muscicapidae,白喉姬鹟
8738,Anthipes solitaris,OR,PASSERIFORMES,Muscicapidae,棕眉姬鹟
8739,Cyornis unicolor,OR,PASSERIFORMES,Muscicapidae,纯蓝仙鹟
8740,Cyornis glaucicomans,OR,PASSERIFORMES,Muscicapidae,中华仙鹟
8741,Cyornis rubeculoides,OR,PASSERIFORMES,Muscicapidae,蓝喉仙鹟
8742,Cyornis hainanus,OR,PASSERIFORMES,Muscicapidae,海南蓝仙鹟
8743,Cyornis superbus,OR,PASSERIFORMES,Muscicapidae,加里曼丹仙鹟
8744,Cyornis turcosus,OR,PASSERIFORMES,Muscicapidae,马来仙鹟
8745,Cyornis lemprieri,OR,PASSERIFORMES,Muscicapidae,巴拉望仙鹟
8746,Cyornis caerulatus,OR,PASSERIFORMES,Muscicapidae,大嘴仙鹟
8747,Cyornis herioti,OR,PASSERIFORMES,Muscicapidae,蓝胸仙鹟
8748,Cyornis camarinensis,OR,PASSERIFORMES,Muscicapidae,棕胸仙鹟
8749,Cyornis ruficauda,OR,PASSERIFORMES,Muscicapidae,棕尾林鹟
8750,Cyornis ocularis,OR,PASSERIFORMES,Muscicapidae,苏禄林鹟
8751,Cyornis ruficrissa,OR,PASSERIFORMES,Muscicapidae,婆罗洲林鹟
8752,Cyornis pallidipes,OR,PASSERIFORMES,Muscicapidae,白腹仙鹟
8753,Cyornis brunneatus,OR,PASSERIFORMES,Muscicapidae,白喉林鹟
8754,Cyornis nicobaricus,OR,PASSERIFORMES,Muscicapidae,尼科巴林鹟
8755,Cyornis umbratilis,OR,PASSERIFORMES,Muscicapidae,灰胸林鹟
8756,Cyornis magnirostris,OR,PASSERIFORMES,Muscicapidae,大蓝仙鹟
8757,Cyornis tickelliae,OR,PASSERIFORMES,Muscicapidae,梯氏仙鹟
8758,Cyornis sumatrensis,OR,PASSERIFORMES,Muscicapidae,印支蓝仙鹟
8759,Cyornis whitei,OR,PASSERIFORMES,Muscicapidae,山蓝仙鹟
8760,Cyornis rufigastra,OR,PASSERIFORMES,Muscicapidae,红树仙鹟
8761,Cyornis omissus,AU,PASSERIFORMES,Muscicapidae,苏拉蓝仙鹟
8762,Cyornis kalaoensis,AU,PASSERIFORMES,Muscicapidae,卡岛仙鹟
8763,Cyornis banyumas,OR,PASSERIFORMES,Muscicapidae,爪哇蓝仙鹟
8764,Cyornis montanus,OR,PASSERIFORMES,Muscicapidae,婆罗洲蓝仙鹟
8765,Cyornis kadayangensis,OR,PASSERIFORMES,Muscicapidae,梅山蓝仙鹟
8766,Cyornis poliogenys,OR,PASSERIFORMES,Muscicapidae,灰颊仙鹟
8767,Cyornis olivaceus,OR,PASSERIFORMES,Muscicapidae,绿背林鹟
8768,Cyornis pelingensis,AU,PASSERIFORMES,Muscicapidae,邦盖林鹟
8769,Cyornis colonus,AU,PASSERIFORMES,Muscicapidae,栗尾林鹟
8770,Cyornis ruckii,OR,PASSERIFORMES,Muscicapidae,鲁氏仙鹟
8771,Erithacus rubecula,PAL,PASSERIFORMES,Muscicapidae,欧亚鸲
8772,Swynnertonia swynnertoni,AF,PASSERIFORMES,Muscicapidae,斯氏鸲
8773,Pogonocichla stellata,AF,PASSERIFORMES,Muscicapidae,白点鸲
8774,Stiphrornis erythrothorax,AF,PASSERIFORMES,Muscicapidae,橙胸林鸲
8775,Cossyphicula roberti,AF,PASSERIFORMES,Muscicapidae,白腹歌䳭
8776,Cossyphicula isabellae,AF,PASSERIFORMES,Muscicapidae,高山歌䳭
8777,Chamaetylas poliophrys,AF,PASSERIFORMES,Muscicapidae,红喉鸲鸫
8778,Chamaetylas poliocephala,AF,PASSERIFORMES,Muscicapidae,褐胸鸲鸫
8779,Chamaetylas fuelleborni,AF,PASSERIFORMES,Muscicapidae,白胸鸲鸫
8780,Chamaetylas choloensis,AF,PASSERIFORMES,Muscicapidae,棕脸鸲鸫
8781,Cossypha albicapillus,AF,PASSERIFORMES,Muscicapidae,白顶歌䳭
8782,Cossypha heuglini,AF,PASSERIFORMES,Muscicapidae,白眉歌䳭
8783,Cossypha dichroa,AF,PASSERIFORMES,Muscicapidae,南非歌䳭
8784,Cossypha semirufa,AF,PASSERIFORMES,Muscicapidae,卢氏歌䳭
8785,Cossypha niveicapilla,AF,PASSERIFORMES,Muscicapidae,白冠歌䳭
8786,Cossypha natalensis,AF,PASSERIFORMES,Muscicapidae,红顶歌䳭
8787,Cossypha heinrichi,AF,PASSERIFORMES,Muscicapidae,白头歌䳭
8788,Cossypha cyanocampter,AF,PASSERIFORMES,Muscicapidae,蓝肩歌䳭
8789,Cichladusa arquata,AF,PASSERIFORMES,Muscicapidae,晨鸫
8790,Cichladusa ruficauda,AF,PASSERIFORMES,Muscicapidae,红尾晨鸫
8791,Cichladusa guttata,AF,PASSERIFORMES,Muscicapidae,斑晨鸫
8792,Xenocopsychus ansorgei,AF,PASSERIFORMES,Muscicapidae,穴䳭
8793,Dessonornis humeralis,AF,PASSERIFORMES,Muscicapidae,白喉歌䳭
8794,Dessonornis caffer,AF,PASSERIFORMES,Muscicapidae,黄喉歌䳭
8795,Dessonornis archeri,AF,PASSERIFORMES,Muscicapidae,阿氏歌䳭
8796,Dessonornis anomalus,AF,PASSERIFORMES,Muscicapidae,绿胁歌䳭
8797,Sheppardia montana,AF,PASSERIFORMES,Muscicapidae,尤山阿卡拉鸲
8798,Sheppardia lowei,AF,PASSERIFORMES,Muscicapidae,坦桑阿卡拉鸲
8799,Sheppardia aurantiithorax,AF,PASSERIFORMES,Muscicapidae,鲁山阿卡拉鸲
8800,Sheppardia gunningi,AF,PASSERIFORMES,Muscicapidae,东非阿卡拉鸲
8801,Sheppardia sharpei,AF,PASSERIFORMES,Muscicapidae,沙氏阿卡鸲
8802,Sheppardia bocagei,AF,PASSERIFORMES,Muscicapidae,伯氏阿卡拉鸲
8803,Sheppardia poensis,AF,PASSERIFORMES,Muscicapidae,短尾阿卡拉鸲
8804,Sheppardia cyornithopsis,AF,PASSERIFORMES,Muscicapidae,须阿卡拉鸲
8805,Sheppardia aequatorialis,AF,PASSERIFORMES,Muscicapidae,杰氏阿卡拉鸲
8806,Sheppardia gabela,AF,PASSERIFORMES,Muscicapidae,安哥拉阿卡拉鸲
8807,Sheppardia polioptera,AF,PASSERIFORMES,Muscicapidae,灰翅歌䳭
8808,Irania gutturalis,PAL,PASSERIFORMES,Muscicapidae,白喉鸲
8809,Luscinia luscinia,PAL,PASSERIFORMES,Muscicapidae,欧歌鸲
8810,Luscinia megarhynchos,PAL,PASSERIFORMES,Muscicapidae,新疆歌鸲
8811,Luscinia svecica,PAL,PASSERIFORMES,Muscicapidae,蓝喉歌鸲
8812,Luscinia phaenicuroides,OR,PASSERIFORMES,Muscicapidae,白腹短翅鸲
8813,Myiomela leucura,OR,PASSERIFORMES,Muscicapidae,白尾蓝地鸲
8814,Myiomela sumatrana,OR,PASSERIFORMES,Muscicapidae,苏门答腊蓝地鸲
8815,Myiomela diana,OR,PASSERIFORMES,Muscicapidae,蓝地鸲
8816,Calliope obscura,PAL,PASSERIFORMES,Muscicapidae,黑喉歌鸲
8817,Calliope pectardens,PAL,PASSERIFORMES,Muscicapidae,金胸歌鸲
8818,Calliope calliope,PAL,PASSERIFORMES,Muscicapidae,红喉歌鸲
8819,Calliope pectoralis,OR,PASSERIFORMES,Muscicapidae,黑胸歌鸲
8820,Calliope tschebaiewi,OR,PASSERIFORMES,Muscicapidae,白须黑胸歌鸲
8821,Enicurus scouleri,OR,PASSERIFORMES,Muscicapidae,小燕尾
8822,Enicurus immaculatus,OR,PASSERIFORMES,Muscicapidae,黑背燕尾
8823,Enicurus schistaceus,OR,PASSERIFORMES,Muscicapidae,灰背燕尾
8824,Enicurus maculatus,OR,PASSERIFORMES,Muscicapidae,斑背燕尾
8825,Enicurus leschenaulti,OR,PASSERIFORMES,Muscicapidae,白冠燕尾
8826,Enicurus borneensis,OR,PASSERIFORMES,Muscicapidae,婆罗洲燕尾
8827,Enicurus ruficapillus,OR,PASSERIFORMES,Muscicapidae,栗枕燕尾
8828,Enicurus velatus,OR,PASSERIFORMES,Muscicapidae,姬燕尾
8829,Cinclidium frontale,OR,PASSERIFORMES,Muscicapidae,蓝额长脚地鸲
8830,Myophonus insularis,OR,PASSERIFORMES,Muscicapidae,台湾紫啸鸫
8831,Myophonus melanurus,OR,PASSERIFORMES,Muscicapidae,辉亮啸鸫
8832,Myophonus castaneus,OR,PASSERIFORMES,Muscicapidae,褐翅啸鸫
8833,Myophonus caeruleus,OR,PASSERIFORMES,Muscicapidae,紫啸鸫
8834,Myophonus glaucinus,OR,PASSERIFORMES,Muscicapidae,巽他啸鸫
8835,Myophonus borneensis,OR,PASSERIFORMES,Muscicapidae,婆罗洲啸鸫
8836,Myophonus robinsoni,OR,PASSERIFORMES,Muscicapidae,马来啸鸫
8837,Myophonus horsfieldii,OR,PASSERIFORMES,Muscicapidae,印度啸鸫
8838,Myophonus blighi,OR,PASSERIFORMES,Muscicapidae,斯里兰卡啸鸫
8839,Heinrichia calligyna,AU,PASSERIFORMES,Muscicapidae,大短翅鸫
8840,Vauriella gularis,OR,PASSERIFORMES,Muscicapidae,白眉林鹟
8841,Vauriella albigularis,OR,PASSERIFORMES,Muscicapidae,黑林鹟
8842,Vauriella insignis,OR,PASSERIFORMES,Muscicapidae,吕宋林鹟
8843,Vauriella goodfellowi,OR,PASSERIFORMES,Muscicapidae,棉岛林鹟
8844,Leonardina woodi,OR,PASSERIFORMES,Muscicapidae,菲律宾鹛鸫
8845,Brachypteryx cruralis,OR,PASSERIFORMES,Muscicapidae,喜山短翅鸫
8846,Brachypteryx sinensis,OR,PASSERIFORMES,Muscicapidae,中华短翅鸫
8847,Brachypteryx goodfellowi,OR,PASSERIFORMES,Muscicapidae,台湾短翅鸫
8848,Brachypteryx hyperythra,OR,PASSERIFORMES,Muscicapidae,锈腹短翅鸫
8849,Brachypteryx leucophris,"OR, AU",PASSERIFORMES,Muscicapidae,白喉短翅鸫
8850,Brachypteryx poliogyna,OR,PASSERIFORMES,Muscicapidae,菲律宾短翅鸫
8851,Brachypteryx erythrogyna,OR,PASSERIFORMES,Muscicapidae,婆罗洲短翅鸫
8852,Brachypteryx saturata,OR,PASSERIFORMES,Muscicapidae,苏门答腊短翅鸫
8853,Brachypteryx montana,OR,PASSERIFORMES,Muscicapidae,蓝短翅鸫
8854,Brachypteryx floris,OR,PASSERIFORMES,Muscicapidae,佛罗短翅鸫
8855,Larvivora cyane,PAL,PASSERIFORMES,Muscicapidae,蓝歌鸲
8856,Larvivora brunnea,OR,PASSERIFORMES,Muscicapidae,栗腹歌鸲
8857,Larvivora akahige,PAL,PASSERIFORMES,Muscicapidae,日本歌鸲
8858,Larvivora tanensis,PAL,PASSERIFORMES,Muscicapidae,伊岛歌鸲
8859,Larvivora komadori,PAL,PASSERIFORMES,Muscicapidae,琉球歌鸲
8860,Larvivora namiyei,PAL,PASSERIFORMES,Muscicapidae,冲绳歌鸲
8861,Larvivora sibilans,PAL,PASSERIFORMES,Muscicapidae,红尾歌鸲
8862,Larvivora ruficeps,PAL,PASSERIFORMES,Muscicapidae,棕头歌鸲
8863,Ficedula zanthopygia,PAL,PASSERIFORMES,Muscicapidae,白眉姬鹟
8864,Ficedula elisae,PAL,PASSERIFORMES,Muscicapidae,绿背姬鹟
8865,Ficedula narcissina,PAL,PASSERIFORMES,Muscicapidae,黄眉姬鹟
8866,Ficedula owstoni,PAL,PASSERIFORMES,Muscicapidae,琉球姬鹟
8867,Ficedula tricolor,OR,PASSERIFORMES,Muscicapidae,灰蓝姬鹟
8868,Ficedula hyperythra,"OR, AU",PASSERIFORMES,Muscicapidae,棕胸蓝姬鹟
8869,Ficedula mugimaki,PAL,PASSERIFORMES,Muscicapidae,鸲姬鹟
8870,Ficedula erithacus,OR,PASSERIFORMES,Muscicapidae,锈胸蓝姬鹟
8871,Ficedula hodgsoni,OR,PASSERIFORMES,Muscicapidae,侏蓝姬鹟
8872,Ficedula strophiata,OR,PASSERIFORMES,Muscicapidae,橙胸姬鹟
8873,Ficedula sapphira,OR,PASSERIFORMES,Muscicapidae,玉头姬鹟
8874,Ficedula superciliaris,OR,PASSERIFORMES,Muscicapidae,白眉蓝姬鹟
8875,Ficedula westermanni,"OR, AU",PASSERIFORMES,Muscicapidae,小斑姬鹟
8876,Ficedula ruficauda,PAL,PASSERIFORMES,Muscicapidae,栗尾姬鹟
8877,Ficedula subrubra,OR,PASSERIFORMES,Muscicapidae,印巴姬鹟
8878,Ficedula parva,PAL,PASSERIFORMES,Muscicapidae,红胸姬鹟
8879,Ficedula albicilla,PAL,PASSERIFORMES,Muscicapidae,红喉姬鹟
8880,Ficedula semitorquata,PAL,PASSERIFORMES,Muscicapidae,半领姬鹟
8881,Ficedula speculigera,AF,PASSERIFORMES,Muscicapidae,非洲斑姬鹟
8882,Ficedula hypoleuca,PAL,PASSERIFORMES,Muscicapidae,斑姬鹟
8883,Ficedula albicollis,PAL,PASSERIFORMES,Muscicapidae,白领姬鹟
8884,Ficedula nigrorufa,OR,PASSERIFORMES,Muscicapidae,黑棕姬鹟
8885,Ficedula riedeli,AU,PASSERIFORMES,Muscicapidae,塔岛姬鹟
8886,Ficedula dumetoria,OR,PASSERIFORMES,Muscicapidae,棕胸姬鹟
8887,Ficedula disposita,OR,PASSERIFORMES,Muscicapidae,隐姬鹟
8888,Ficedula platenae,OR,PASSERIFORMES,Muscicapidae,巴拉望姬鹟
8889,Ficedula rufigula,AU,PASSERIFORMES,Muscicapidae,棕喉姬鹟
8890,Ficedula buruensis,AU,PASSERIFORMES,Muscicapidae,褐胸姬鹟
8891,Ficedula harterti,AU,PASSERIFORMES,Muscicapidae,哈氏姬鹟
8892,Ficedula timorensis,AU,PASSERIFORMES,Muscicapidae,帝汶姬鹟
8893,Ficedula basilanica,OR,PASSERIFORMES,Muscicapidae,小灰姬鹟
8894,Ficedula luzoniensis,OR,PASSERIFORMES,Muscicapidae,菲律宾姬鹟
8895,Ficedula crypta,OR,PASSERIFORMES,Muscicapidae,佛氏姬鹟
8896,Ficedula bonthaina,AU,PASSERIFORMES,Muscicapidae,苏拉姬鹟
8897,Ficedula henrici,AU,PASSERIFORMES,Muscicapidae,达岛姬鹟
8898,Tarsiger indicus,OR,PASSERIFORMES,Muscicapidae,白眉林鸲
8899,Tarsiger chrysaeus,OR,PASSERIFORMES,Muscicapidae,金色林鸲
8900,Tarsiger johnstoniae,OR,PASSERIFORMES,Muscicapidae,台湾林鸲
8901,Tarsiger hyperythrus,OR,PASSERIFORMES,Muscicapidae,棕腹林鸲
8902,Tarsiger cyanurus,PAL,PASSERIFORMES,Muscicapidae,红胁蓝尾鸲
8903,Tarsiger rufilatus,OR,PASSERIFORMES,Muscicapidae,蓝眉林鸲
8904,Heteroxenicus stellatus,OR,PASSERIFORMES,Muscicapidae,栗背短翅鸫
8905,Phoenicurus erythronotus,PAL,PASSERIFORMES,Muscicapidae,红背红尾鸲
8906,Phoenicurus frontalis,OR,PASSERIFORMES,Muscicapidae,蓝额红尾鸲
8907,Phoenicurus coeruleocephala,PAL,PASSERIFORMES,Muscicapidae,蓝头红尾鸲
8908,Phoenicurus schisticeps,PAL,PASSERIFORMES,Muscicapidae,白喉红尾鸲
8909,Phoenicurus fuliginosus,OR,PASSERIFORMES,Muscicapidae,红尾水鸲
8910,Phoenicurus bicolor,OR,PASSERIFORMES,Muscicapidae,吕宋水鸲
8911,Phoenicurus leucocephalus,PAL,PASSERIFORMES,Muscicapidae,白顶溪鸲
8912,Phoenicurus alaschanicus,PAL,PASSERIFORMES,Muscicapidae,贺兰山红尾鸲
8913,Phoenicurus ochruros,"PAL, OR",PASSERIFORMES,Muscicapidae,赭红尾鸲
8914,Phoenicurus phoenicurus,PAL,PASSERIFORMES,Muscicapidae,欧亚红尾鸲
8915,Phoenicurus moussieri,AF,PASSERIFORMES,Muscicapidae,北非红尾鸲
8916,Phoenicurus auroreus,PAL,PASSERIFORMES,Muscicapidae,北红尾鸲
8917,Phoenicurus hodgsoni,OR,PASSERIFORMES,Muscicapidae,黑喉红尾鸲
8918,Phoenicurus erythrogastrus,PAL,PASSERIFORMES,Muscicapidae,红腹红尾鸲
8919,Monticola cinclorhyncha,OR,PASSERIFORMES,Muscicapidae,蓝头矶鸫
8920,Monticola gularis,PAL,PASSERIFORMES,Muscicapidae,白喉矶鸫
8921,Monticola rufiventris,OR,PASSERIFORMES,Muscicapidae,栗腹矶鸫
8922,Monticola brevipes,AF,PASSERIFORMES,Muscicapidae,短趾矶鸫
8923,Monticola explorator,AF,PASSERIFORMES,Muscicapidae,哨声矶鸫
8924,Monticola erythronotus,AF,PASSERIFORMES,Muscicapidae,琥珀山矶鸫
8925,Monticola sharpei,AF,PASSERIFORMES,Muscicapidae,岩鸲鸫
8926,Monticola imerina,AF,PASSERIFORMES,Muscicapidae,马岛鸲鸫
8927,Monticola rufocinereus,AF,PASSERIFORMES,Muscicapidae,小矶鸫
8928,Monticola saxatilis,PAL,PASSERIFORMES,Muscicapidae,白背矶鸫
8929,Monticola solitarius,"PAL, OR",PASSERIFORMES,Muscicapidae,蓝矶鸫
8930,Monticola semirufus,AF,PASSERIFORMES,Muscicapidae,白翅矶鸫
8931,Monticola rupestris,AF,PASSERIFORMES,Muscicapidae,南非矶鸫
8932,Monticola angolensis,AF,PASSERIFORMES,Muscicapidae,安哥拉矶鸫
8933,Saxicola jerdoni,OR,PASSERIFORMES,Muscicapidae,黑白林䳭
8934,Saxicola ferreus,OR,PASSERIFORMES,Muscicapidae,灰林䳭
8935,Saxicola rubetra,PAL,PASSERIFORMES,Muscicapidae,草原石䳭
8936,Saxicola macrorhynchus,OR,PASSERIFORMES,Muscicapidae,大嘴石䳭
8937,Saxicola gutturalis,AU,PASSERIFORMES,Muscicapidae,帝汶林䳭
8938,Saxicola caprata,"PAL, OR, AU",PASSERIFORMES,Muscicapidae,白斑黑石䳭
8939,Saxicola insignis,PAL,PASSERIFORMES,Muscicapidae,白喉石䳭
8940,Saxicola leucurus,OR,PASSERIFORMES,Muscicapidae,白尾石䳭
8941,Saxicola stejnegeri,PAL,PASSERIFORMES,Muscicapidae,东亚石䳭
8942,Saxicola torquatus,AF,PASSERIFORMES,Muscicapidae,非洲石䳭
8943,Saxicola sibilla,AF,PASSERIFORMES,Muscicapidae,马岛石䳭
8944,Saxicola tectes,IO,PASSERIFORMES,Muscicapidae,留尼汪石䳭
8945,Saxicola maurus,PAL,PASSERIFORMES,Muscicapidae,黑喉石䳭
8946,Saxicola rubicola,PAL,PASSERIFORMES,Muscicapidae,欧石䳭
8947,Saxicola dacotiae,AF,PASSERIFORMES,Muscicapidae,加纳利石䳭
8948,Campicoloides bifasciatus,AF,PASSERIFORMES,Muscicapidae,黄纹石䳭
8949,Emarginata schlegelii,AF,PASSERIFORMES,Muscicapidae,灰岩䳭
8950,Emarginata tractrac,AF,PASSERIFORMES,Muscicapidae,特拉岩䳭
8951,Emarginata sinuata,AF,PASSERIFORMES,Muscicapidae,镰翅岩䳭
8952,Pinarochroa sordida,AF,PASSERIFORMES,Muscicapidae,山岩䳭
8953,Thamnolaea cinnamomeiventris,AF,PASSERIFORMES,Muscicapidae,桂红蚁䳭
8954,Thamnolaea coronata,AF,PASSERIFORMES,Muscicapidae,白冠蚁䳭
8955,Myrmecocichla aethiops,AF,PASSERIFORMES,Muscicapidae,蚁䳭
8956,Myrmecocichla tholloni,AF,PASSERIFORMES,Muscicapidae,刚果蚁䳭
8957,Myrmecocichla formicivora,AF,PASSERIFORMES,Muscicapidae,南方蚁䳭
8958,Myrmecocichla monticola,AF,PASSERIFORMES,Muscicapidae,山䳭
8959,Myrmecocichla nigra,AF,PASSERIFORMES,Muscicapidae,暗色蚁䳭
8960,Myrmecocichla melaena,AF,PASSERIFORMES,Muscicapidae,黑蚁䳭
8961,Myrmecocichla collaris,AF,PASSERIFORMES,Muscicapidae,西非蚁䳭
8962,Myrmecocichla arnotti,AF,PASSERIFORMES,Muscicapidae,阿氏蚁䳭
8963,Oenanthe oenanthe,PAL,PASSERIFORMES,Muscicapidae,穗䳭
8964,Oenanthe seebohmi,AF,PASSERIFORMES,Muscicapidae,黑喉穗䳭
8965,Oenanthe pileata,AF,PASSERIFORMES,Muscicapidae,冕䳭
8966,Oenanthe bottae,PAL,PASSERIFORMES,Muscicapidae,红胸䳭
8967,Oenanthe frenata,AF,PASSERIFORMES,Muscicapidae,锈胸䳭
8968,Oenanthe isabellina,PAL,PASSERIFORMES,Muscicapidae,沙䳭
8969,Oenanthe heuglinii,AF,PASSERIFORMES,Muscicapidae,休氏䳭
8970,Oenanthe monacha,PAL,PASSERIFORMES,Muscicapidae,冠䳭
8971,Oenanthe deserti,PAL,PASSERIFORMES,Muscicapidae,漠䳭
8972,Oenanthe hispanica,PAL,PASSERIFORMES,Muscicapidae,黑耳䳭
8973,Oenanthe pleschanka,PAL,PASSERIFORMES,Muscicapidae,白顶䳭
8974,Oenanthe melanoleuca,PAL,PASSERIFORMES,Muscicapidae,东黑耳䳭
8975,Oenanthe cypriaca,PAL,PASSERIFORMES,Muscicapidae,塞浦路斯䳭
8976,Oenanthe albifrons,AF,PASSERIFORMES,Muscicapidae,白额䳭
8977,Oenanthe phillipsi,AF,PASSERIFORMES,Muscicapidae,索马里䳭
8978,Oenanthe moesta,"PAL, AF",PASSERIFORMES,Muscicapidae,红腰䳭
8979,Oenanthe melanura,"PAL, AF",PASSERIFORMES,Muscicapidae,黑尾岩䳭
8980,Oenanthe familiaris,AF,PASSERIFORMES,Muscicapidae,红尾岩䳭
8981,Oenanthe scotocerca,AF,PASSERIFORMES,Muscicapidae,褐尾岩䳭
8982,Oenanthe dubia,AF,PASSERIFORMES,Muscicapidae,乌岩䳭
8983,Oenanthe fusca,OR,PASSERIFORMES,Muscicapidae,褐岩䳭
8984,Oenanthe picata,PAL,PASSERIFORMES,Muscicapidae,东方斑䳭
8985,Oenanthe finschii,PAL,PASSERIFORMES,Muscicapidae,芬氏䳭
8986,Oenanthe halophila,AF,PASSERIFORMES,Muscicapidae,马格里布䳭
8987,Oenanthe lugens,"PAL, AF",PASSERIFORMES,Muscicapidae,悲䳭
8988,Oenanthe warriae,PAL,PASSERIFORMES,Muscicapidae,深灰䳭
8989,Oenanthe xanthoprymna,PAL,PASSERIFORMES,Muscicapidae,黑脸红尾䳭
8990,Oenanthe chrysopygia,PAL,PASSERIFORMES,Muscicapidae,红尾䳭
8991,Oenanthe leucopyga,"AF, PAL",PASSERIFORMES,Muscicapidae,白冠黑䳭
8992,Oenanthe albonigra,PAL,PASSERIFORMES,Muscicapidae,黑白䳭
8993,Oenanthe leucura,PAL,PASSERIFORMES,Muscicapidae,白尾黑䳭
8994,Oenanthe lugentoides,PAL,PASSERIFORMES,Muscicapidae,阿拉伯悲䳭
8995,Oenanthe lugubris,AF,PASSERIFORMES,Muscicapidae,东非悲䳭
8996,Cinclus cinclus,PAL,PASSERIFORMES,Cinclidae,河乌
8997,Cinclus pallasii,PAL,PASSERIFORMES,Cinclidae,褐河乌
8998,Cinclus mexicanus,"NA, MA",PASSERIFORMES,Cinclidae,美洲河乌
8999,Cinclus leucocephalus,SA,PASSERIFORMES,Cinclidae,白顶河乌
9000,Cinclus schulzii,SA,PASSERIFORMES,Cinclidae,棕喉河乌
9001,Chloropsis flavipennis,OR,PASSERIFORMES,Chloropseidae,黄翅叶鹎
9002,Chloropsis palawanensis,OR,PASSERIFORMES,Chloropseidae,黄喉叶鹎
9003,Chloropsis sonnerati,OR,PASSERIFORMES,Chloropseidae,大绿叶鹎
9004,Chloropsis cyanopogon,OR,PASSERIFORMES,Chloropseidae,小绿叶鹎
9005,Chloropsis moluccensis,OR,PASSERIFORMES,Chloropseidae,蓝翅叶鹎
9006,Chloropsis cochinchinensis,OR,PASSERIFORMES,Chloropseidae,爪哇叶鹎
9007,Chloropsis kinabaluensis,OR,PASSERIFORMES,Chloropseidae,婆罗洲叶鹎
9008,Chloropsis jerdoni,OR,PASSERIFORMES,Chloropseidae,南亚叶鹎
9009,Chloropsis aurifrons,OR,PASSERIFORMES,Chloropseidae,金额叶鹎
9010,Chloropsis media,OR,PASSERIFORMES,Chloropseidae,苏门答腊叶鹎
9011,Chloropsis hardwickii,OR,PASSERIFORMES,Chloropseidae,黄冠橙腹叶鹎
9012,Chloropsis venusta,OR,PASSERIFORMES,Chloropseidae,蓝脸叶鹎
