,IOC,Breeding Range,Order,Family,Norwegian
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Yungas Guan
259,Penelope pileata,SA,GALLIFORMES,Cracidae,rustnakkehokko
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,sumphokko
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,hvitbrynhokko
262,Pipile pipile,SA,GALLIFORMES,Cracidae,trinidadhokko
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,blåstrupehokko
264,Pipile grayi,SA,GALLIFORMES,Cracidae,White-throated Piping Guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,rødstrupehokko
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,svartpannehokko
267,Aburria aburri,SA,GALLIFORMES,Cracidae,gulflikhokko
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,svarthokko
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,blåmaskehokko
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,smekkehokko
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,hornhokko
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,brunhokko
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,elvehokko
274,Mitu salvini,SA,GALLIFORMES,Cracidae,loretohokko
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,kamnebbhokko
276,Mitu mitu,SA,GALLIFORMES,Cracidae,alagoashokko
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,nordhjelmhokko
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,sørhjelmhokko
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,sirahokko
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,storhokko
281,Crax alberti,SA,GALLIFORMES,Cracidae,blåknopphokko
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,gulknopphokko
283,Crax alector,SA,GALLIFORMES,Cracidae,trollhokko
284,Crax globulosa,SA,GALLIFORMES,Cracidae,rødknopphokko
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,krøllhokko
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,krushokko
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,hvitbrystperlehøne
288,Agelastes niger,AF,GALLIFORMES,Numididae,svartperlehøne
289,Numida meleagris,AF,GALLIFORMES,Numididae,hjelmperlehøne
290,Guttera plumifera,AF,GALLIFORMES,Numididae,bustperlehøne
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Western Crested Guineafowl
292,Guttera pucherani,AF,GALLIFORMES,Numididae,parykkperlehøne
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Southern Crested Guineafowl
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,gribbperlehøne
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,klatrehøne
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,iturihøne
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,hvitstrupeskogvaktel
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,svartstrupeskogvaktel
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,gråstrupeskogvaktel
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,spirvaktel
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,skjellvaktel
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,sinaloavaktel
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,kaliforniavaktel
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,svartbukvaktel
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,båndvaktel
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,nordkrattvaktel
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,mayakrattvaktel
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,costaricakrattvaktel
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,sørkrattvaktel
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,bruntannvaktel
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,gråtannvaktel
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,svartkinntannvaktel
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,rustpannetannvaktel
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,masketannvaktel
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,kastanjetannvaktel
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,mørkryggtannvaktel
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,rustbrysttannvaktel
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,tacarcunatannvaktel
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,kragetannvaktel
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,venezuelatannvaktel
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,svartbrysttannvaktel
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,diamanttannvaktel
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,stjernetannvaktel
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,flekktannvaktel
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,sangvaktel
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,aztekvaktel
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,zapotekvaktel
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,gråbrystvaktel
329,Xenoperdix udzungwensis,AF,GALLIFORMES,Phasianidae,udzungwahøne
330,Xenoperdix obscuratus,AF,GALLIFORMES,Phasianidae,Rubeho Forest Partridge
331,Caloperdix oculeus,OR,GALLIFORMES,Phasianidae,rusthøne
332,Rollulus rouloul,OR,GALLIFORMES,Phasianidae,ildviftehøne
333,Melanoperdix niger,OR,GALLIFORMES,Phasianidae,svarthøne
334,Arborophila torqueola,OR,GALLIFORMES,Phasianidae,rustkronehøne
335,Arborophila rufipectus,OR,GALLIFORMES,Phasianidae,sichuanhøne
336,Arborophila mandellii,OR,GALLIFORMES,Phasianidae,bhutanhøne
337,Arborophila gingica,OR,GALLIFORMES,Phasianidae,hvitpannehøne
338,Arborophila rufogularis,OR,GALLIFORMES,Phasianidae,ruststrupehøne
339,Arborophila rubrirostris,OR,GALLIFORMES,Phasianidae,rødnebbhøne
340,Arborophila diversa,OR,GALLIFORMES,Phasianidae,Siamese Partridge
341,Arborophila cambodiana,OR,GALLIFORMES,Phasianidae,khmerhøne
342,Arborophila ardens,OR,GALLIFORMES,Phasianidae,hainanhøne
343,Arborophila crudigularis,OR,GALLIFORMES,Phasianidae,taiwanhøne
344,Arborophila atrogularis,OR,GALLIFORMES,Phasianidae,hvitskjegghøne
345,Arborophila brunneopectus,OR,GALLIFORMES,Phasianidae,laohøne
346,Arborophila davidi,OR,GALLIFORMES,Phasianidae,vietnamhøne
347,Arborophila hyperythra,OR,GALLIFORMES,Phasianidae,borneohøne
348,Arborophila campbelli,OR,GALLIFORMES,Phasianidae,malayhøne
349,Arborophila rolli,OR,GALLIFORMES,Phasianidae,batakhøne
