,IOC,Breeding Range,Order,Family,Lithuanian
7824,Zosterops brunneus,AF,PASSERIFORMES,Zosteropidae,kaštoninis speiropsas
7825,Zosterops poliogastrus,AF,PASSERIFORMES,Zosteropidae,afrikinis baltavokis
7826,Zosterops kikuyuensis,AF,PASSERIFORMES,Zosteropidae,Kikuyu White-eye
7827,Zosterops socotranus,AF,PASSERIFORMES,Zosteropidae,Socotra White-eye
7828,Zosterops ficedulinus,AF,PASSERIFORMES,Zosteropidae,prinsipinis baltavokis
7829,Zosterops griseovirescens,AF,PASSERIFORMES,Zosteropidae,anoboninis baltavokis
7830,Zosterops feae,AF,PASSERIFORMES,Zosteropidae,Sao Tome White-eye
7831,Zosterops lugubris,AF,PASSERIFORMES,Zosteropidae,juodagalvis speiropsas
7832,Zosterops leucophaeus,AF,PASSERIFORMES,Zosteropidae,sidabrinis speiropsas
7833,Zosterops silvanus,AF,PASSERIFORMES,Zosteropidae,Taita White-eye
7834,Zosterops senegalensis,AF,PASSERIFORMES,Zosteropidae,senegalinis baltavokis
7835,Zosterops pallidus,AF,PASSERIFORMES,Zosteropidae,blyškusis baltavokis
7836,Zosterops winifredae,AF,PASSERIFORMES,Zosteropidae,South Pare White-eye
7837,Zosterops virens,AF,PASSERIFORMES,Zosteropidae,Cape White-eye
7838,Zosterops anderssoni,AF,PASSERIFORMES,Zosteropidae,Southern Yellow White-eye
7839,Zosterops vaughani,IO,PASSERIFORMES,Zosteropidae,pembinis baltavokis
7840,Zosterops modestus,IO,PASSERIFORMES,Zosteropidae,seišelinis baltavokis
7841,Zosterops anjuanensis,AF,PASSERIFORMES,Zosteropidae,Anjouan White-eye
7842,Zosterops aldabrensis,IO,PASSERIFORMES,Zosteropidae,Aldabra White-eye
7843,Zosterops kirki,AF,PASSERIFORMES,Zosteropidae,Kirk's White-eye
7844,Zosterops comorensis,AF,PASSERIFORMES,Zosteropidae,Moheli White-eye
7845,Zosterops mayottensis,AF,PASSERIFORMES,Zosteropidae,rusvašonis baltavokis
7846,Zosterops maderaspatanus,AF,PASSERIFORMES,Zosteropidae,madagaskarinis baltavokis
7847,Zosterops meratusensis,OR,PASSERIFORMES,Zosteropidae,Meratus White-eye
7848,Zosterops chloris,AU,PASSERIFORMES,Zosteropidae,mangrovinis baltavokis
7849,Zosterops flavissimus,AU,PASSERIFORMES,Zosteropidae,Wakatobi White-eye
7850,Zosterops atrifrons,AU,PASSERIFORMES,Zosteropidae,juodavainikis baltavokis
7851,Zosterops nehrkorni,AU,PASSERIFORMES,Zosteropidae,sangihinis baltavokis
7852,Zosterops consobrinorum,AU,PASSERIFORMES,Zosteropidae,blyškiapilvis baltavokis
7853,Zosterops somadikartai,AU,PASSERIFORMES,Zosteropidae,togianinis baltavokis
7854,Zosterops anomalus,AU,PASSERIFORMES,Zosteropidae,sulavesinis baltavokis
7855,Zosterops minor,AU,PASSERIFORMES,Zosteropidae,juodaveidis baltavokis
7856,Zosterops chrysolaemus,AU,PASSERIFORMES,Zosteropidae,Black-fronted White-eye
7857,Zosterops meeki,AU,PASSERIFORMES,Zosteropidae,baltagurklis baltavokis
7858,Zosterops dehaani,OR,PASSERIFORMES,Zosteropidae,Morotai White-eye
7859,Zosterops atriceps,AU,PASSERIFORMES,Zosteropidae,molukinis baltavokis
7860,Zosterops buruensis,AU,PASSERIFORMES,Zosteropidae,buruvinis baltavokis
7861,Zosterops stalkeri,AU,PASSERIFORMES,Zosteropidae,seraminis baltavokis
7862,Zosterops flavus,OR,PASSERIFORMES,Zosteropidae,javinis baltavokis
7863,Zosterops citrinella,AU,PASSERIFORMES,Zosteropidae,pilkapilvis baltavokis
7864,Zosterops luteus,AU,PASSERIFORMES,Zosteropidae,geltonasis baltavokis
7865,Zosterops lateralis,"AU, PO",PASSERIFORMES,Zosteropidae,pilkanugaris baltavokis
7866,Zosterops auriventer,OR,PASSERIFORMES,Zosteropidae,Hume's White-eye
7867,Zosterops melanurus,OR,PASSERIFORMES,Zosteropidae,Sangkar White-eye
7868,Zosterops everetti,OR,PASSERIFORMES,Zosteropidae,Evereto baltavokis
7869,Zosterops vellalavella,AU,PASSERIFORMES,Zosteropidae,velalavelinis baltavokis
7870,Zosterops sanctaecrucis,AU,PASSERIFORMES,Zosteropidae,santakruzinis baltavokis
7871,Zosterops fuscicapilla,AU,PASSERIFORMES,Zosteropidae,kepurėtasis baltavokis
7872,Zosterops crookshanki,AU,PASSERIFORMES,Zosteropidae,Oya Tabu White-eye
7873,Zosterops flavifrons,AU,PASSERIFORMES,Zosteropidae,geltonkaktis baltavokis
7874,Zosterops superciliosus,AU,PASSERIFORMES,Zosteropidae,paprastoji vudfordija
7875,Zosterops lacertosus,AU,PASSERIFORMES,Zosteropidae,vikrioji vudfordija
7876,Zosterops gibbsi,AU,PASSERIFORMES,Zosteropidae,Vanikoro baltavokis
7877,Zosterops explorator,PO,PASSERIFORMES,Zosteropidae,fidžinis baltavokis
7878,Zosterops hypoxanthus,AU,PASSERIFORMES,Zosteropidae,juodagalvis baltavokis
7879,Zosterops mysorensis,AU,PASSERIFORMES,Zosteropidae,biakinis baltavokis
7880,Zosterops hamlini,AU,PASSERIFORMES,Zosteropidae,Bougainville White-eye
7881,Zosterops oblitus,AU,PASSERIFORMES,Zosteropidae,Guadalcanal White-eye
7882,Zosterops rendovae,AU,PASSERIFORMES,Zosteropidae,pilkagurklis baltavokis
7883,Zosterops oleagineus,PO,PASSERIFORMES,Zosteropidae,japinis baltavokis
7884,Zosterops finschii,PO,PASSERIFORMES,Zosteropidae,tamsusis baltavokis
7885,Zosterops ponapensis,PO,PASSERIFORMES,Zosteropidae,Grey-brown White-eye
7886,Zosterops cinereus,PO,PASSERIFORMES,Zosteropidae,pilkasis baltavokis
7887,Zosterops rotensis,PO,PASSERIFORMES,Zosteropidae,rotinis baltavokis
7888,Zosterops metcalfii,AU,PASSERIFORMES,Zosteropidae,geltongurklis baltavokis
7889,Zosterops stresemanni,AU,PASSERIFORMES,Zosteropidae,malaitinis baltavokis
7890,Zosterops novaeguineae,AU,PASSERIFORMES,Zosteropidae,Naujosios Gvinėjos baltavokis
7891,Zosterops kuehni,AU,PASSERIFORMES,Zosteropidae,amboninis baltavokis
7892,Zosterops grayi,AU,PASSERIFORMES,Zosteropidae,Grėjaus baltavokis
7893,Zosterops luteirostris,AU,PASSERIFORMES,Zosteropidae,geltonsnapis baltavokis
7894,Zosterops uropygialis,AU,PASSERIFORMES,Zosteropidae,auksapilvis baltavokis
7895,Zosterops splendidus,AU,PASSERIFORMES,Zosteropidae,ranonginis baltavokis
7896,Zosterops kulambangrae,AU,PASSERIFORMES,Zosteropidae,saliamoninis baltavokis
7897,Zosterops tetiparius,AU,PASSERIFORMES,Zosteropidae,Dark-eyed White-eye
7898,Zosterops natalis,IO,PASSERIFORMES,Zosteropidae,Kalėdų salos baltavokis
7899,Zosterops conspicillatus,PO,PASSERIFORMES,Zosteropidae,šnekusis baltavokis
7900,Zosterops semperi,PO,PASSERIFORMES,Zosteropidae,citrininis baltavokis
7901,Zosterops hypolais,PO,PASSERIFORMES,Zosteropidae,paprastasis baltavokis
7902,Zosterops paruhbesar,AU,PASSERIFORMES,Zosteropidae,Wangi-wangi White-eye
7903,Zosterops griseotinctus,AU,PASSERIFORMES,Zosteropidae,luiziadinis baltavokis
7904,Zosterops murphyi,AU,PASSERIFORMES,Zosteropidae,Merfio baltavokis
7905,Zosterops inornatus,AU,PASSERIFORMES,Zosteropidae,didysis baltavokis
7906,Zosterops samoensis,PO,PASSERIFORMES,Zosteropidae,samojinis baltavokis
7907,Zosterops tenuirostris,AU,PASSERIFORMES,Zosteropidae,liaunasnapis baltavokis
7908,Zosterops minutus,AU,PASSERIFORMES,Zosteropidae,mažasis baltavokis
7909,Zosterops xanthochroa,AU,PASSERIFORMES,Zosteropidae,žalianugaris baltavokis
7910,Zosterops rennellianus,AU,PASSERIFORMES,Zosteropidae,Renelio baltavokis
7911,Timalia pileata,OR,PASSERIFORMES,Timaliidae,tikroji timalija
7912,Dumetia hyperythra,OR,PASSERIFORMES,Timaliidae,dumecija
7913,Dumetia atriceps,OR,PASSERIFORMES,Timaliidae,juodagalvė timalija
7914,Mixornis kelleyi,OR,PASSERIFORMES,Timaliidae,pilkaveidis zylinis plepys
7915,Mixornis flavicollis,OR,PASSERIFORMES,Timaliidae,pilkaskruostis zylinis plepys
7916,Mixornis prillwitzi,OR,PASSERIFORMES,Timaliidae,Kangean Tit-Babbler
7917,Mixornis gularis,OR,PASSERIFORMES,Timaliidae,geltonkrūtis zylinis plepys
7918,Mixornis bornensis,OR,PASSERIFORMES,Timaliidae,bornėjinis zylinis plepys
7919,Macronus ptilosus,OR,PASSERIFORMES,Timaliidae,pūkuotasis zylinis plepys
7920,Macronus striaticeps,OR,PASSERIFORMES,Timaliidae,dryžuotagalvis zylinis plepys
7921,Cyanoderma chrysaeum,OR,PASSERIFORMES,Timaliidae,auksagalvis stachiridopsas
7922,Cyanoderma erythropterum,OR,PASSERIFORMES,Timaliidae,rudasparnis stachiris
7923,Cyanoderma bicolor,OR,PASSERIFORMES,Timaliidae,Grey-hooded Babbler
7924,Cyanoderma melanothorax,OR,PASSERIFORMES,Timaliidae,perlakrūtis stachiris
7925,Cyanoderma rufifrons,OR,PASSERIFORMES,Timaliidae,rusvakaktis stachiridopsas
7926,Cyanoderma pyrrhops,OR,PASSERIFORMES,Timaliidae,juodagurklis stachiridopsas
7927,Cyanoderma ruficeps,OR,PASSERIFORMES,Timaliidae,rausvakepuris stachiridopsas
7928,Cyanoderma ambiguum,OR,PASSERIFORMES,Timaliidae,Buff-chested Babbler
7929,Spelaeornis caudatus,OR,PASSERIFORMES,Timaliidae,rusvagurklis karietaitinis plepys
7930,Spelaeornis badeigularis,OR,PASSERIFORMES,Timaliidae,rudagurklis karietaitinis plepys
7931,Spelaeornis troglodytoides,OR,PASSERIFORMES,Timaliidae,dryžasparnis karietaitinis plepys
7932,Spelaeornis kinneari,OR,PASSERIFORMES,Timaliidae,blyškiagurklis karietaitinis plepys
7933,Spelaeornis chocolatinus,OR,PASSERIFORMES,Timaliidae,raibasis karietaitinis plepys
7934,Spelaeornis oatesi,OR,PASSERIFORMES,Timaliidae,mianmarinis karietaitinis plepys
7935,Spelaeornis longicaudatus,OR,PASSERIFORMES,Timaliidae,ilgauodegis karietaitinis plepys
7936,Spelaeornis reptatus,OR,PASSERIFORMES,Timaliidae,pilkapilvis karietaitinis plepys
7937,Melanocichla lugubris,OR,PASSERIFORMES,Timaliidae,geltonsnapis juodasis garulaksas
7938,Melanocichla calva,OR,PASSERIFORMES,Timaliidae,geltonkepuris juodasis garulaksas
7939,Pomatorhinus ferruginosus,OR,PASSERIFORMES,Timaliidae,rusvakrūtis lenktasnapis plepys
7940,Pomatorhinus phayrei,OR,PASSERIFORMES,Timaliidae,Brown-crowned Scimitar Babbler
7941,Pomatorhinus ochraceiceps,OR,PASSERIFORMES,Timaliidae,rusvasnapis lenktasnapis plepys
7942,Pomatorhinus superciliaris,OR,PASSERIFORMES,Timaliidae,liaunasnapė timalija
7943,Pomatorhinus ruficollis,OR,PASSERIFORMES,Timaliidae,dryžakrūtis lenktasnapis plepys
7944,Pomatorhinus musicus,OR,PASSERIFORMES,Timaliidae,taivaninis lenktasnapis plepys
7945,Pomatorhinus schisticeps,OR,PASSERIFORMES,Timaliidae,baltabruvis lenktasnapis plepys
7946,Pomatorhinus horsfieldii,OR,PASSERIFORMES,Timaliidae,Horsfildo lenktasnapis plepys
7947,Pomatorhinus melanurus,OR,PASSERIFORMES,Timaliidae,šrilankinis lenktasnapis plepys
7948,Pomatorhinus bornensis,OR,PASSERIFORMES,Timaliidae,Sunda Scimitar Babbler
7949,Pomatorhinus montanus,OR,PASSERIFORMES,Timaliidae,kaštoninis lenktasnapis plepys
7950,Erythrogenys hypoleucos,OR,PASSERIFORMES,Timaliidae,didysis lenktasnapis plepys
7951,Erythrogenys erythrogenys,OR,PASSERIFORMES,Timaliidae,rusvaskruostis lenktasnapis plepys
7952,Erythrogenys mcclellandi,OR,PASSERIFORMES,Timaliidae,dėmėtakrūtis lenktasnapis plepys
7953,Erythrogenys gravivox,OR,PASSERIFORMES,Timaliidae,juodadryžis lenktasnapis plepys
7954,Erythrogenys swinhoei,OR,PASSERIFORMES,Timaliidae,pilkašonis lenktasnapis plepys
7955,Erythrogenys erythrocnemis,OR,PASSERIFORMES,Timaliidae,juodakarolis lenktasnapis plepys
7956,Stachyris nigricollis,OR,PASSERIFORMES,Timaliidae,juodagurklis stachiris
7957,Stachyris grammiceps,OR,PASSERIFORMES,Timaliidae,baltakrūtis stachiris
7958,Stachyris maculata,OR,PASSERIFORMES,Timaliidae,rudasturplis stachiris
7959,Stachyris nigriceps,OR,PASSERIFORMES,Timaliidae,pilkagurklis stachiris
7960,Stachyris poliocephala,OR,PASSERIFORMES,Timaliidae,pilkagalvis stachiris
7961,Stachyris nonggangensis,OR,PASSERIFORMES,Timaliidae,kininis stachiris
7962,Stachyris herberti,OR,PASSERIFORMES,Timaliidae,juosvasis stachiris
7963,Stachyris humei,OR,PASSERIFORMES,Timaliidae,juodakrūtis pleištasnapis plepys
7964,Stachyris roberti,OR,PASSERIFORMES,Timaliidae,rytinis pleištasnapis plepys
7965,Stachyris leucotis,OR,PASSERIFORMES,Timaliidae,baltaausis stachiris
7966,Stachyris thoracica,OR,PASSERIFORMES,Timaliidae,baltadėmis stachiris
7967,Stachyris oglei,OR,PASSERIFORMES,Timaliidae,baltagurklis stachiris
7968,Stachyris strialata,OR,PASSERIFORMES,Timaliidae,dėmėtakaklis stachiris
7969,Graminicola bengalensis,OR,PASSERIFORMES,Pellorneidae,didysis žiogelis
7970,Graminicola striatus,OR,PASSERIFORMES,Pellorneidae,Chinese Grassbird
7971,Turdinus macrodactylus,OR,PASSERIFORMES,Pellorneidae,didysis turdinas
7972,Turdinus marmoratus,OR,PASSERIFORMES,Pellorneidae,marmurinis turdinas
7973,Turdinus atrigularis,OR,PASSERIFORMES,Pellorneidae,juodagurklis turdinas
7974,Malacopteron affine,OR,PASSERIFORMES,Pellorneidae,juosvakepurė miškinė timalija
7975,Malacopteron albogulare,OR,PASSERIFORMES,Pellorneidae,pilkakrūtė timalija
7976,Malacopteron cinereum,OR,PASSERIFORMES,Pellorneidae,žvynuotavainikė miškinė timalija
7977,Malacopteron magnum,OR,PASSERIFORMES,Pellorneidae,rudavainikė miškinė timalija
7978,Malacopteron magnirostre,OR,PASSERIFORMES,Pellorneidae,ūsuotoji miškinė timalija
7979,Malacopteron palawanense,OR,PASSERIFORMES,Pellorneidae,rusvavainikė miškinė timalija
7980,Gampsorhynchus rufulus,OR,PASSERIFORMES,Pellorneidae,paprastoji baltagalvė timalija
7981,Gampsorhynchus torquatus,OR,PASSERIFORMES,Pellorneidae,apykaklėtoji baltagalvė timalija
7982,Schoeniparus cinereus,OR,PASSERIFORMES,Pellorneidae,geltongurklė spalvingoji fulveta
7983,Schoeniparus castaneceps,OR,PASSERIFORMES,Pellorneidae,rudagalvė spalvingoji fulveta
7984,Schoeniparus klossi,OR,PASSERIFORMES,Pellorneidae,juodavainikė spalvingoji fulveta
7985,Schoeniparus variegaticeps,OR,PASSERIFORMES,Pellorneidae,auksakaktė spalvingoji fulveta
7986,Schoeniparus rufogularis,OR,PASSERIFORMES,Pellorneidae,rusvagurklė alcipa
7987,Schoeniparus dubius,OR,PASSERIFORMES,Pellorneidae,rudakepurė alcipa
7988,Schoeniparus brunneus,OR,PASSERIFORMES,Pellorneidae,pilkakrūtė alcipa
7989,Pellorneum ruficeps,OR,PASSERIFORMES,Pellorneidae,rusvakepurė dirvinė timalija
7990,Pellorneum fuscocapillus,OR,PASSERIFORMES,Pellorneidae,rudakepurė dirvinė timalija
7991,Pellorneum palustre,OR,PASSERIFORMES,Pellorneidae,pelkinė dirvinė timalija
7992,Pellorneum nigrocapitatum,OR,PASSERIFORMES,Pellorneidae,Malayan Black-capped Babbler
7993,Pellorneum capistratum,OR,PASSERIFORMES,Pellorneidae,juodakepurė dirvinė timalija
7994,Pellorneum capistratoides,OR,PASSERIFORMES,Pellorneidae,Bornean Black-capped Babbler
7995,Pellorneum malaccense,OR,PASSERIFORMES,Pellorneidae,trumpauodegė malakocinkla
7996,Pellorneum cinereiceps,OR,PASSERIFORMES,Pellorneidae,pilkagalvė malakocinkla
7997,Pellorneum albiventre,OR,PASSERIFORMES,Pellorneidae,taškuotagurklė dirvinė timalija
7998,Pellorneum tickelli,OR,PASSERIFORMES,Pellorneidae,Tikelio dirvinė timalija
7999,Pellorneum buettikoferi,OR,PASSERIFORMES,Pellorneidae,sumatrinė dirvinė timalija
8000,Pellorneum pyrrogenys,OR,PASSERIFORMES,Pellorneidae,Teminko dirvinė timalija
8001,Pellorneum rostratum,OR,PASSERIFORMES,Pellorneidae,mangrovinė trichastoma
8002,Pellorneum bicolor,OR,PASSERIFORMES,Pellorneidae,rusvoji trichastoma
8003,Pellorneum celebense,AU,PASSERIFORMES,Pellorneidae,sulavesinė trichastoma
8004,Laticilla burnesii,OR,PASSERIFORMES,Pellorneidae,ilgauodegė prinija
8005,Laticilla cinerascens,OR,PASSERIFORMES,Pellorneidae,pelkinė prinija
8006,Illadopsis fulvescens,AF,PASSERIFORMES,Pellorneidae,rudoji pelinė timalija
8007,Illadopsis rufipennis,AF,PASSERIFORMES,Pellorneidae,pilkagurklė pelinė timalija
8008,Illadopsis distans,AF,PASSERIFORMES,Pellorneidae,Tanzanian Illadopsis
8009,Illadopsis pyrrhoptera,AF,PASSERIFORMES,Pellorneidae,kalninė pelinė timalija
8010,Illadopsis cleaveri,AF,PASSERIFORMES,Pellorneidae,juodakepurė pelinė timalija
8011,Illadopsis albipectus,AF,PASSERIFORMES,Pellorneidae,žvynuotakrūtė pelinė timalija
8012,Illadopsis turdina,AF,PASSERIFORMES,Pellorneidae,strazdinis plepys
8013,Illadopsis puveli,AF,PASSERIFORMES,Pellorneidae,didžiakojė pelinė timalija
8014,Illadopsis rufescens,AF,PASSERIFORMES,Pellorneidae,rudasparnė pelinė timalija
8015,Kenopia striata,OR,PASSERIFORMES,Pellorneidae,kenopija
8016,Malacocincla abbotti,OR,PASSERIFORMES,Pellorneidae,Aboto malakocinkla
8017,Malacocincla sepiaria,OR,PASSERIFORMES,Pellorneidae,tailandinė malakocinkla
8018,Malacocincla perspicillata,OR,PASSERIFORMES,Pellorneidae,juodbruvė malakocinkla
8019,Gypsophila crassa,OR,PASSERIFORMES,Pellorneidae,kalninė napotera
8020,Gypsophila brevicaudata,OR,PASSERIFORMES,Pellorneidae,trumpauodegė napotera
8021,Gypsophila annamensis,OR,PASSERIFORMES,Pellorneidae,Annam Limestone Babbler
8022,Gypsophila calcicola,OR,PASSERIFORMES,Pellorneidae,Rufous Limestone Babbler
8023,Gypsophila crispifrons,OR,PASSERIFORMES,Pellorneidae,tamsioji napotera
8024,Gypsophila rufipectus,OR,PASSERIFORMES,Pellorneidae,sumatrinis turdinas
8025,Ptilocichla mindanensis,OR,PASSERIFORMES,Pellorneidae,filipininė šeriuotoji timalija
8026,Ptilocichla leucogrammica,OR,PASSERIFORMES,Pellorneidae,bornėjinė šeriuotoji timalija
8027,Ptilocichla falcata,OR,PASSERIFORMES,Pellorneidae,palavaninė šeriuotoji timalija
8028,Napothera epilepidota,OR,PASSERIFORMES,Pellorneidae,mažoji napotera
8029,Napothera malacoptila,OR,PASSERIFORMES,Pellorneidae,paprastoji ilgasnapė timalija
8030,Napothera albostriata,OR,PASSERIFORMES,Pellorneidae,sumatrinė ilgasnapė timalija
8031,Napothera pasquieri,OR,PASSERIFORMES,Pellorneidae,baltagurklė ilgasnapė timalija
8032,Napothera naungmungensis,OR,PASSERIFORMES,Pellorneidae,Naung Mung Scimitar Babbler
8033,Napothera danjoui,OR,PASSERIFORMES,Pellorneidae,indokininė ilgasnapė timalija
8034,Alcippe poioicephala,OR,PASSERIFORMES,Alcippeidae,rudaskruostė alcipa
8035,Alcippe grotei,OR,PASSERIFORMES,Alcippeidae,juodabruvė alcipa
8036,Alcippe brunneicauda,OR,PASSERIFORMES,Alcippeidae,rudoji alcipa
8037,Alcippe pyrrhoptera,OR,PASSERIFORMES,Alcippeidae,javinė alcipa
8038,Alcippe nipalensis,OR,PASSERIFORMES,Alcippeidae,nepalinė alcipa
8039,Alcippe davidi,OR,PASSERIFORMES,Alcippeidae,David's Fulvetta
8040,Alcippe hueti,OR,PASSERIFORMES,Alcippeidae,Huet's Fulvetta
8041,Alcippe morrisonia,OR,PASSERIFORMES,Alcippeidae,pilkaskruostė alcipa
8042,Alcippe fratercula,OR,PASSERIFORMES,Alcippeidae,Yunnan Fulvetta
8043,Alcippe peracensis,OR,PASSERIFORMES,Alcippeidae,malajinė alcipa
8044,Grammatoptila striata,OR,PASSERIFORMES,Leiothrichidae,gramatoptila
8045,Cutia nipalensis,OR,PASSERIFORMES,Leiothrichidae,nepalinė kucija
8046,Cutia legalleni,OR,PASSERIFORMES,Leiothrichidae,vietnaminė kucija
8047,Laniellus langbianis,OR,PASSERIFORMES,Leiothrichidae,pilkavainikis krocijas
8048,Laniellus albonotatus,OR,PASSERIFORMES,Leiothrichidae,dėmėtasis krocijas
8049,Trochalopteron subunicolor,OR,PASSERIFORMES,Leiothrichidae,auksažvynis spalvingasis kvatoklis
8050,Trochalopteron austeni,OR,PASSERIFORMES,Leiothrichidae,rudagalvis spalvingasis kvatoklis
8051,Trochalopteron squamatum,OR,PASSERIFORMES,Leiothrichidae,mėlynsparnis spalvingasis kvatoklis
8052,Trochalopteron lineatum,PAL,PASSERIFORMES,Leiothrichidae,dryžasis garulaksas kvatoklis
8053,Trochalopteron imbricatum,OR,PASSERIFORMES,Leiothrichidae,butaninis garulaksas kvatoklis
8054,Trochalopteron virgatum,OR,PASSERIFORMES,Leiothrichidae,raibasis garulaksas kvatoklis
8055,Trochalopteron variegatum,PAL,PASSERIFORMES,Leiothrichidae,margasis spalvingasis kvatoklis
8056,Trochalopteron affine,OR,PASSERIFORMES,Leiothrichidae,juodaveidis spalvingasis kvatoklis
8057,Trochalopteron morrisonianum,OR,PASSERIFORMES,Leiothrichidae,baltaūsis spalvingasis kvatoklis
8058,Trochalopteron henrici,PAL,PASSERIFORMES,Leiothrichidae,rudaskruostis spalvingasis kvatoklis
8059,Trochalopteron elliotii,PAL,PASSERIFORMES,Leiothrichidae,Elioto spalvingasis kvatoklis
8060,Trochalopteron milnei,OR,PASSERIFORMES,Leiothrichidae,rusvauodegis spalvingasis kvatoklis
8061,Trochalopteron yersini,OR,PASSERIFORMES,Leiothrichidae,rusvakrūtis spalvingasis kvatoklis
8062,Trochalopteron erythrocephalum,OR,PASSERIFORMES,Leiothrichidae,rusvagalvis spalvingasis kvatoklis
8063,Trochalopteron chrysopterum,OR,PASSERIFORMES,Leiothrichidae,asaminis spalvingasis kvatoklis
8064,Trochalopteron formosum,OR,PASSERIFORMES,Leiothrichidae,raudonsparnis spalvingasis kvatoklis
8065,Trochalopteron melanostigma,OR,PASSERIFORMES,Leiothrichidae,pilkaausis spalvingasis kvatoklis
8066,Trochalopteron ngoclinhense,OR,PASSERIFORMES,Leiothrichidae,auksasparnis spalvingasis kvatoklis
8067,Trochalopteron peninsulae,OR,PASSERIFORMES,Leiothrichidae,malaizinis spalvingasis kvatoklis
8068,Montecincla jerdoni,OR,PASSERIFORMES,Leiothrichidae,Banasura Laughingthrush
8069,Montecincla cachinnans,OR,PASSERIFORMES,Leiothrichidae,nilgirinis garulaksas kvatoklis
8070,Montecincla fairbanki,OR,PASSERIFORMES,Leiothrichidae,indinis garulaksas kvatoklis
8071,Montecincla meridionalis,OR,PASSERIFORMES,Leiothrichidae,Ashambu Laughingthrush
8072,Heterophasia picaoides,OR,PASSERIFORMES,Leiothrichidae,ilgauodegė sibija
8073,Heterophasia auricularis,OR,PASSERIFORMES,Leiothrichidae,baltaausė tamsioji sibija
8074,Heterophasia capistrata,OR,PASSERIFORMES,Leiothrichidae,juodakepurė tamsioji sibija
8075,Heterophasia pulchella,OR,PASSERIFORMES,Leiothrichidae,mėlyngalvė tamsioji sibija
8076,Heterophasia gracilis,OR,PASSERIFORMES,Leiothrichidae,pilkoji tamsioji sibija
8077,Heterophasia melanoleuca,OR,PASSERIFORMES,Leiothrichidae,baltapilvė tamsioji sibija
8078,Heterophasia desgodinsi,OR,PASSERIFORMES,Leiothrichidae,melsvapilvė tamsioji sibija
8079,Actinodura nipalensis,OR,PASSERIFORMES,Leiothrichidae,nepalinė aktinodura
8080,Actinodura morrisoniana,OR,PASSERIFORMES,Leiothrichidae,taivaninė aktinodura
8081,Actinodura waldeni,OR,PASSERIFORMES,Leiothrichidae,junaninė aktinodura
8082,Actinodura souliei,OR,PASSERIFORMES,Leiothrichidae,dryžoji aktinodura
8083,Actinodura cyanouroptera,OR,PASSERIFORMES,Leiothrichidae,siva
8084,Actinodura strigula,OR,PASSERIFORMES,Leiothrichidae,dryžagurklė minla
8085,Actinodura egertoni,OR,PASSERIFORMES,Leiothrichidae,rudakaktė aktinodura
8086,Actinodura ramsayi,OR,PASSERIFORMES,Leiothrichidae,akiniuotoji aktinodura
8087,Actinodura sodangorum,OR,PASSERIFORMES,Leiothrichidae,juodavainikė aktinodura
8088,Leiothrix lutea,OR,PASSERIFORMES,Leiothrichidae,lejotriksas
8089,Leiothrix argentauris,OR,PASSERIFORMES,Leiothrichidae,mesija
8090,Minla ignotincta,OR,PASSERIFORMES,Leiothrichidae,tikroji minla
8091,Leioptila annectens,OR,PASSERIFORMES,Leiothrichidae,rudnugarė sibija
8092,Liocichla bugunorum,OR,PASSERIFORMES,Leiothrichidae,geltonbruvė liocichla
8093,Liocichla omeiensis,OR,PASSERIFORMES,Leiothrichidae,pilkaskruostė liocichla
8094,Liocichla steerii,OR,PASSERIFORMES,Leiothrichidae,taivaninė liocichla
8095,Liocichla phoenicea,OR,PASSERIFORMES,Leiothrichidae,raudonveidė liocichla
8096,Liocichla ripponi,OR,PASSERIFORMES,Leiothrichidae,purpurinė liocichla
8097,Argya malcolmi,OR,PASSERIFORMES,Leiothrichidae,didžioji strazdinė timalija
8098,Argya cinereifrons,OR,PASSERIFORMES,Leiothrichidae,pilkagalvis garulaksas
8099,Argya longirostris,OR,PASSERIFORMES,Leiothrichidae,liaunasnapė strazdinė timalija
8100,Argya subrufa,OR,PASSERIFORMES,Leiothrichidae,pilkakaktė strazdinė timalija
8101,Argya rufescens,OR,PASSERIFORMES,Leiothrichidae,šrilankinė strazdinė timalija
8102,Argya striata,OR,PASSERIFORMES,Leiothrichidae,džiunglinė strazdinė timalija
8103,Argya affinis,OR,PASSERIFORMES,Leiothrichidae,geltonsnapė strazdinė timalija
8104,Argya rubiginosa,AF,PASSERIFORMES,Leiothrichidae,rusvoji strazdinė timalija
8105,Argya aylmeri,AF,PASSERIFORMES,Leiothrichidae,žvynuotagurklė strazdinė timalija
8106,Argya altirostris,PAL,PASSERIFORMES,Leiothrichidae,irakinė strazdinė timalija
8107,Argya huttoni,PAL,PASSERIFORMES,Leiothrichidae,Afghan Babbler
8108,Argya caudata,OR,PASSERIFORMES,Leiothrichidae,paprastoji strazdinė timalija
8109,Argya fulva,AF,PASSERIFORMES,Leiothrichidae,sacharinė strazdinė timalija
8110,Argya squamiceps,PAL,PASSERIFORMES,Leiothrichidae,arabinė strazdinė timalija
8111,Argya earlei,OR,PASSERIFORMES,Leiothrichidae,dryžoji strazdinė timalija
8112,Argya gularis,OR,PASSERIFORMES,Leiothrichidae,baltagurklė strazdinė timalija
8113,Turdoides nipalensis,OR,PASSERIFORMES,Leiothrichidae,nepalinė strazdinė timalija
