,IOC,Breeding Range,Order,Family,Ukrainian
10369,Thlypopsis fulviceps,SA,PASSERIFORMES,Thraupidae,каптурник рудоголовий
10370,Thlypopsis inornata,SA,PASSERIFORMES,Thraupidae,каптурник перуанський
10371,Thlypopsis sordida,SA,PASSERIFORMES,Thraupidae,каптурник золотоголовий
10372,Thlypopsis pyrrhocoma,SA,PASSERIFORMES,Thraupidae,танагра вишневоголова
10373,Thlypopsis ruficeps,SA,PASSERIFORMES,Thraupidae,каптурник жовтоволий
10374,Thlypopsis superciliaris,SA,PASSERIFORMES,Thraupidae,зеленяр світлобровий
10375,Thlypopsis ornata,SA,PASSERIFORMES,Thraupidae,каптурник рудогрудий
10376,Thlypopsis pectoralis,SA,PASSERIFORMES,Thraupidae,каптурник буробокий
10377,Castanozoster thoracicus,SA,PASSERIFORMES,Thraupidae,свертушка сіроголова
10378,Donacospiza albifrons,SA,PASSERIFORMES,Thraupidae,шиферець довгохвостий
10379,Cypsnagra hirundinacea,SA,PASSERIFORMES,Thraupidae,тангар рудогорлий
10380,Poospizopsis hypocondria,SA,PASSERIFORMES,Thraupidae,свертушка рудобока
10381,Poospizopsis caesar,SA,PASSERIFORMES,Thraupidae,свертушка велика
10382,Urothraupis stolzmanni,SA,PASSERIFORMES,Thraupidae,плюшівник чорний
10383,Nephelornis oneilli,SA,PASSERIFORMES,Thraupidae,пардуско
10384,Microspingus lateralis,SA,PASSERIFORMES,Thraupidae,свертушка рудогуза
10385,Microspingus cabanisi,SA,PASSERIFORMES,Thraupidae,свертушка сіровола
10386,Microspingus erythrophrys,SA,PASSERIFORMES,Thraupidae,свертушка рудоброва
10387,Microspingus alticola,SA,PASSERIFORMES,Thraupidae,свертушка маранонська
10388,Microspingus torquatus,SA,PASSERIFORMES,Thraupidae,свертушка чорновола
10389,Microspingus trifasciatus,SA,PASSERIFORMES,Thraupidae,зеленяр вохристоволий
10390,Microspingus melanoleucus,SA,PASSERIFORMES,Thraupidae,свертушка чорноголова
10391,Microspingus cinereus,SA,PASSERIFORMES,Thraupidae,свертушка сіра
10392,Conirostrum margaritae,SA,PASSERIFORMES,Thraupidae,тамаруго амазонійський
10393,Conirostrum bicolor,SA,PASSERIFORMES,Thraupidae,тамаруго мангровий
10394,Conirostrum speciosum,SA,PASSERIFORMES,Thraupidae,тамаруго рудогузий
10395,Conirostrum leucogenys,"MA, SA",PASSERIFORMES,Thraupidae,тамаруго білощокий
10396,Conirostrum albifrons,SA,PASSERIFORMES,Thraupidae,тамаруго великий
10397,Conirostrum binghami,SA,PASSERIFORMES,Thraupidae,танагра велика
10398,Conirostrum sitticolor,SA,PASSERIFORMES,Thraupidae,тамаруго чорноголовий
10399,Conirostrum ferrugineiventre,SA,PASSERIFORMES,Thraupidae,тамаруго білобровий
10400,Conirostrum tamarugense,SA,PASSERIFORMES,Thraupidae,тамаруго рудобровий
