,IOC,Breeding Range,Order,Family,Polish
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,nogal nikobarski
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,nogal rdzawolicy
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,nogal brązowy
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,nogal tanimbarski
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,nogal ciemny
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,nogal namorzynowy
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,nogal melanezyjski
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,nogal żółtonogi
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,nogal nowogwinejski
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,nogal zmienny
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,czakalaka północna
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,czakalaka szarogłowa
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,czakalaka brązowoskrzydła
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,czakalaka rdzaworzytna
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,czakalaka rudogłowa
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,czakalaka barwna
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,czakalaka płowa
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,czakalaka bura
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,czakalaka białobrzucha
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,czakalaka kreskowana
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,czakalaka brunatna
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,czakalaka łuskowana
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,czakalaka kolumbijska
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,czakalaka rdzawa
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,czakalaka mała
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,czakalaka jasnobrewa
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,penelopa jasnolica
247,Penelope barbata,SA,GALLIFORMES,Cracidae,penelopa brodata
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,penelopa brunatna
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,penelopa andyjska
250,Penelope marail,SA,GALLIFORMES,Cracidae,penelopa gujańska
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,penelopa krzykliwa
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,penelopa czerwonolica
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,penelopa rdzawobrzucha
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,penelopa kasztanowata
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,penelopa białoskrzydła
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,penelopa zielonawa
257,Penelope obscura,SA,GALLIFORMES,Cracidae,penelopa ciemnonoga
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,penelopa kreskowana
259,Penelope pileata,SA,GALLIFORMES,Cracidae,penelopa piskliwa
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,penelopa bagienna
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,penelopa białobrewa
262,Pipile pipile,SA,GALLIFORMES,Cracidae,grdacz trinidadzki
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,grdacz modrogardły
264,Pipile grayi,SA,GALLIFORMES,Cracidae,grdacz białogłowy
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,grdacz czerwonogardły
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,grdacz czarnoczelny
267,Aburria aburri,SA,GALLIFORMES,Cracidae,grdacz soplowaty
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,grdacz czarny
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,grdacz płomienny
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,penelopina
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,jednoróg
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,czubacz rdzawy
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,czubacz rdzawosterny
274,Mitu salvini,SA,GALLIFORMES,Cracidae,czubacz białosterny
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,czubacz brzytwodzioby
276,Mitu mitu,SA,GALLIFORMES,Cracidae,czubacz garbonosy
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,czubacz hełmiasty
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,czubacz rogaty
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,czubacz peruwiański
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,czubacz zmienny
281,Crax alberti,SA,GALLIFORMES,Cracidae,czubacz niebieskodzioby
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,czubacz żółtoguzy
283,Crax alector,SA,GALLIFORMES,Cracidae,czubacz kędzierzawy
284,Crax globulosa,SA,GALLIFORMES,Cracidae,czubacz koralowy
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,czubacz gołolicy
