,IOC,Breeding Range,Order,Family,French
329,Xenoperdix udzungwensis,AF,GALLIFORMES,Phasianidae,Xénoperdrix de Tanzanie
330,Xenoperdix obscuratus,AF,GALLIFORMES,Phasianidae,Xénoperdrix des Rubeho
331,Caloperdix oculeus,OR,GALLIFORMES,Phasianidae,Rouloul ocellé
332,Rollulus rouloul,OR,GALLIFORMES,Phasianidae,Rouloul couronné
333,Melanoperdix niger,OR,GALLIFORMES,Phasianidae,Rouloul noir
334,Arborophila torqueola,OR,GALLIFORMES,Phasianidae,Torquéole à collier
335,Arborophila rufipectus,OR,GALLIFORMES,Phasianidae,Torquéole de Boulton
336,Arborophila mandellii,OR,GALLIFORMES,Phasianidae,Torquéole de Mandelli
337,Arborophila gingica,OR,GALLIFORMES,Phasianidae,Torquéole de Sonnerat
338,Arborophila rufogularis,OR,GALLIFORMES,Phasianidae,Torquéole à gorge rousse
339,Arborophila rubrirostris,OR,GALLIFORMES,Phasianidae,Torquéole à bec rouge
340,Arborophila diversa,OR,GALLIFORMES,Phasianidae,Torquéole siamois
341,Arborophila cambodiana,OR,GALLIFORMES,Phasianidae,Torquéole du Cambodge
342,Arborophila ardens,OR,GALLIFORMES,Phasianidae,Torquéole de Hainan
343,Arborophila crudigularis,OR,GALLIFORMES,Phasianidae,Torquéole de Formose
344,Arborophila atrogularis,OR,GALLIFORMES,Phasianidae,Torquéole à joues blanches
345,Arborophila brunneopectus,OR,GALLIFORMES,Phasianidae,Torquéole à poitrine brune
346,Arborophila davidi,OR,GALLIFORMES,Phasianidae,Torquéole de David
347,Arborophila hyperythra,OR,GALLIFORMES,Phasianidae,Torquéole de Bornéo
348,Arborophila campbelli,OR,GALLIFORMES,Phasianidae,Torquéole de Campbell
349,Arborophila rolli,OR,GALLIFORMES,Phasianidae,Torquéole de Roll
350,Arborophila sumatrana,OR,GALLIFORMES,Phasianidae,Torquéole de Sumatra
351,Arborophila javanica,OR,GALLIFORMES,Phasianidae,Torquéole de Java
352,Arborophila orientalis,OR,GALLIFORMES,Phasianidae,Torquéole de Horsfield
353,Lerwa lerwa,PAL,GALLIFORMES,Phasianidae,Lerva des neiges
354,Ithaginis cruentus,OR,GALLIFORMES,Phasianidae,Ithagine ensanglantée
355,Tragopan melanocephalus,OR,GALLIFORMES,Phasianidae,Tragopan de Hastings
356,Tragopan satyra,OR,GALLIFORMES,Phasianidae,Tragopan satyre
357,Tragopan blythii,OR,GALLIFORMES,Phasianidae,Tragopan de Blyth
358,Tragopan temminckii,OR,GALLIFORMES,Phasianidae,Tragopan de Temminck
359,Tragopan caboti,OR,GALLIFORMES,Phasianidae,Tragopan de Cabot
360,Tetraophasis obscurus,PAL,GALLIFORMES,Phasianidae,Tétraophase de Verreaux
361,Tetraophasis szechenyii,PAL,GALLIFORMES,Phasianidae,Tétraophase de Széchenyi
362,Lophophorus impejanus,OR,GALLIFORMES,Phasianidae,Lophophore resplendissant
363,Lophophorus sclateri,OR,GALLIFORMES,Phasianidae,Lophophore de Sclater
364,Lophophorus lhuysii,OR,GALLIFORMES,Phasianidae,Lophophore de Lhuys
365,Pucrasia macrolopha,OR,GALLIFORMES,Phasianidae,Eulophe koklass
366,Meleagris gallopavo,"NA, MA",GALLIFORMES,Phasianidae,Dindon sauvage
367,Meleagris ocellata,MA,GALLIFORMES,Phasianidae,Dindon ocellé
368,Tetrastes bonasia,PAL,GALLIFORMES,Phasianidae,Gélinotte des bois
369,Tetrastes sewerzowi,PAL,GALLIFORMES,Phasianidae,Gélinotte de Severtsov
370,Lagopus lagopus,"NA, PAL",GALLIFORMES,Phasianidae,Lagopède des saules
371,Lagopus muta,"NA, PAL",GALLIFORMES,Phasianidae,Lagopède alpin
372,Falcipennis falcipennis,PAL,GALLIFORMES,Phasianidae,Tétras de Sibérie
373,Tetrao urogallus,PAL,GALLIFORMES,Phasianidae,Grand Tétras
374,Tetrao urogalloides,PAL,GALLIFORMES,Phasianidae,Tétras à bec noir
375,Lyrurus tetrix,PAL,GALLIFORMES,Phasianidae,Tétras lyre
376,Lyrurus mlokosiewiczi,PAL,GALLIFORMES,Phasianidae,Tétras du Caucase
377,Rhizothera longirostris,OR,GALLIFORMES,Phasianidae,Perdrix à long bec
378,Rhizothera dulitensis,OR,GALLIFORMES,Phasianidae,Perdrix du Dulit
379,Perdix hodgsoniae,PAL,GALLIFORMES,Phasianidae,Perdrix de Hodgson
380,Perdix perdix,PAL,GALLIFORMES,Phasianidae,Perdrix grise
381,Perdix dauurica,PAL,GALLIFORMES,Phasianidae,Perdrix de Daourie
382,Syrmaticus soemmerringii,PAL,GALLIFORMES,Phasianidae,Faisan scintillant
383,Syrmaticus reevesii,PAL,GALLIFORMES,Phasianidae,Faisan vénéré
384,Syrmaticus mikado,OR,GALLIFORMES,Phasianidae,Faisan mikado
385,Syrmaticus ellioti,OR,GALLIFORMES,Phasianidae,Faisan d’Elliot
386,Syrmaticus humiae,OR,GALLIFORMES,Phasianidae,Faisan de Hume
387,Chrysolophus pictus,OR,GALLIFORMES,Phasianidae,Faisan doré
388,Chrysolophus amherstiae,OR,GALLIFORMES,Phasianidae,Faisan de Lady Amherst
389,Phasianus colchicus,"PAL, OR",GALLIFORMES,Phasianidae,Faisan de Colchide
390,Phasianus versicolor,OR,GALLIFORMES,Phasianidae,Faisan versicolore
391,Catreus wallichii,OR,GALLIFORMES,Phasianidae,Faisan de Wallich
392,Crossoptilon harmani,OR,GALLIFORMES,Phasianidae,Hokki du Tibet
393,Crossoptilon crossoptilon,OR,GALLIFORMES,Phasianidae,Hokki blanc
394,Crossoptilon mantchuricum,PAL,GALLIFORMES,Phasianidae,Hokki brun
395,Crossoptilon auritum,PAL,GALLIFORMES,Phasianidae,Hokki bleu
396,Lophura edwardsi,OR,GALLIFORMES,Phasianidae,Faisan d’Edwards
397,Lophura swinhoii,OR,GALLIFORMES,Phasianidae,Faisan de Swinhoe
398,Lophura bulweri,OR,GALLIFORMES,Phasianidae,Faisan de Bulwer
399,Lophura leucomelanos,OR,GALLIFORMES,Phasianidae,Faisan leucomèle
400,Lophura nycthemera,OR,GALLIFORMES,Phasianidae,Faisan argenté
401,Lophura erythrophthalma,OR,GALLIFORMES,Phasianidae,Faisan à queue rousse
402,Lophura pyronota,OR,GALLIFORMES,Phasianidae,Faisan pyronote
403,Lophura diardi,OR,GALLIFORMES,Phasianidae,Faisan prélat
404,Lophura inornata,OR,GALLIFORMES,Phasianidae,Faisan de Salvadori
405,Lophura rufa,OR,GALLIFORMES,Phasianidae,Faisan de Vieillot
406,Lophura ignita,OR,GALLIFORMES,Phasianidae,Faisan noble
407,Rheinardia ocellata,OR,GALLIFORMES,Phasianidae,Argus ocellé
408,Rheinardia nigrescens,OR,GALLIFORMES,Phasianidae,Argus à crête
409,Argusianus argus,OR,GALLIFORMES,Phasianidae,Argus géant
410,Afropavo congensis,AF,GALLIFORMES,Phasianidae,Paon du Congo
411,Pavo cristatus,OR,GALLIFORMES,Phasianidae,Paon bleu
412,Pavo muticus,OR,GALLIFORMES,Phasianidae,Paon spicifère
413,Tropicoperdix chloropus,OR,GALLIFORMES,Phasianidae,Torquéole des bois
414,Tropicoperdix charltonii,OR,GALLIFORMES,Phasianidae,Torquéole à poitrine châtaine
415,Tropicoperdix graydoni,OR,GALLIFORMES,Phasianidae,Torquéole de Graydon
416,Haematortyx sanguiniceps,OR,GALLIFORMES,Phasianidae,Rouloul sanglant
417,Galloperdix spadicea,OR,GALLIFORMES,Phasianidae,Galloperdrix rouge
418,Galloperdix lunulata,OR,GALLIFORMES,Phasianidae,Galloperdrix lunulée
419,Galloperdix bicalcarata,OR,GALLIFORMES,Phasianidae,Galloperdrix de Ceylan
420,Polyplectron napoleonis,OR,GALLIFORMES,Phasianidae,Éperonnier napoléon
421,Polyplectron schleiermacheri,OR,GALLIFORMES,Phasianidae,Éperonnier de Bornéo
422,Polyplectron malacense,OR,GALLIFORMES,Phasianidae,Éperonnier malais
423,Polyplectron germaini,OR,GALLIFORMES,Phasianidae,Éperonnier de Germain
424,Polyplectron katsumatae,OR,GALLIFORMES,Phasianidae,Éperonnier de Hainan
425,Polyplectron bicalcaratum,OR,GALLIFORMES,Phasianidae,Éperonnier chinquis
426,Polyplectron inopinatum,OR,GALLIFORMES,Phasianidae,Éperonnier de Rothschild
427,Polyplectron chalcurum,OR,GALLIFORMES,Phasianidae,Éperonnier à queue bronzée
428,Bambusicola fytchii,OR,GALLIFORMES,Phasianidae,Bambusicole de Fytch
429,Bambusicola thoracicus,OR,GALLIFORMES,Phasianidae,Bambusicole de Chine
430,Bambusicola sonorivox,OR,GALLIFORMES,Phasianidae,Bambusicole de Taïwan
431,Gallus varius,OR,GALLIFORMES,Phasianidae,Coq de Java
432,Gallus gallus,OR,GALLIFORMES,Phasianidae,Coq bankiva
433,Gallus sonneratii,OR,GALLIFORMES,Phasianidae,Coq de Sonnerat
434,Gallus lafayettii,OR,GALLIFORMES,Phasianidae,Coq de Lafayette
435,Peliperdix lathami,AF,GALLIFORMES,Phasianidae,Francolin de Latham
436,Ortygornis sephaena,AF,GALLIFORMES,Phasianidae,Francolin huppé
437,Ortygornis pondicerianus,"PAL, OR",GALLIFORMES,Phasianidae,Francolin gris
438,Ortygornis gularis,OR,GALLIFORMES,Phasianidae,Francolin multiraie
439,Francolinus pintadeanus,OR,GALLIFORMES,Phasianidae,Francolin perlé
440,Francolinus francolinus,"PAL, OR",GALLIFORMES,Phasianidae,Francolin noir
441,Francolinus pictus,OR,GALLIFORMES,Phasianidae,Francolin peint
442,Campocolinus coqui,AF,GALLIFORMES,Phasianidae,Francolin coqui
443,Campocolinus albogularis,AF,GALLIFORMES,Phasianidae,Francolin à gorge blanche
444,Campocolinus schlegelii,AF,GALLIFORMES,Phasianidae,Francolin de Schlegel
445,Scleroptila streptophora,AF,GALLIFORMES,Phasianidae,Francolin à collier
446,Scleroptila levaillantii,AF,GALLIFORMES,Phasianidae,Francolin de Levaillant
447,Scleroptila finschi,AF,GALLIFORMES,Phasianidae,Francolin de Finsch
448,Scleroptila psilolaema,AF,GALLIFORMES,Phasianidae,Francolin montagnard
449,Scleroptila elgonensis,AF,GALLIFORMES,Phasianidae,Francolin de l’Elgon
450,Scleroptila afra,AF,GALLIFORMES,Phasianidae,Francolin à ailes grises
451,Scleroptila gutturalis,AF,GALLIFORMES,Phasianidae,Francolin d’Archer
452,Scleroptila shelleyi,AF,GALLIFORMES,Phasianidae,Francolin de Shelley
453,Scleroptila whytei,AF,GALLIFORMES,Phasianidae,Francolin de Whyte
454,Tetraogallus tibetanus,PAL,GALLIFORMES,Phasianidae,Tétraogalle du Tibet
455,Tetraogallus altaicus,PAL,GALLIFORMES,Phasianidae,Tétraogalle de l’Altaï
456,Tetraogallus caucasicus,PAL,GALLIFORMES,Phasianidae,Tétraogalle du Caucase
457,Tetraogallus caspius,PAL,GALLIFORMES,Phasianidae,Tétraogalle de Perse
458,Tetraogallus himalayensis,PAL,GALLIFORMES,Phasianidae,Tétraogalle de l’Himalaya
459,Ammoperdix griseogularis,PAL,GALLIFORMES,Phasianidae,Perdrix si-si
460,Ammoperdix heyi,"PAL, AF",GALLIFORMES,Phasianidae,Perdrix de Hey
461,Synoicus ypsilophorus,AU,GALLIFORMES,Phasianidae,Caille tasmane
462,Synoicus monorthonyx,AU,GALLIFORMES,Phasianidae,Caille de montagne
463,Synoicus chinensis,"OR, AU",GALLIFORMES,Phasianidae,Caille peinte
464,Synoicus adansonii,AF,GALLIFORMES,Phasianidae,Caille bleue
465,Margaroperdix madagarensis,AF,GALLIFORMES,Phasianidae,Caille de Madagascar
466,Coturnix coturnix,"AF, IO, PAL",GALLIFORMES,Phasianidae,Caille des blés
467,Coturnix japonica,PAL,GALLIFORMES,Phasianidae,Caille du Japon
468,Coturnix delegorguei,AF,GALLIFORMES,Phasianidae,Caille arlequin
469,Coturnix coromandelica,OR,GALLIFORMES,Phasianidae,Caille nattée
470,Coturnix pectoralis,AU,GALLIFORMES,Phasianidae,Caille des chaumes
471,Alectoris barbara,AF,GALLIFORMES,Phasianidae,Perdrix gambra
472,Alectoris melanocephala,PAL,GALLIFORMES,Phasianidae,Perdrix à tête noire
473,Alectoris rufa,PAL,GALLIFORMES,Phasianidae,Perdrix rouge
474,Alectoris chukar,PAL,GALLIFORMES,Phasianidae,Perdrix choukar
475,Alectoris graeca,PAL,GALLIFORMES,Phasianidae,Perdrix bartavelle
476,Alectoris philbyi,PAL,GALLIFORMES,Phasianidae,Perdrix de Philby
477,Alectoris magna,PAL,GALLIFORMES,Phasianidae,Perdrix de Przewalski
478,Perdicula asiatica,OR,GALLIFORMES,Phasianidae,Perdicule rousse-gorge
479,Perdicula argoondah,OR,GALLIFORMES,Phasianidae,Perdicule argoondah
480,Perdicula erythrorhyncha,OR,GALLIFORMES,Phasianidae,Perdicule à bec rouge
481,Perdicula manipurensis,OR,GALLIFORMES,Phasianidae,Perdicule du Manipur
482,Pternistis hartlaubi,AF,GALLIFORMES,Phasianidae,Francolin de Hartlaub
483,Pternistis camerunensis,AF,GALLIFORMES,Phasianidae,Francolin du Cameroun
484,Pternistis nobilis,AF,GALLIFORMES,Phasianidae,Francolin noble
485,Pternistis castaneicollis,AF,GALLIFORMES,Phasianidae,Francolin à cou roux
486,Pternistis erckelii,AF,GALLIFORMES,Phasianidae,Francolin d’Erckel
487,Pternistis ochropectus,AF,GALLIFORMES,Phasianidae,Francolin somali
488,Pternistis swierstrai,AF,GALLIFORMES,Phasianidae,Francolin de Swierstra
489,Pternistis ahantensis,AF,GALLIFORMES,Phasianidae,Francolin d’Ahanta
490,Pternistis griseostriatus,AF,GALLIFORMES,Phasianidae,Francolin à bandes grises
491,Pternistis jacksoni,AF,GALLIFORMES,Phasianidae,Francolin de Jackson
492,Pternistis adspersus,AF,GALLIFORMES,Phasianidae,Francolin à bec rouge
493,Pternistis capensis,AF,GALLIFORMES,Phasianidae,Francolin criard
494,Pternistis natalensis,AF,GALLIFORMES,Phasianidae,Francolin du Natal
495,Pternistis hildebrandti,AF,GALLIFORMES,Phasianidae,Francolin de Hildebrandt
496,Pternistis bicalcaratus,AF,GALLIFORMES,Phasianidae,Francolin à double éperon
497,Pternistis squamatus,AF,GALLIFORMES,Phasianidae,Francolin écaillé
498,Pternistis icterorhynchus,AF,GALLIFORMES,Phasianidae,Francolin à bec jaune
499,Pternistis clappertoni,AF,GALLIFORMES,Phasianidae,Francolin de Clapperton
500,Pternistis harwoodi,AF,GALLIFORMES,Phasianidae,Francolin de Harwood
501,Pternistis swainsonii,AF,GALLIFORMES,Phasianidae,Francolin de Swainson
502,Pternistis leucoscepus,AF,GALLIFORMES,Phasianidae,Francolin à cou jaune
503,Pternistis rufopictus,AF,GALLIFORMES,Phasianidae,Francolin à poitrine grise
504,Pternistis afer,AF,GALLIFORMES,Phasianidae,Francolin à gorge rouge
505,Eurostopodus argus,AU,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent argus
506,Eurostopodus mystacalis,AU,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent moustac
507,Eurostopodus nigripennis,AU,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent des Salomon
508,Eurostopodus exul,AU,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent calédonien
509,Eurostopodus diabolicus,AU,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent satanique
510,Eurostopodus papuensis,AU,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent papou
511,Eurostopodus archboldi,AU,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent d’Archbold
512,Lyncornis temminckii,OR,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Temminck
513,Lyncornis macrotis,"OR, AU",CAPRIMULGIFORMES,Caprimulgidae,Engoulevent oreillard
514,Gactornis enarratus,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à nuque rousse
515,Chordeiles nacunda,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent nacunda
516,Chordeiles pusillus,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent nain
517,Chordeiles rupestris,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent sable
518,Chordeiles acutipennis,"NA, MA, SA",CAPRIMULGIFORMES,Caprimulgidae,Engoulevent minime
519,Chordeiles minor,"NA, MA",CAPRIMULGIFORMES,Caprimulgidae,Engoulevent d’Amérique
520,Lurocalis semitorquatus,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à queue courte
521,Lurocalis rufiventris,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à ventre roux
522,Nyctiprogne leucopyga,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent leucopyge
523,Nyctiprogne vielliardi,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent du Bahia
524,Nyctipolus nigrescens,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent noirâtre
525,Nyctipolus hirundinaceus,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent pygmée
526,Nyctidromus albicollis,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,Engoulevent pauraqué
527,Nyctidromus anthonyi,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent d’Anthony
528,Setopagis heterura,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Todd
529,Setopagis parvula,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent des bois
530,Setopagis whitelyi,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent du Roraima
531,Setopagis maculosa,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Guyane
532,Eleothreptus anomalus,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à faucilles
533,Eleothreptus candicans,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à ailes blanches
534,Systellura longirostris,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à miroir
535,Systellura decussata,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Tschudi
536,Uropsalis segmentata,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à queue d’aronde
537,Uropsalis lyra,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent lyre
538,Hydropsalis cayennensis,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,Engoulevent coré
539,Hydropsalis maculicaudus,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à queue étoilée
540,Hydropsalis climacocerca,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent trifide
541,Hydropsalis torquata,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à queue en ciseaux
542,Macropsalis forcipata,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à traîne
543,Nyctiphrynus rosenbergi,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent du Choco
544,Nyctiphrynus mcleodii,MA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent aztèque
545,Nyctiphrynus yucatanicus,MA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent du Yucatan
546,Nyctiphrynus ocellatus,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,Engoulevent ocellé
547,Phalaenoptilus nuttallii,"NA, MA",CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Nuttall
548,Antrostomus rufus,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,Engoulevent roux
549,Antrostomus salvini,MA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Salvin
550,Antrostomus badius,MA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent maya
551,Antrostomus sericocaudatus,SA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à queue de soie
552,Antrostomus ridgwayi,MA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Ridgway
553,Antrostomus saturatus,MA,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent montagnard
554,Veles binotatus,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à deux taches
555,Caprimulgus ruficollis,"PAL, AF",CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à collier roux
556,Caprimulgus indicus,OR,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de jungle
557,Caprimulgus jotaka,OR,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent jotaka
558,Caprimulgus phalaena,OR,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent des Palau
559,Caprimulgus europaeus,PAL,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent d’Europe
560,Caprimulgus fraenatus,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent sombre
561,Caprimulgus rufigena,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à joues rousses
562,Caprimulgus aegyptius,"PAL, AF",CAPRIMULGIFORMES,Caprimulgidae,Engoulevent du désert
563,Caprimulgus mahrattensis,PAL,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Sykes
564,Caprimulgus nubicus,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Nubie
565,Caprimulgus eximius,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent doré
566,Caprimulgus atripennis,OR,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Jerdon
567,Caprimulgus macrurus,"OR, AU",CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Horsfield
568,Caprimulgus meesi,OR,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Mees
569,Caprimulgus andamanicus,OR,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent des Andaman
570,Caprimulgus manillensis,OR,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent des Philippines
571,Caprimulgus celebensis,AU,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent des Célèbes
572,Caprimulgus donaldsoni,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent des épines
573,Caprimulgus pectoralis,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent musicien
574,Caprimulgus poliocephalus,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent d’Abyssinie
575,Caprimulgus asiaticus,OR,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent indien
576,Caprimulgus madagascariensis,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent malgache
577,Caprimulgus natalensis,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent du Natal
578,Caprimulgus solala,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent du Nechisar
579,Caprimulgus inornatus,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent terne
580,Caprimulgus stellatus,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent étoilé
581,Caprimulgus affinis,"OR, AU",CAPRIMULGIFORMES,Caprimulgidae,Engoulevent affin
582,Caprimulgus griseatus,OR,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent griset
583,Caprimulgus tristigma,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent pointillé
584,Caprimulgus concretus,OR,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Bonaparte
585,Caprimulgus pulchellus,OR,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Salvadori
586,Caprimulgus prigoginei,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Prigogine
587,Caprimulgus batesi,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Bates
588,Caprimulgus climacurus,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à longue queue
589,Caprimulgus clarus,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent de Reichenow
590,Caprimulgus fossii,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent du Mozambique
591,Caprimulgus longipennis,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent à balanciers
592,Caprimulgus vexillarius,AF,CAPRIMULGIFORMES,Caprimulgidae,Engoulevent porte-étendard
593,Steatornis caripensis,SA,STEATORNITHIFORMES,Steatornithidae,Guacharo des cavernes
594,Phyllaemulor bracteatus,SA,NYCTIBIIFORMES,Nyctibiidae,Ibijau roux
595,Nyctibius grandis,"MA, SA",NYCTIBIIFORMES,Nyctibiidae,Grand Ibijau
596,Nyctibius aethereus,SA,NYCTIBIIFORMES,Nyctibiidae,Ibijau à longue queue
597,Nyctibius jamaicensis,"MA, NA",NYCTIBIIFORMES,Nyctibiidae,Ibijau jamaïcain
598,Nyctibius griseus,"MA, SA",NYCTIBIIFORMES,Nyctibiidae,Ibijau gris
599,Nyctibius maculosus,SA,NYCTIBIIFORMES,Nyctibiidae,Ibijau des Andes
600,Nyctibius leucopterus,SA,NYCTIBIIFORMES,Nyctibiidae,Ibijau à ailes blanches
601,Podargus ocellatus,AU,PODARGIFORMES,Podargidae,Podarge ocellé
602,Podargus papuensis,AU,PODARGIFORMES,Podargidae,Podarge papou
603,Podargus strigoides,AU,PODARGIFORMES,Podargidae,Podarge gris
604,Rigidipenna inexpectata,AU,PODARGIFORMES,Podargidae,Podarge des Salomon
605,Batrachostomus auritus,OR,PODARGIFORMES,Podargidae,Podarge oreillard
606,Batrachostomus harterti,OR,PODARGIFORMES,Podargidae,Podarge de Hartert
607,Batrachostomus septimus,OR,PODARGIFORMES,Podargidae,Podarge des Philippines
608,Batrachostomus stellatus,OR,PODARGIFORMES,Podargidae,Podarge étoilé
609,Batrachostomus moniliger,OR,PODARGIFORMES,Podargidae,Podarge de Ceylan
610,Batrachostomus hodgsoni,OR,PODARGIFORMES,Podargidae,Podarge de Hodgson
611,Batrachostomus poliolophus,OR,PODARGIFORMES,Podargidae,Podarge à tête grise
612,Batrachostomus mixtus,OR,PODARGIFORMES,Podargidae,Podarge de Bornéo
613,Batrachostomus javensis,OR,PODARGIFORMES,Podargidae,Podarge de Java
614,Batrachostomus affinis,OR,PODARGIFORMES,Podargidae,Podarge de Blyth
615,Batrachostomus chaseni,OR,PODARGIFORMES,Podargidae,Podarge de Palawan
616,Batrachostomus cornutus,OR,PODARGIFORMES,Podargidae,Podarge cornu
617,Aegotheles insignis,AU,AEGOTHELIFORMES,Aegothelidae,Grand Égothèle
618,Aegotheles tatei,AU,AEGOTHELIFORMES,Aegothelidae,Égothèle de Tate
619,Aegotheles crinifrons,AU,AEGOTHELIFORMES,Aegothelidae,Égothèle des Moluques
620,Aegotheles wallacii,AU,AEGOTHELIFORMES,Aegothelidae,Égothèle de Wallace
621,Aegotheles albertisi,AU,AEGOTHELIFORMES,Aegothelidae,Égothèle montagnard
622,Aegotheles savesi,AU,AEGOTHELIFORMES,Aegothelidae,Égothèle calédonien
623,Aegotheles bennettii,AU,AEGOTHELIFORMES,Aegothelidae,Égothèle de Bennett
624,Aegotheles affinis,AU,AEGOTHELIFORMES,Aegothelidae,Égothèle affin
