,IOC,Breeding Range,Order,Family,French
288,Agelastes niger,AF,GALLIFORMES,Numididae,Pintade noire
289,Numida meleagris,AF,GALLIFORMES,Numididae,Pintade de Numidie
290,Guttera plumifera,AF,GALLIFORMES,Numididae,Pintade plumifère
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Pintade de Verreaux
292,Guttera pucherani,AF,GALLIFORMES,Numididae,Pintade de Pucheran
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Pintade d’Édouard
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,Pintade vulturine
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,Poulette de roches
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,Poulette de Nahan
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,Colin à sourcils blancs
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,Colin à longue queue
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,Colin barbu
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,Colin des montagnes
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,Colin écaillé
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,Colin élégant
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,Colin de Californie
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,Colin de Gambel
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,Colin barré
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,Colin de Virginie
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,Colin à gorge noire
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,Colin à face blanche
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,Colin huppé
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,Tocro de Guyane
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,Tocro uru
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,Tocro à face noire
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,Tocro à front roux
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,Tocro à front noir
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,Tocro marron
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,Tocro à dos noir
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,Tocro à poitrine rousse
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,Tocro du Panama
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,Tocro à miroir
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,Tocro du Venezuela
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,Tocro à poitrine noire
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,Tocro de Ballivian
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,Tocro étoilé
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,Tocro tacheté
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,Colin chanteur
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,Colin arlequin
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,Colin ocellé
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,Colin ceinturé
